step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.048021e+02,1.627815e+00,7.948231e-03
200,unembedder.weight,1.053699e+02,1.558680e+01,1.479246e-01
200,layers.0.qk_lut.weights,1.605796e+00,1.523244e+00,9.485912e-01
200,layers.0.qk_lut.log_soft_score_temp,6.962339e-01,3.086686e-03,4.433404e-03
200,layers.0.qk_lut.log_select_temp,6.960784e-01,2.931237e-03,4.211073e-03
200,layers.0.v_lut.weights,1.669132e+00,1.502505e+00,9.001715e-01
200,layers.0.v_lut.log_soft_score_temp,6.961344e-01,2.987266e-03,4.291219e-03
200,layers.0.v_lut.log_select_temp,6.960914e-01,2.944231e-03,4.229661e-03
200,layers.0.out_proj.weights,4.931408e+00,4.744061e+00,9.620095e-01
200,layers.0.out_proj.log_soft_score_temp,6.904685e-01,2.678633e-03,3.879442e-03
200,layers.0.out_proj.log_select_temp,6.908736e-01,2.273619e-03,3.290934e-03
200,layers.0.residual_lut.weights,3.024712e+00,2.967020e+00,9.809264e-01
200,layers.0.residual_lut.log_soft_score_temp,6.993062e-01,6.159008e-03,8.807312e-03
200,layers.0.residual_lut.log_select_temp,6.997004e-01,6.553233e-03,9.365769e-03
200,layers.0.q_norm.weight,8.018973e+00,2.036086e-02,2.539085e-03
200,layers.0.q_norm.bias,1.118951e-02,1.118951e-02,1.000000e+00
200,layers.0.k_norm.weight,8.018683e+00,1.983319e-02,2.473372e-03
200,layers.0.k_norm.bias,1.481970e-02,1.481970e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.648151e+00,1.568861e+00,9.518916e-01
200,layers.1.qk_lut.log_soft_score_temp,6.916030e-01,1.544178e-03,2.232751e-03
200,layers.1.qk_lut.log_select_temp,6.925751e-01,5.720854e-04,8.260265e-04
200,layers.1.v_lut.weights,1.733197e+00,1.574543e+00,9.084615e-01
200,layers.1.v_lut.log_soft_score_temp,6.938799e-01,7.327199e-04,1.055975e-03
200,layers.1.v_lut.log_select_temp,6.938414e-01,6.942153e-04,1.000539e-03
200,layers.1.out_proj.weights,5.647511e+00,5.476845e+00,9.697804e-01
200,layers.1.out_proj.log_soft_score_temp,6.896842e-01,3.463030e-03,5.021182e-03
200,layers.1.out_proj.log_select_temp,6.897103e-01,3.436923e-03,4.983140e-03
200,layers.1.residual_lut.weights,2.884837e+00,2.826192e+00,9.796712e-01
200,layers.1.residual_lut.log_soft_score_temp,6.955491e-01,2.401948e-03,3.453312e-03
200,layers.1.residual_lut.log_select_temp,6.979697e-01,4.822552e-03,6.909400e-03
200,layers.1.q_norm.weight,8.008092e+00,1.319559e-02,1.647782e-03
200,layers.1.q_norm.bias,8.593917e-03,8.593917e-03,1.000000e+00
200,layers.1.k_norm.weight,8.008197e+00,1.282919e-02,1.602007e-03
200,layers.1.k_norm.bias,1.169568e-02,1.169568e-02,1.000000e+00
200,layers.2.qk_lut.weights,1.621347e+00,1.539200e+00,9.493341e-01
200,layers.2.qk_lut.log_soft_score_temp,6.914066e-01,1.740575e-03,2.517440e-03
200,layers.2.qk_lut.log_select_temp,6.927655e-01,3.817081e-04,5.509919e-04
200,layers.2.v_lut.weights,1.868364e+00,1.721808e+00,9.215592e-01
200,layers.2.v_lut.log_soft_score_temp,6.942988e-01,1.151621e-03,1.658683e-03
200,layers.2.v_lut.log_select_temp,6.942566e-01,1.109421e-03,1.597999e-03
200,layers.2.out_proj.weights,6.569234e+00,6.418650e+00,9.770774e-01
200,layers.2.out_proj.log_soft_score_temp,6.906089e-01,2.538264e-03,3.675400e-03
200,layers.2.out_proj.log_select_temp,6.906251e-01,2.522111e-03,3.651925e-03
200,layers.2.residual_lut.weights,2.789881e+00,2.732020e+00,9.792602e-01
200,layers.2.residual_lut.log_soft_score_temp,6.914080e-01,1.739144e-03,2.515366e-03
200,layers.2.residual_lut.log_select_temp,6.935422e-01,3.950000e-04,5.695400e-04
200,layers.2.q_norm.weight,8.004157e+00,8.206348e-03,1.025261e-03
200,layers.2.q_norm.bias,5.793074e-03,5.793074e-03,1.000000e+00
200,layers.2.k_norm.weight,8.004093e+00,7.781962e-03,9.722479e-04
200,layers.2.k_norm.bias,6.370296e-03,6.370296e-03,1.000000e+00
200,layers.3.qk_lut.weights,1.622625e+00,1.542555e+00,9.506543e-01
200,layers.3.qk_lut.log_soft_score_temp,6.915342e-01,1.612961e-03,2.332439e-03
200,layers.3.qk_lut.log_select_temp,6.926962e-01,4.509687e-04,6.510339e-04
200,layers.3.v_lut.weights,2.015863e+00,1.880754e+00,9.329775e-01
200,layers.3.v_lut.log_soft_score_temp,6.946913e-01,1.544118e-03,2.222740e-03
200,layers.3.v_lut.log_select_temp,6.947083e-01,1.561165e-03,2.247223e-03
200,layers.3.out_proj.weights,7.261332e+00,7.122931e+00,9.809400e-01
200,layers.3.out_proj.log_soft_score_temp,6.909475e-01,2.199650e-03,3.183527e-03
200,layers.3.out_proj.log_select_temp,6.909659e-01,2.181292e-03,3.156873e-03
200,layers.3.residual_lut.weights,2.746529e+00,2.690167e+00,9.794789e-01
200,layers.3.residual_lut.log_soft_score_temp,6.900423e-01,3.104866e-03,4.499529e-03
200,layers.3.residual_lut.log_select_temp,6.910986e-01,2.048552e-03,2.964196e-03
200,layers.3.q_norm.weight,8.007963e+00,1.003805e-02,1.253509e-03
200,layers.3.q_norm.bias,6.608487e-03,6.608487e-03,1.000000e+00
200,layers.3.k_norm.weight,8.007711e+00,1.037487e-02,1.295609e-03
200,layers.3.k_norm.bias,8.265191e-03,8.265191e-03,1.000000e+00
200,layers.4.qk_lut.weights,1.737722e+00,1.662848e+00,9.569121e-01
200,layers.4.qk_lut.log_soft_score_temp,6.921166e-01,1.030564e-03,1.489004e-03
200,layers.4.qk_lut.log_select_temp,6.931863e-01,3.916025e-05,5.649311e-05
200,layers.4.v_lut.weights,2.339499e+00,2.223572e+00,9.504481e-01
200,layers.4.v_lut.log_soft_score_temp,6.949344e-01,1.787186e-03,2.571733e-03
200,layers.4.v_lut.log_select_temp,6.949227e-01,1.775563e-03,2.555051e-03
200,layers.4.out_proj.weights,7.668408e+00,7.535205e+00,9.826296e-01
200,layers.4.out_proj.log_soft_score_temp,6.913511e-01,1.796067e-03,2.597908e-03
200,layers.4.out_proj.log_select_temp,6.913810e-01,1.766205e-03,2.554604e-03
200,layers.4.residual_lut.weights,2.781523e+00,2.726797e+00,9.803255e-01
200,layers.4.residual_lut.log_soft_score_temp,6.892415e-01,3.905654e-03,5.666597e-03
200,layers.4.residual_lut.log_select_temp,6.899285e-01,3.218651e-03,4.665195e-03
200,layers.4.q_norm.weight,8.006083e+00,8.005744e-03,9.999577e-04
200,layers.4.q_norm.bias,7.081374e-03,7.081374e-03,1.000000e+00
200,layers.4.k_norm.weight,8.005984e+00,7.679163e-03,9.591779e-04
200,layers.4.k_norm.bias,7.626538e-03,7.626538e-03,1.000000e+00
200,layers.5.qk_lut.weights,2.008866e+00,1.945175e+00,9.682950e-01
200,layers.5.qk_lut.log_soft_score_temp,6.928018e-01,3.454089e-04,4.985682e-04
200,layers.5.qk_lut.log_select_temp,6.936957e-01,5.484819e-04,7.906665e-04
200,layers.5.v_lut.weights,2.863986e+00,2.772323e+00,9.679946e-01
200,layers.5.v_lut.log_soft_score_temp,6.948738e-01,1.726627e-03,2.484807e-03
200,layers.5.v_lut.log_select_temp,6.948237e-01,1.676559e-03,2.412928e-03
200,layers.5.out_proj.weights,1.012346e+01,1.002088e+01,9.898675e-01
200,layers.5.out_proj.log_soft_score_temp,6.926278e-01,5.193949e-04,7.498903e-04
200,layers.5.out_proj.log_select_temp,6.926728e-01,4.743338e-04,6.847876e-04
200,layers.5.residual_lut.weights,3.295762e+00,3.251073e+00,9.864406e-01
200,layers.5.residual_lut.log_soft_score_temp,6.889429e-01,4.204273e-03,6.102499e-03
200,layers.5.residual_lut.log_select_temp,6.895340e-01,3.613174e-03,5.240023e-03
200,layers.5.q_norm.weight,8.009763e+00,1.140148e-02,1.423447e-03
