step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047261e+02,1.836256e+00,8.969327e-03
200,unembedder.weight,1.054173e+02,1.563572e+01,1.483222e-01
200,layers.0.qk_lut.weights,1.606819e+00,1.545406e+00,9.617800e-01
200,layers.0.qk_lut.log_soft_score_temp,6.975913e-01,4.444122e-03,6.370668e-03
200,layers.0.qk_lut.log_select_temp,6.974636e-01,4.316449e-03,6.188780e-03
200,layers.0.v_lut.weights,4.311482e+00,4.245447e+00,9.846839e-01
200,layers.0.v_lut.log_soft_score_temp,6.999608e-01,6.813645e-03,9.734324e-03
200,layers.0.v_lut.log_select_temp,6.999318e-01,6.784618e-03,9.693256e-03
200,layers.0.out_proj.weights,8.425084e+00,8.300533e+00,9.852167e-01
200,layers.0.out_proj.log_soft_score_temp,7.004538e-01,7.306635e-03,1.043129e-02
200,layers.0.out_proj.log_select_temp,7.005730e-01,7.425785e-03,1.059959e-02
200,layers.0.q_norm.weight,8.036498e+00,3.748882e-02,4.664821e-03
200,layers.0.q_norm.bias,1.222845e-02,1.222845e-02,1.000000e+00
200,layers.0.k_norm.weight,8.036228e+00,3.716416e-02,4.624577e-03
200,layers.0.k_norm.bias,1.644943e-02,1.644943e-02,1.000000e+00
200,layers.1.qk_lut.weights,2.785805e+00,2.748373e+00,9.865632e-01
200,layers.1.qk_lut.log_soft_score_temp,6.976938e-01,4.546642e-03,6.516673e-03
200,layers.1.qk_lut.log_select_temp,6.982599e-01,5.112708e-03,7.322070e-03
200,layers.1.v_lut.weights,4.605098e+00,4.544789e+00,9.869039e-01
200,layers.1.v_lut.log_soft_score_temp,6.992242e-01,6.076992e-03,8.691049e-03
200,layers.1.v_lut.log_select_temp,6.991804e-01,6.033242e-03,8.629020e-03
200,layers.1.out_proj.weights,1.042977e+01,1.032964e+01,9.903995e-01
200,layers.1.out_proj.log_soft_score_temp,6.979196e-01,4.772425e-03,6.838072e-03
200,layers.1.out_proj.log_select_temp,6.978897e-01,4.742503e-03,6.795491e-03
200,layers.1.q_norm.weight,8.032433e+00,3.377592e-02,4.204943e-03
200,layers.1.q_norm.bias,1.752888e-02,1.752888e-02,1.000000e+00
200,layers.1.k_norm.weight,8.031683e+00,3.306216e-02,4.116468e-03
200,layers.1.k_norm.bias,2.177950e-02,2.177950e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.169888e+00,3.132926e+00,9.883396e-01
200,layers.2.qk_lut.log_soft_score_temp,6.974150e-01,4.267812e-03,6.119472e-03
200,layers.2.qk_lut.log_select_temp,6.976182e-01,4.471064e-03,6.409041e-03
200,layers.2.v_lut.weights,4.891501e+00,4.834299e+00,9.883057e-01
200,layers.2.v_lut.log_soft_score_temp,6.979258e-01,4.778624e-03,6.846893e-03
200,layers.2.v_lut.log_select_temp,6.979232e-01,4.776001e-03,6.843161e-03
200,layers.2.out_proj.weights,1.015034e+01,1.004845e+01,9.899619e-01
200,layers.2.out_proj.log_soft_score_temp,6.954210e-01,2.273858e-03,3.269757e-03
200,layers.2.out_proj.log_select_temp,6.953889e-01,2.241671e-03,3.223622e-03
200,layers.2.q_norm.weight,8.032105e+00,3.307568e-02,4.117933e-03
200,layers.2.q_norm.bias,1.612009e-02,1.612009e-02,1.000000e+00
200,layers.2.k_norm.weight,8.031928e+00,3.282518e-02,4.086837e-03
200,layers.2.k_norm.bias,2.076509e-02,2.076509e-02,1.000000e+00
200,layers.3.qk_lut.weights,3.284351e+00,3.247924e+00,9.889088e-01
200,layers.3.qk_lut.log_soft_score_temp,6.969610e-01,3.813803e-03,5.472047e-03
200,layers.3.qk_lut.log_select_temp,6.972936e-01,4.146457e-03,5.946500e-03
200,layers.3.v_lut.weights,4.972663e+00,4.916028e+00,9.886107e-01
200,layers.3.v_lut.log_soft_score_temp,6.978384e-01,4.691243e-03,6.722535e-03
200,layers.3.v_lut.log_select_temp,6.977897e-01,4.642546e-03,6.653217e-03
200,layers.3.out_proj.weights,1.047416e+01,1.037401e+01,9.904388e-01
200,layers.3.out_proj.log_soft_score_temp,6.950008e-01,1.853585e-03,2.667026e-03
200,layers.3.out_proj.log_select_temp,6.949666e-01,1.819432e-03,2.618013e-03
200,layers.3.q_norm.weight,8.036581e+00,3.829586e-02,4.765193e-03
200,layers.3.q_norm.bias,2.021732e-02,2.021732e-02,1.000000e+00
