step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047243e+02,1.841909e+00,8.997019e-03
200,unembedder.weight,1.054194e+02,1.564699e+01,1.484261e-01
200,layers.0.qk_lut.weights,1.600954e+00,1.539814e+00,9.618106e-01
200,layers.0.qk_lut.log_soft_score_temp,6.976893e-01,4.542112e-03,6.510222e-03
200,layers.0.qk_lut.log_select_temp,6.974106e-01,4.263461e-03,6.113272e-03
200,layers.0.v_lut.weights,4.073807e+00,4.001615e+00,9.822789e-01
200,layers.0.v_lut.log_soft_score_temp,6.998754e-01,6.728172e-03,9.613387e-03
200,layers.0.v_lut.log_select_temp,6.998576e-01,6.710410e-03,9.588251e-03
200,layers.0.out_proj.weights,8.088782e+00,7.959366e+00,9.840006e-01
200,layers.0.out_proj.log_soft_score_temp,7.005244e-01,7.377267e-03,1.053106e-02
200,layers.0.out_proj.log_select_temp,7.006566e-01,7.509410e-03,1.071768e-02
200,layers.0.q_norm.weight,8.037878e+00,3.867980e-02,4.812191e-03
200,layers.0.q_norm.bias,1.548853e-02,1.548853e-02,1.000000e+00
200,layers.0.k_norm.weight,8.037871e+00,3.863375e-02,4.806465e-03
200,layers.0.k_norm.bias,1.959215e-02,1.959215e-02,1.000000e+00
200,layers.1.qk_lut.weights,2.679571e+00,2.640408e+00,9.853846e-01
200,layers.1.qk_lut.log_soft_score_temp,6.967049e-01,3.557742e-03,5.106526e-03
200,layers.1.qk_lut.log_select_temp,6.977823e-01,4.635096e-03,6.642610e-03
200,layers.1.v_lut.weights,4.442767e+00,4.380054e+00,9.858841e-01
200,layers.1.v_lut.log_soft_score_temp,6.984454e-01,5.298197e-03,7.585700e-03
200,layers.1.v_lut.log_select_temp,6.984695e-01,5.322337e-03,7.619999e-03
200,layers.1.out_proj.weights,9.591051e+00,9.482800e+00,9.887134e-01
200,layers.1.out_proj.log_soft_score_temp,6.965489e-01,3.401756e-03,4.883729e-03
200,layers.1.out_proj.log_select_temp,6.966127e-01,3.465533e-03,4.974835e-03
200,layers.1.q_norm.weight,8.027227e+00,2.797618e-02,3.485161e-03
200,layers.1.q_norm.bias,1.185547e-02,1.185547e-02,1.000000e+00
200,layers.1.k_norm.weight,8.027093e+00,2.782936e-02,3.466929e-03
200,layers.1.k_norm.bias,1.756271e-02,1.756271e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.194829e+00,3.159745e+00,9.890185e-01
200,layers.2.qk_lut.log_soft_score_temp,6.973690e-01,4.221797e-03,6.053893e-03
200,layers.2.qk_lut.log_select_temp,6.973798e-01,4.232585e-03,6.069269e-03
200,layers.2.v_lut.weights,4.836709e+00,4.779264e+00,9.881232e-01
200,layers.2.v_lut.log_soft_score_temp,6.977850e-01,4.637778e-03,6.646428e-03
200,layers.2.v_lut.log_select_temp,6.977505e-01,4.603326e-03,6.597382e-03
200,layers.2.out_proj.weights,1.002975e+01,9.926565e+00,9.897117e-01
200,layers.2.out_proj.log_soft_score_temp,6.956023e-01,2.455115e-03,3.529481e-03
200,layers.2.out_proj.log_select_temp,6.955281e-01,2.380967e-03,3.423251e-03
200,layers.2.q_norm.weight,8.034401e+00,3.554936e-02,4.424644e-03
200,layers.2.q_norm.bias,2.050787e-02,2.050787e-02,1.000000e+00
200,layers.2.k_norm.weight,8.034501e+00,3.556123e-02,4.426065e-03
200,layers.2.k_norm.bias,2.541529e-02,2.541529e-02,1.000000e+00
200,layers.3.qk_lut.weights,3.227747e+00,3.189156e+00,9.880439e-01
200,layers.3.qk_lut.log_soft_score_temp,6.972849e-01,4.137754e-03,5.934094e-03
200,layers.3.qk_lut.log_select_temp,6.973153e-01,4.168093e-03,5.977344e-03
200,layers.3.v_lut.weights,4.912838e+00,4.855511e+00,9.883312e-01
200,layers.3.v_lut.log_soft_score_temp,6.974092e-01,4.261971e-03,6.111148e-03
200,layers.3.v_lut.log_select_temp,6.974050e-01,4.257798e-03,6.105202e-03
200,layers.3.out_proj.weights,1.016492e+01,1.006225e+01,9.898990e-01
200,layers.3.out_proj.log_soft_score_temp,6.946535e-01,1.506269e-03,2.168375e-03
200,layers.3.out_proj.log_select_temp,6.946444e-01,1.497209e-03,2.155360e-03
200,layers.3.q_norm.weight,8.033868e+00,3.490678e-02,4.344954e-03
200,layers.3.q_norm.bias,1.924799e-02,1.924799e-02,1.000000e+00
200,layers.3.k_norm.weight,8.033148e+00,3.419228e-02,4.256398e-03
200,layers.3.k_norm.bias,2.439655e-02,2.439655e-02,1.000000e+00
200,layers.4.qk_lut.weights,3.237746e+00,3.198471e+00,9.878696e-01
200,layers.4.qk_lut.log_soft_score_temp,6.977421e-01,4.594922e-03,6.585416e-03
200,layers.4.qk_lut.log_select_temp,6.976107e-01,4.463494e-03,6.398259e-03
200,layers.4.v_lut.weights,4.923588e+00,4.867433e+00,9.885946e-01
200,layers.4.v_lut.log_soft_score_temp,6.966906e-01,3.543437e-03,5.086098e-03
200,layers.4.v_lut.log_select_temp,6.967200e-01,3.572822e-03,5.128059e-03
200,layers.4.out_proj.weights,1.086494e+01,1.076973e+01,9.912365e-01
200,layers.4.out_proj.log_soft_score_temp,6.934078e-01,2.606511e-04,3.758987e-04
200,layers.4.out_proj.log_select_temp,6.934962e-01,3.490448e-04,5.033118e-04
200,layers.4.q_norm.weight,8.021199e+00,2.180883e-02,2.718900e-03
200,layers.4.q_norm.bias,8.762470e-03,8.762470e-03,1.000000e+00
200,layers.4.k_norm.weight,8.021060e+00,2.184243e-02,2.723135e-03
200,layers.4.k_norm.bias,1.200553e-02,1.200553e-02,1.000000e+00
200,layers.5.qk_lut.weights,3.257870e+00,3.219248e+00,9.881450e-01
200,layers.5.qk_lut.log_soft_score_temp,6.970162e-01,3.869057e-03,5.550885e-03
200,layers.5.qk_lut.log_select_temp,6.973456e-01,4.198372e-03,6.020505e-03
200,layers.5.v_lut.weights,4.983989e+00,4.928651e+00,9.888969e-01
200,layers.5.v_lut.log_soft_score_temp,6.968138e-01,3.666580e-03,5.261922e-03
200,layers.5.v_lut.log_select_temp,6.967826e-01,3.635466e-03,5.217504e-03
200,layers.5.out_proj.weights,1.126874e+01,1.117667e+01,9.918297e-01
200,layers.5.out_proj.log_soft_score_temp,6.935728e-01,4.255772e-04,6.136013e-04
200,layers.5.out_proj.log_select_temp,6.935940e-01,4.467964e-04,6.441757e-04
200,layers.5.q_norm.weight,8.024485e+00,2.639962e-02,3.289883e-03
200,layers.5.q_norm.bias,1.934287e-02,1.934287e-02,1.000000e+00
200,layers.5.k_norm.weight,8.025095e+00,2.684195e-02,3.344751e-03
200,layers.5.k_norm.bias,2.317708e-02,2.317708e-02,1.000000e+00
200,ln_final.weight,1.973895e+01,1.431729e-01,7.253320e-03
200,ln_final.bias,1.451956e-01,1.451956e-01,1.000000e+00
400,tok_emb_E.weight,2.047769e+02,5.149076e+00,2.514481e-02
400,unembedder.weight,1.112916e+02,2.654654e+01,2.385314e-01
400,layers.0.qk_lut.weights,4.760688e+00,4.109794e+00,8.632774e-01
400,layers.0.qk_lut.log_soft_score_temp,7.058878e-01,8.198500e-03,1.161445e-02
