step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047220e+02,1.746787e+00,8.532480e-03
200,unembedder.weight,1.053992e+02,1.561393e+01,1.481408e-01
200,layers.0.qk_lut.weights,3.186616e+00,3.029221e+00,9.506076e-01
200,layers.0.qk_lut.log_soft_score_temp,6.975808e-01,4.433632e-03,6.355725e-03
200,layers.0.qk_lut.log_select_temp,6.971598e-01,4.012585e-03,5.755617e-03
200,layers.0.v_lut.weights,5.619940e+00,5.515945e+00,9.814955e-01
200,layers.0.v_lut.log_soft_score_temp,6.997934e-01,6.646216e-03,9.497397e-03
200,layers.0.v_lut.log_select_temp,6.997728e-01,6.625593e-03,9.468206e-03
200,layers.0.out_proj.weights,7.684071e+00,7.547644e+00,9.822455e-01
200,layers.0.out_proj.log_soft_score_temp,7.001729e-01,7.025719e-03,1.003426e-02
200,layers.0.out_proj.log_select_temp,7.003233e-01,7.176161e-03,1.024693e-02
200,layers.0.q_norm.weight,8.026832e+00,2.765770e-02,3.445656e-03
200,layers.0.q_norm.bias,1.048645e-02,1.048645e-02,1.000000e+00
200,layers.0.k_norm.weight,8.026842e+00,2.745545e-02,3.420454e-03
200,layers.0.k_norm.bias,1.194576e-02,1.194576e-02,1.000000e+00
200,layers.1.qk_lut.weights,4.601887e+00,4.513301e+00,9.807501e-01
200,layers.1.qk_lut.log_soft_score_temp,6.954314e-01,2.284229e-03,3.284621e-03
200,layers.1.qk_lut.log_select_temp,6.962982e-01,3.151000e-03,4.525359e-03
200,layers.1.v_lut.weights,5.630923e+00,5.532433e+00,9.825091e-01
200,layers.1.v_lut.log_soft_score_temp,6.984012e-01,5.253971e-03,7.522855e-03
200,layers.1.v_lut.log_select_temp,6.983145e-01,5.167365e-03,7.399767e-03
200,layers.1.out_proj.weights,9.861859e+00,9.756785e+00,9.893454e-01
200,layers.1.out_proj.log_soft_score_temp,6.966518e-01,3.504634e-03,5.030682e-03
200,layers.1.out_proj.log_select_temp,6.966809e-01,3.533721e-03,5.072223e-03
200,layers.1.q_norm.weight,8.026387e+00,2.796540e-02,3.484183e-03
200,layers.1.q_norm.bias,1.506015e-02,1.506015e-02,1.000000e+00
200,layers.1.k_norm.weight,8.026373e+00,2.781589e-02,3.465562e-03
200,layers.1.k_norm.bias,1.606900e-02,1.606900e-02,1.000000e+00
