step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047210e+02,1.823248e+00,8.906013e-03
200,unembedder.weight,1.054107e+02,1.562997e+01,1.482769e-01
200,layers.0.qk_lut.weights,1.524743e+00,1.448251e+00,9.498329e-01
200,layers.0.qk_lut.log_soft_score_temp,6.986335e-01,5.486310e-03,7.852915e-03
200,layers.0.qk_lut.log_select_temp,6.980929e-01,4.945695e-03,7.084581e-03
200,layers.0.v_lut.weights,4.069152e+00,3.995276e+00,9.818448e-01
200,layers.0.v_lut.log_soft_score_temp,7.000963e-01,6.949127e-03,9.925958e-03
200,layers.0.v_lut.log_select_temp,7.000899e-01,6.942749e-03,9.916939e-03
200,layers.0.out_proj.weights,8.042431e+00,7.913380e+00,9.839537e-01
200,layers.0.out_proj.log_soft_score_temp,7.005535e-01,7.406294e-03,1.057206e-02
200,layers.0.out_proj.log_select_temp,7.006340e-01,7.486820e-03,1.068578e-02
200,layers.0.q_norm.weight,8.026608e+00,2.764305e-02,3.443927e-03
200,layers.0.q_norm.bias,1.204374e-02,1.204374e-02,1.000000e+00
200,layers.0.k_norm.weight,8.026574e+00,2.745214e-02,3.420157e-03
200,layers.0.k_norm.bias,1.434351e-02,1.434351e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.994083e+00,1.943109e+00,9.744374e-01
200,layers.1.qk_lut.log_soft_score_temp,6.959991e-01,2.851903e-03,4.097568e-03
200,layers.1.qk_lut.log_select_temp,6.959734e-01,2.826214e-03,4.060807e-03
200,layers.1.v_lut.weights,4.207671e+00,4.141312e+00,9.842290e-01
200,layers.1.v_lut.log_soft_score_temp,6.979919e-01,4.844725e-03,6.940947e-03
200,layers.1.v_lut.log_select_temp,6.979601e-01,4.812896e-03,6.895661e-03
200,layers.1.out_proj.weights,9.568774e+00,9.460548e+00,9.886897e-01
200,layers.1.out_proj.log_soft_score_temp,6.969324e-01,3.785253e-03,5.431305e-03
200,layers.1.out_proj.log_select_temp,6.969792e-01,3.832042e-03,5.498072e-03
200,layers.1.q_norm.weight,8.028821e+00,3.042369e-02,3.789310e-03
200,layers.1.q_norm.bias,1.410258e-02,1.410258e-02,1.000000e+00
200,layers.1.k_norm.weight,8.028290e+00,2.983510e-02,3.716246e-03
200,layers.1.k_norm.bias,1.977365e-02,1.977365e-02,1.000000e+00
200,layers.2.qk_lut.weights,2.258641e+00,2.213102e+00,9.798379e-01
200,layers.2.qk_lut.log_soft_score_temp,6.953022e-01,2.155066e-03,3.099466e-03
200,layers.2.qk_lut.log_select_temp,6.953101e-01,2.162874e-03,3.110661e-03
200,layers.2.v_lut.weights,4.608004e+00,4.547609e+00,9.868934e-01
200,layers.2.v_lut.log_soft_score_temp,6.969835e-01,3.836334e-03,5.504196e-03
200,layers.2.v_lut.log_select_temp,6.969721e-01,3.824949e-03,5.487952e-03
200,layers.2.out_proj.weights,1.002931e+01,9.926566e+00,9.897561e-01
200,layers.2.out_proj.log_soft_score_temp,6.955755e-01,2.428293e-03,3.491056e-03
200,layers.2.out_proj.log_select_temp,6.955954e-01,2.448261e-03,3.519662e-03
200,layers.2.q_norm.weight,8.020528e+00,2.124152e-02,2.648394e-03
200,layers.2.q_norm.bias,1.250442e-02,1.250442e-02,1.000000e+00
200,layers.2.k_norm.weight,8.020251e+00,2.067182e-02,2.577453e-03
200,layers.2.k_norm.bias,1.442069e-02,1.442069e-02,1.000000e+00
200,layers.3.qk_lut.weights,2.333003e+00,2.284448e+00,9.791880e-01
200,layers.3.qk_lut.log_soft_score_temp,6.952629e-01,2.115726e-03,3.043060e-03
200,layers.3.qk_lut.log_select_temp,6.954868e-01,2.339661e-03,3.364062e-03
200,layers.3.v_lut.weights,4.669262e+00,4.608937e+00,9.870804e-01
200,layers.3.v_lut.log_soft_score_temp,6.966159e-01,3.468752e-03,4.979432e-03
200,layers.3.v_lut.log_select_temp,6.966013e-01,3.454089e-03,4.958488e-03
200,layers.3.out_proj.weights,1.084197e+01,1.074629e+01,9.911758e-01
200,layers.3.out_proj.log_soft_score_temp,6.939300e-01,7.828474e-04,1.128136e-03
200,layers.3.out_proj.log_select_temp,6.939378e-01,7.906556e-04,1.139375e-03
200,layers.3.q_norm.weight,8.020485e+00,2.150318e-02,2.681032e-03
200,layers.3.q_norm.bias,1.056992e-02,1.056992e-02,1.000000e+00
200,layers.3.k_norm.weight,8.019876e+00,2.094206e-02,2.611269e-03
200,layers.3.k_norm.bias,1.399596e-02,1.399596e-02,1.000000e+00
200,layers.4.qk_lut.weights,2.311158e+00,2.260134e+00,9.779230e-01
200,layers.4.qk_lut.log_soft_score_temp,6.958992e-01,2.752006e-03,3.954604e-03
200,layers.4.qk_lut.log_select_temp,6.959721e-01,2.824962e-03,4.059016e-03
200,layers.4.v_lut.weights,4.556193e+00,4.495615e+00,9.867044e-01
200,layers.4.v_lut.log_soft_score_temp,6.970029e-01,3.855765e-03,5.531920e-03
200,layers.4.v_lut.log_select_temp,6.969586e-01,3.811419e-03,5.468645e-03
200,layers.4.out_proj.weights,1.005865e+01,9.956574e+00,9.898522e-01
200,layers.4.out_proj.log_soft_score_temp,6.944226e-01,1.275420e-03,1.836663e-03
200,layers.4.out_proj.log_select_temp,6.944394e-01,1.292169e-03,1.860737e-03
200,layers.4.q_norm.weight,8.028942e+00,3.039649e-02,3.785865e-03
200,layers.4.q_norm.bias,2.260787e-02,2.260787e-02,1.000000e+00
200,layers.4.k_norm.weight,8.028408e+00,3.003275e-02,3.740810e-03
200,layers.4.k_norm.bias,2.496604e-02,2.496604e-02,1.000000e+00
200,layers.5.qk_lut.weights,2.396193e+00,2.346623e+00,9.793130e-01
200,layers.5.qk_lut.log_soft_score_temp,6.955001e-01,2.352893e-03,3.383024e-03
200,layers.5.qk_lut.log_select_temp,6.954796e-01,2.332449e-03,3.353727e-03
200,layers.5.v_lut.weights,4.690367e+00,4.631609e+00,9.874727e-01
200,layers.5.v_lut.log_soft_score_temp,6.965426e-01,3.395379e-03,4.874618e-03
200,layers.5.v_lut.log_select_temp,6.964852e-01,3.337979e-03,4.792607e-03
200,layers.5.out_proj.weights,1.100297e+01,1.090909e+01,9.914675e-01
200,layers.5.out_proj.log_soft_score_temp,6.940213e-01,8.741617e-04,1.259560e-03
200,layers.5.out_proj.log_select_temp,6.940190e-01,8.717775e-04,1.256129e-03
200,layers.5.q_norm.weight,8.025496e+00,2.721384e-02,3.390923e-03
200,layers.5.q_norm.bias,1.765564e-02,1.765564e-02,1.000000e+00
200,layers.5.k_norm.weight,8.025146e+00,2.682866e-02,3.343075e-03
200,layers.5.k_norm.bias,2.118904e-02,2.118904e-02,1.000000e+00
200,ln_final.weight,1.973966e+01,1.438649e-01,7.288111e-03
200,ln_final.bias,1.449438e-01,1.449438e-01,1.000000e+00
400,tok_emb_E.weight,2.047701e+02,5.106332e+00,2.493690e-02
400,unembedder.weight,1.112836e+02,2.657811e+01,2.388322e-01
400,layers.0.qk_lut.weights,4.515580e+00,3.822068e+00,8.464180e-01
400,layers.0.qk_lut.log_soft_score_temp,7.155167e-01,1.688325e-02,2.359589e-02
400,layers.0.qk_lut.log_select_temp,7.104229e-01,1.233006e-02,1.735594e-02
400,layers.0.v_lut.weights,1.123012e+01,8.434694e+00,7.510777e-01
400,layers.0.v_lut.log_soft_score_temp,7.102010e-01,1.010466e-02,1.422788e-02
400,layers.0.v_lut.log_select_temp,7.100441e-01,9.954154e-03,1.401907e-02
400,layers.0.out_proj.weights,2.099350e+01,1.659692e+01,7.905742e-01
400,layers.0.out_proj.log_soft_score_temp,7.190627e-01,1.850927e-02,2.574083e-02
400,layers.0.out_proj.log_select_temp,7.192597e-01,1.862568e-02,2.589562e-02
400,layers.0.q_norm.weight,8.065023e+00,4.326319e-02,5.364298e-03
400,layers.0.q_norm.bias,3.422971e-02,2.724928e-02,7.960711e-01
400,layers.0.k_norm.weight,8.064884e+00,4.210219e-02,5.220434e-03
400,layers.0.k_norm.bias,3.002851e-02,1.964928e-02,6.543541e-01
400,layers.1.qk_lut.weights,4.831746e+00,4.193811e+00,8.679702e-01
400,layers.1.qk_lut.log_soft_score_temp,6.940507e-01,1.948357e-03,2.807225e-03
400,layers.1.qk_lut.log_select_temp,6.983790e-01,2.405584e-03,3.444525e-03
400,layers.1.v_lut.weights,8.840153e+00,7.119844e+00,8.053983e-01
400,layers.1.v_lut.log_soft_score_temp,7.105100e-01,1.251805e-02,1.761840e-02
400,layers.1.v_lut.log_select_temp,7.095057e-01,1.154566e-02,1.627282e-02
400,layers.1.out_proj.weights,1.758903e+01,1.325258e+01,7.534568e-01
400,layers.1.out_proj.log_soft_score_temp,7.086136e-01,1.168120e-02,1.648458e-02
