step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497982,0.498257,0.497335,0.497345,0.496633,0.496584,0.498890,0.498848,0.497471,0.497511,0.498255,0.498241,0.498694,0.498739,0.497454,0.497496,0.497966,0.497966,0.498587,0.498745,0.497894,0.497910,0.498833,0.498775,0.499078,0.499109,0.498335,0.498365,0.499356,0.499325,0.499149,0.499142,0.498434,0.498440,0.499572,0.499529,0.497028,0.497154
400,0.490411,0.492764,0.493997,0.494152,0.488694,0.488849,0.499951,0.498101,0.491852,0.492415,0.494669,0.494373,0.498080,0.496464,0.493639,0.494131,0.495829,0.495728,0.496775,0.497168,0.496371,0.496644,0.499634,0.498978,0.496434,0.496228,0.496976,0.497237,0.499559,0.499298,0.497635,0.497834,0.497684,0.497823,0.499786,0.499600,0.492451,0.493042
600,0.477151,0.482985,0.488177,0.489062,0.478274,0.479611,0.507618,0.500524,0.480564,0.481502,0.483537,0.482805,0.504668,0.495885,0.484461,0.485422,0.490222,0.489956,0.497467,0.495261,0.489558,0.490491,0.499011,0.496805,0.498637,0.494758,0.493614,0.494239,0.500773,0.499759,0.497583,0.496903,0.496829,0.497111,0.500583,0.500124,0.486803,0.487167
800,0.459933,0.469840,0.478252,0.480501,0.463560,0.466398,0.521894,0.506208,0.466250,0.466045,0.465567,0.464293,0.520281,0.499164,0.468922,0.469072,0.479433,0.478568,0.506926,0.495300,0.474826,0.475684,0.496167,0.491294,0.508540,0.495421,0.486570,0.487216,0.505068,0.501999,0.500022,0.495943,0.495326,0.495705,0.502571,0.501382,0.481912,0.479850
1000,0.443516,0.456860,0.465231,0.468926,0.448544,0.452469,0.539979,0.513531,0.457603,0.451831,0.448656,0.445426,0.541341,0.505313,0.455599,0.451380,0.467129,0.464769,0.522517,0.497788,0.458054,0.457178,0.489834,0.480831,0.523803,0.497942,0.477689,0.475485,0.510509,0.504365,0.506195,0.496122,0.493069,0.493222,0.506296,0.503588,0.483897,0.473491
1200,0.431331,0.446808,0.452279,0.457169,0.436285,0.440103,0.557032,0.520009,0.460447,0.443857,0.438854,0.430499,0.562832,0.511379,0.452859,0.438398,0.457312,0.451644,0.539970,0.501090,0.445184,0.439683,0.483218,0.468941,0.542985,0.502921,0.470644,0.463850,0.517239,0.506729,0.515509,0.497766,0.490942,0.490232,0.510765,0.506073,0.494114,0.469260
1400,0.422785,0.439280,0.440460,0.446026,0.425846,0.428018,0.574212,0.526441,0.473236,0.442256,0.440702,0.422110,0.586330,0.518556,0.460816,0.430058,0.452605,0.441328,0.559950,0.506770,0.438654,0.424511,0.477510,0.457427,0.564564,0.509431,0.468564,0.452522,0.524005,0.509181,0.527968,0.500973,0.489105,0.486534,0.515744,0.508620,0.510180,0.467355
1600,0.416860,0.433337,0.430425,0.436123,0.420851,0.418471,0.590565,0.532466,0.491730,0.445908,0.451704,0.419571,0.608738,0.524644,0.476679,0.426822,0.453935,0.434321,0.580245,0.511814,0.441156,0.411915,0.473244,0.446124,0.585653,0.515274,0.472061,0.444367,0.530690,0.510897,0.540908,0.503628,0.488580,0.482918,0.521719,0.511421,0.531105,0.466851
1800,0.412648,0.428766,0.422370,0.427576,0.418717,0.409973,0.607714,0.538390,0.512644,0.452439,0.468413,0.422924,0.630912,0.530412,0.496235,0.428437,0.462445,0.432093,0.602966,0.518613,0.451332,0.404277,0.473777,0.437324,0.606483,0.519774,0.480742,0.437738,0.538140,0.512815,0.557623,0.508070,0.487911,0.478174,0.527002,0.513592,0.554197,0.467046
