step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047259e+02,1.806470e+00,8.823849e-03
200,unembedder.weight,1.054111e+02,1.563367e+01,1.483114e-01
200,layers.0.qk_lut.weights,1.542915e+00,1.467562e+00,9.511619e-01
200,layers.0.qk_lut.log_soft_score_temp,6.979643e-01,4.817128e-03,6.901683e-03
200,layers.0.qk_lut.log_select_temp,6.975251e-01,4.377902e-03,6.276336e-03
200,layers.0.v_lut.weights,5.610268e+00,5.510586e+00,9.822322e-01
200,layers.0.v_lut.log_soft_score_temp,6.996376e-01,6.490409e-03,9.276816e-03
200,layers.0.v_lut.log_select_temp,6.996351e-01,6.487966e-03,9.273356e-03
200,layers.0.out_proj.weights,8.414631e+00,8.291158e+00,9.853264e-01
200,layers.0.out_proj.log_soft_score_temp,7.001325e-01,6.985366e-03,9.977206e-03
200,layers.0.out_proj.log_select_temp,7.002211e-01,7.073939e-03,1.010244e-02
200,layers.0.q_norm.weight,8.022117e+00,2.385161e-02,2.973232e-03
200,layers.0.q_norm.bias,1.038901e-02,1.038901e-02,1.000000e+00
200,layers.0.k_norm.weight,8.021816e+00,2.348356e-02,2.927462e-03
200,layers.0.k_norm.bias,1.406330e-02,1.406330e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.959854e+00,1.907901e+00,9.734914e-01
200,layers.1.qk_lut.log_soft_score_temp,6.955241e-01,2.376914e-03,3.417443e-03
200,layers.1.qk_lut.log_select_temp,6.955029e-01,2.355695e-03,3.387038e-03
200,layers.1.v_lut.weights,5.935298e+00,5.841657e+00,9.842230e-01
200,layers.1.v_lut.log_soft_score_temp,6.980634e-01,4.916191e-03,7.042614e-03
200,layers.1.v_lut.log_select_temp,6.980561e-01,4.908919e-03,7.032271e-03
200,layers.1.out_proj.weights,1.025943e+01,1.015813e+01,9.901264e-01
200,layers.1.out_proj.log_soft_score_temp,6.971496e-01,4.002452e-03,5.741166e-03
200,layers.1.out_proj.log_select_temp,6.971402e-01,3.993034e-03,5.727735e-03
200,layers.1.q_norm.weight,8.021396e+00,2.188292e-02,2.728069e-03
200,layers.1.q_norm.bias,1.033967e-02,1.033967e-02,1.000000e+00
200,layers.1.k_norm.weight,8.021120e+00,2.148511e-02,2.678568e-03
200,layers.1.k_norm.bias,1.166013e-02,1.166013e-02,1.000000e+00
200,layers.2.qk_lut.weights,2.227068e+00,2.181443e+00,9.795134e-01
200,layers.2.qk_lut.log_soft_score_temp,6.964293e-01,3.282070e-03,4.712712e-03
200,layers.2.qk_lut.log_select_temp,6.962888e-01,3.141582e-03,4.511895e-03
