step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497827,0.498084,0.497995,0.497997,0.496984,0.496873,0.498470,0.498493,0.497399,0.497431,0.497721,0.497787,0.498767,0.498865,0.497311,0.497370,0.498154,0.498191,0.499517,0.499601,0.497949,0.497991,0.499107,0.499057,0.498742,0.498964,0.498138,0.498197,0.498942,0.498981,0.499500,0.499553,0.498791,0.498809,0.500040,0.500051
400,0.490253,0.492385,0.496005,0.496160,0.489603,0.490185,0.496958,0.495747,0.493620,0.493919,0.494382,0.494890,0.496130,0.495852,0.492942,0.493527,0.495090,0.495459,0.496897,0.497084,0.495294,0.495770,0.499627,0.499297,0.496701,0.496689,0.495272,0.495735,0.496688,0.496803,0.497901,0.498260,0.497976,0.498125,0.500451,0.500295
600,0.477761,0.482901,0.491739,0.492534,0.477196,0.479391,0.501911,0.494922,0.486796,0.487247,0.490339,0.490078,0.496582,0.492065,0.483494,0.484791,0.489188,0.489798,0.495280,0.492549,0.488603,0.489969,0.501140,0.499440,0.497592,0.493827,0.488610,0.489874,0.492706,0.492451,0.496736,0.496826,0.496987,0.497282,0.501533,0.500840
800,0.460760,0.469296,0.485065,0.486866,0.463176,0.466326,0.511693,0.496170,0.477353,0.477518,0.495209,0.488224,0.506339,0.491398,0.470726,0.472390,0.485217,0.482678,0.501207,0.489037,0.476710,0.478903,0.507322,0.500712,0.503720,0.491265,0.477289,0.479285,0.487910,0.484632,0.497656,0.496014,0.495497,0.495961,0.504324,0.501850
1000,0.446402,0.457427,0.475069,0.478087,0.457367,0.456022,0.524715,0.498936,0.466624,0.465543,0.514692,0.495117,0.519935,0.492402,0.459133,0.460112,0.492464,0.477808,0.512433,0.487436,0.461873,0.464322,0.519952,0.502140,0.516471,0.491296,0.464633,0.466540,0.489337,0.475047,0.500579,0.495923,0.493679,0.494234,0.509386,0.503339
1200,0.435865,0.447982,0.465286,0.469205,0.460310,0.449212,0.538703,0.501540,0.459648,0.456170,0.541751,0.510966,0.534151,0.493838,0.448511,0.447227,0.510431,0.477413,0.528132,0.489020,0.447646,0.449036,0.535217,0.502967,0.533183,0.494146,0.453852,0.454445,0.498215,0.463906,0.505363,0.496539,0.492223,0.492575,0.516152,0.504883
1400,0.428313,0.440259,0.455330,0.459702,0.471102,0.445212,0.551919,0.504277,0.456207,0.449096,0.570761,0.530237,0.551379,0.496635,0.441945,0.435769,0.532219,0.480385,0.544834,0.490624,0.434441,0.433009,0.551607,0.502057,0.549535,0.496240,0.445902,0.443032,0.516171,0.454506,0.512356,0.497702,0.490965,0.490661,0.523903,0.506411
1600,0.423730,0.434513,0.446324,0.450425,0.488258,0.444143,0.565977,0.507537,0.455726,0.443880,0.602301,0.553144,0.570747,0.501408,0.438713,0.425715,0.558867,0.488573,0.563927,0.493739,0.425469,0.419092,0.570127,0.500611,0.567538,0.499944,0.442065,0.433711,0.538639,0.446118,0.523093,0.500129,0.490868,0.489049,0.532786,0.507785
1800,0.421686,0.430117,0.438405,0.441507,0.508280,0.445114,0.580409,0.511085,0.457896,0.440248,0.634751,0.576102,0.587446,0.504219,0.439473,0.417269,0.587200,0.496980,0.584059,0.498511,0.420093,0.406241,0.591729,0.499114,0.586455,0.503975,0.441553,0.425442,0.563966,0.441007,0.534829,0.502667,0.491433,0.487493,0.541471,0.508868
