step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047342e+02,1.721646e+00,8.409176e-03
200,unembedder.weight,1.053878e+02,1.557739e+01,1.478102e-01
200,layers.0.qk_lut.weights,3.273711e+00,3.112168e+00,9.506544e-01
200,layers.0.qk_lut.log_soft_score_temp,6.975018e-01,4.354656e-03,6.243218e-03
200,layers.0.qk_lut.log_select_temp,6.969875e-01,3.840327e-03,5.509894e-03
200,layers.0.v_lut.weights,9.795560e+00,9.574198e+00,9.774018e-01
200,layers.0.v_lut.log_soft_score_temp,6.971654e-01,4.018188e-03,5.763607e-03
200,layers.0.v_lut.log_select_temp,6.971603e-01,4.013121e-03,5.756382e-03
200,layers.0.out_proj.weights,8.407862e+00,8.283806e+00,9.852453e-01
200,layers.0.out_proj.log_soft_score_temp,6.991978e-01,6.050587e-03,8.653613e-03
200,layers.0.out_proj.log_select_temp,6.994212e-01,6.274045e-03,8.970338e-03
200,layers.0.q_norm.weight,8.012339e+00,1.430697e-02,1.785617e-03
200,layers.0.q_norm.bias,1.138621e-02,1.138621e-02,1.000000e+00
200,layers.0.k_norm.weight,8.012167e+00,1.414686e-02,1.765672e-03
200,layers.0.k_norm.bias,1.149237e-02,1.149237e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.677992e+00,3.545186e+00,9.638917e-01
200,layers.1.qk_lut.log_soft_score_temp,6.962128e-01,3.065646e-03,4.403317e-03
200,layers.1.qk_lut.log_select_temp,6.961663e-01,3.019154e-03,4.336829e-03
200,layers.1.v_lut.weights,1.074288e+01,1.054154e+01,9.812583e-01
200,layers.1.v_lut.log_soft_score_temp,6.983624e-01,5.215228e-03,7.467795e-03
200,layers.1.v_lut.log_select_temp,6.982974e-01,5.150259e-03,7.375451e-03
200,layers.1.out_proj.weights,9.905204e+00,9.800694e+00,9.894490e-01
200,layers.1.out_proj.log_soft_score_temp,6.977160e-01,4.568815e-03,6.548245e-03
200,layers.1.out_proj.log_select_temp,6.975839e-01,4.436731e-03,6.360140e-03
200,layers.1.q_norm.weight,8.022172e+00,2.347268e-02,2.925975e-03
200,layers.1.q_norm.bias,1.353481e-02,1.353481e-02,1.000000e+00
