step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047331e+02,1.785350e+00,8.720377e-03
200,unembedder.weight,1.054118e+02,1.564310e+01,1.484000e-01
200,layers.0.qk_lut.weights,1.547522e+00,1.465559e+00,9.470356e-01
200,layers.0.qk_lut.log_soft_score_temp,6.972054e-01,4.058242e-03,5.820726e-03
200,layers.0.qk_lut.log_select_temp,6.967421e-01,3.594875e-03,5.159550e-03
200,layers.0.v_lut.weights,5.243271e+00,5.134583e+00,9.792710e-01
200,layers.0.v_lut.log_soft_score_temp,6.988195e-01,5.672276e-03,8.116941e-03
200,layers.0.v_lut.log_select_temp,6.987970e-01,5.649805e-03,8.085045e-03
200,layers.0.out_proj.weights,8.668605e+00,8.549159e+00,9.862209e-01
200,layers.0.out_proj.log_soft_score_temp,6.998896e-01,6.742418e-03,9.633545e-03
200,layers.0.out_proj.log_select_temp,7.000087e-01,6.861508e-03,9.802032e-03
200,layers.0.q_norm.weight,8.014649e+00,1.623489e-02,2.025652e-03
200,layers.0.q_norm.bias,7.225732e-03,7.225732e-03,1.000000e+00
200,layers.0.k_norm.weight,8.014445e+00,1.624178e-02,2.026563e-03
200,layers.0.k_norm.bias,1.270666e-02,1.270666e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.887888e+00,1.832013e+00,9.704035e-01
200,layers.1.qk_lut.log_soft_score_temp,6.964379e-01,3.290713e-03,4.725063e-03
200,layers.1.qk_lut.log_select_temp,6.966334e-01,3.486216e-03,5.004377e-03
200,layers.1.v_lut.weights,5.814291e+00,5.719324e+00,9.836666e-01
200,layers.1.v_lut.log_soft_score_temp,6.986517e-01,5.504549e-03,7.878816e-03
200,layers.1.v_lut.log_select_temp,6.985654e-01,5.418241e-03,7.756240e-03
200,layers.1.out_proj.weights,9.996029e+00,9.891691e+00,9.895621e-01
200,layers.1.out_proj.log_soft_score_temp,6.973879e-01,4.240751e-03,6.080907e-03
200,layers.1.out_proj.log_select_temp,6.974208e-01,4.273653e-03,6.127797e-03
200,layers.1.q_norm.weight,8.025158e+00,2.642456e-02,3.292716e-03
200,layers.1.q_norm.bias,1.297383e-02,1.297383e-02,1.000000e+00
200,layers.1.k_norm.weight,8.024878e+00,2.581129e-02,3.216409e-03
200,layers.1.k_norm.bias,2.097124e-02,2.097124e-02,1.000000e+00
200,layers.2.qk_lut.weights,2.129944e+00,2.077327e+00,9.752967e-01
200,layers.2.qk_lut.log_soft_score_temp,6.956019e-01,2.454758e-03,3.528969e-03
200,layers.2.qk_lut.log_select_temp,6.957142e-01,2.566993e-03,3.689724e-03
200,layers.2.v_lut.weights,6.280911e+00,6.193498e+00,9.860828e-01
200,layers.2.v_lut.log_soft_score_temp,6.979073e-01,4.760146e-03,6.820599e-03
200,layers.2.v_lut.log_select_temp,6.978691e-01,4.721880e-03,6.766140e-03
200,layers.2.out_proj.weights,9.882590e+00,9.778855e+00,9.895033e-01
200,layers.2.out_proj.log_soft_score_temp,6.962516e-01,3.104389e-03,4.458717e-03
200,layers.2.out_proj.log_select_temp,6.962773e-01,3.130078e-03,4.495448e-03
200,layers.2.q_norm.weight,8.023143e+00,2.419494e-02,3.015644e-03
200,layers.2.q_norm.bias,1.532678e-02,1.532678e-02,1.000000e+00
200,layers.2.k_norm.weight,8.021620e+00,2.273971e-02,2.834803e-03
200,layers.2.k_norm.bias,1.819114e-02,1.819114e-02,1.000000e+00
200,layers.3.qk_lut.weights,2.148270e+00,2.093758e+00,9.746250e-01
200,layers.3.qk_lut.log_soft_score_temp,6.960661e-01,2.918959e-03,4.193508e-03
200,layers.3.qk_lut.log_select_temp,6.959762e-01,2.829015e-03,4.064816e-03
200,layers.3.v_lut.weights,6.119328e+00,6.030283e+00,9.854485e-01
200,layers.3.v_lut.log_soft_score_temp,6.977005e-01,4.553318e-03,6.526179e-03
200,layers.3.v_lut.log_select_temp,6.976459e-01,4.498720e-03,6.448429e-03
200,layers.3.out_proj.weights,9.486120e+00,9.377517e+00,9.885513e-01
200,layers.3.out_proj.log_soft_score_temp,6.958191e-01,2.671957e-03,3.840017e-03
200,layers.3.out_proj.log_select_temp,6.958414e-01,2.694190e-03,3.871844e-03
200,layers.3.q_norm.weight,8.029212e+00,3.022408e-02,3.764265e-03
200,layers.3.q_norm.bias,1.747078e-02,1.747078e-02,1.000000e+00
200,layers.3.k_norm.weight,8.028148e+00,2.914250e-02,3.630040e-03
200,layers.3.k_norm.bias,2.206010e-02,2.206010e-02,1.000000e+00
200,layers.4.qk_lut.weights,2.142653e+00,2.087222e+00,9.741296e-01
200,layers.4.qk_lut.log_soft_score_temp,6.961942e-01,3.046989e-03,4.376637e-03
200,layers.4.qk_lut.log_select_temp,6.961565e-01,3.009319e-03,4.322763e-03
200,layers.4.v_lut.weights,5.990561e+00,5.900730e+00,9.850045e-01
200,layers.4.v_lut.log_soft_score_temp,6.965859e-01,3.438711e-03,4.936521e-03
200,layers.4.v_lut.log_select_temp,6.965575e-01,3.410339e-03,4.895991e-03
200,layers.4.out_proj.weights,1.117906e+01,1.108644e+01,9.917149e-01
200,layers.4.out_proj.log_soft_score_temp,6.943648e-01,1.217604e-03,1.753550e-03
200,layers.4.out_proj.log_select_temp,6.944460e-01,1.298845e-03,1.870332e-03
200,layers.4.q_norm.weight,8.019752e+00,2.139718e-02,2.668061e-03
200,layers.4.q_norm.bias,9.963715e-03,9.963715e-03,1.000000e+00
200,layers.4.k_norm.weight,8.019432e+00,2.106253e-02,2.626436e-03
200,layers.4.k_norm.bias,1.293688e-02,1.293688e-02,1.000000e+00
200,layers.5.qk_lut.weights,2.202048e+00,2.148144e+00,9.755209e-01
200,layers.5.qk_lut.log_soft_score_temp,6.963829e-01,3.235757e-03,4.646520e-03
200,layers.5.qk_lut.log_select_temp,6.963928e-01,3.245592e-03,4.660577e-03
200,layers.5.v_lut.weights,6.065328e+00,5.977426e+00,9.855074e-01
200,layers.5.v_lut.log_soft_score_temp,6.967652e-01,3.618002e-03,5.192570e-03
200,layers.5.v_lut.log_select_temp,6.966816e-01,3.534377e-03,5.073159e-03
