step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047477e+02,1.757848e+00,8.585432e-03
200,unembedder.weight,1.054006e+02,1.562210e+01,1.482164e-01
200,layers.0.qk_lut.weights,1.584570e+00,1.502693e+00,9.483281e-01
200,layers.0.qk_lut.log_soft_score_temp,6.972104e-01,4.063249e-03,5.827866e-03
200,layers.0.qk_lut.log_select_temp,6.966988e-01,3.551602e-03,5.097759e-03
200,layers.0.v_lut.weights,4.368148e+00,4.241653e+00,9.710414e-01
200,layers.0.v_lut.log_soft_score_temp,6.966806e-01,3.533423e-03,5.071797e-03
200,layers.0.v_lut.log_select_temp,6.966461e-01,3.498912e-03,5.022510e-03
200,layers.0.out_proj.weights,8.022038e+00,7.892310e+00,9.838285e-01
200,layers.0.out_proj.log_soft_score_temp,6.972365e-01,4.089296e-03,5.865006e-03
200,layers.0.out_proj.log_select_temp,6.972954e-01,4.148245e-03,5.949049e-03
200,layers.0.q_norm.weight,8.011468e+00,1.253419e-02,1.564531e-03
200,layers.0.q_norm.bias,6.830896e-03,6.830896e-03,1.000000e+00
200,layers.0.k_norm.weight,8.011644e+00,1.269996e-02,1.585188e-03
200,layers.0.k_norm.bias,8.883584e-03,8.883584e-03,1.000000e+00
200,layers.1.qk_lut.weights,1.758446e+00,1.694359e+00,9.635543e-01
200,layers.1.qk_lut.log_soft_score_temp,6.948288e-01,1.681626e-03,2.420202e-03
200,layers.1.qk_lut.log_select_temp,6.954510e-01,2.303779e-03,3.312641e-03
200,layers.1.v_lut.weights,4.295851e+00,4.169216e+00,9.705215e-01
200,layers.1.v_lut.log_soft_score_temp,6.966067e-01,3.459513e-03,4.966236e-03
200,layers.1.v_lut.log_select_temp,6.965057e-01,3.358543e-03,4.821989e-03
200,layers.1.out_proj.weights,9.351908e+00,9.240431e+00,9.880798e-01
200,layers.1.out_proj.log_soft_score_temp,6.945608e-01,1.413584e-03,2.035220e-03
200,layers.1.out_proj.log_select_temp,6.945690e-01,1.421809e-03,2.047038e-03
200,layers.1.q_norm.weight,8.018690e+00,2.074942e-02,2.587632e-03
200,layers.1.q_norm.bias,1.195443e-02,1.195443e-02,1.000000e+00
200,layers.1.k_norm.weight,8.018142e+00,2.042996e-02,2.547966e-03
200,layers.1.k_norm.bias,1.586205e-02,1.586205e-02,1.000000e+00
200,layers.2.qk_lut.weights,1.813902e+00,1.745339e+00,9.622013e-01
200,layers.2.qk_lut.log_soft_score_temp,6.956232e-01,2.476037e-03,3.559451e-03
200,layers.2.qk_lut.log_select_temp,6.956679e-01,2.520740e-03,3.623482e-03
200,layers.2.v_lut.weights,4.846408e+00,4.733951e+00,9.767957e-01
200,layers.2.v_lut.log_soft_score_temp,6.967113e-01,3.564119e-03,5.115633e-03
200,layers.2.v_lut.log_select_temp,6.965749e-01,3.427744e-03,4.920855e-03
200,layers.2.out_proj.weights,9.773376e+00,9.667767e+00,9.891942e-01
200,layers.2.out_proj.log_soft_score_temp,6.942230e-01,1.075864e-03,1.549738e-03
200,layers.2.out_proj.log_select_temp,6.942345e-01,1.087368e-03,1.566283e-03
200,layers.2.q_norm.weight,8.014003e+00,1.563817e-02,1.951356e-03
