step,train_loss,val_bpb
200,8.541610,2.259919
400,6.972136,1.998279
600,6.347511,1.888298
800,6.037078,1.826302
1000,5.850623,1.775904
1200,5.696004,1.738568
1400,5.585764,1.707497
1600,5.488733,1.683026
1800,5.416282,1.667034
2000,5.331906,1.645032
2200,5.300962,1.629956
2400,5.255348,1.616416
2600,5.190747,1.602811
2800,5.159477,1.591114
3000,5.120925,1.578793
3200,5.075677,1.565258
3400,5.035142,1.557082
3600,5.007577,1.548598
3800,4.970211,1.537415
4000,4.944676,1.529175
4200,4.908722,1.518566
4400,4.889088,1.511625
4600,4.857923,1.502735
4800,4.859674,1.495078
5000,4.803438,1.486557
5200,4.785571,1.480411
5400,4.761286,1.474627
5600,4.724952,1.469406
5800,4.718347,1.463475
6000,4.702927,1.457171
6200,4.682231,1.453824
6400,4.674692,1.449750
6600,4.649531,1.446386
6800,4.648801,1.443106
7000,4.647849,1.440879
7200,4.632767,1.437838
7400,4.609055,1.435976
7600,4.594499,1.433906
7800,4.595908,1.431436
8000,4.600087,1.430040
