step,train_loss,val_bpb
200,8.514915,2.249538
400,6.904555,1.974517
600,6.280598,1.869475
800,5.978331,1.810786
1000,5.796341,1.759692
1200,5.647003,1.724454
1400,5.539383,1.694904
1600,5.444038,1.670903
1800,5.372979,1.654519
2000,5.289538,1.635831
2200,5.259436,1.620234
2400,5.214029,1.605561
2600,5.151038,1.591535
2800,5.121078,1.580596
3000,5.082915,1.568410
3200,5.039327,1.555784
3400,4.999523,1.546925
3600,4.972907,1.539394
3800,4.937156,1.526935
4000,4.912591,1.519282
4200,4.878561,1.510238
4400,4.859552,1.502338
4600,4.830598,1.494811
4800,4.833998,1.488035
5000,4.778191,1.478465
5200,4.761403,1.473390
5400,4.739438,1.468381
5600,4.704178,1.462978
5800,4.696655,1.457133
6000,4.682199,1.452461
6200,4.663884,1.448514
6400,4.655295,1.445267
6600,4.630995,1.441533
6800,4.629263,1.438569
7000,4.630763,1.436165
7200,4.616668,1.433812
7400,4.592296,1.431335
7600,4.578687,1.429845
7800,4.579556,1.427627
8000,4.583663,1.426205
