step,train_loss,val_bpb,T_sel_mean,T_sel_min,T_sel_max
100,4.598428,1.424759,0.245305,0.186309,0.400937
200,4.619704,1.431756,0.132870,0.104228,0.205990
300,4.652274,1.438591,0.072002,0.058309,0.105831
400,4.652541,1.443716,0.039035,0.032620,0.054373
500,4.670161,1.447037,0.021172,0.018249,0.027935
600,4.680127,1.449319,0.011488,0.010209,0.014352
700,4.678819,1.450844,0.006236,0.005711,0.007374
800,4.674539,1.451561,0.003387,0.003195,0.003788
900,4.683467,1.452808,0.001840,0.001788,0.001946
1000,4.678913,1.452978,0.001000,0.001000,0.001000
