step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,1.254514e+02,9.874730e-01,7.871361e-03
200,pre_lut.weights,3.576350e+00,3.462007e+00,9.680278e-01
200,pre_lut.log_soft_score_temp,6.994722e-01,6.325006e-03,9.042542e-03
200,pre_lut.log_select_temp,6.994387e-01,6.291509e-03,8.995082e-03
200,unembedder.weight,1.053426e+02,1.548283e+01,1.469759e-01
200,layers.0.qk_lut.weights,3.553391e+00,3.404534e+00,9.581086e-01
200,layers.0.qk_lut.log_soft_score_temp,6.955272e-01,2.380013e-03,3.421884e-03
200,layers.0.qk_lut.log_select_temp,6.960582e-01,2.911031e-03,4.182166e-03
200,layers.0.v_lut.weights,2.512194e+00,2.352714e+00,9.365176e-01
200,layers.0.v_lut.log_soft_score_temp,6.959647e-01,2.817512e-03,4.048354e-03
200,layers.0.v_lut.log_select_temp,6.960702e-01,2.923012e-03,4.199306e-03
200,layers.0.out_proj.weights,4.722133e+00,4.568389e+00,9.674420e-01
200,layers.0.out_proj.log_soft_score_temp,6.923302e-01,8.169413e-04,1.179988e-03
200,layers.0.out_proj.log_select_temp,6.926872e-01,4.599690e-04,6.640357e-04
200,layers.0.residual_lut.weights,4.459383e+00,4.344720e+00,9.742871e-01
200,layers.0.residual_lut.log_soft_score_temp,6.978823e-01,4.735112e-03,6.784973e-03
200,layers.0.residual_lut.log_select_temp,6.981784e-01,5.031168e-03,7.206136e-03
200,layers.0.q_norm.weight,8.015239e+00,2.007803e-02,2.504982e-03
200,layers.0.q_norm.bias,1.215694e-02,1.215694e-02,1.000000e+00
200,layers.0.k_norm.weight,8.014792e+00,1.930844e-02,2.409101e-03
200,layers.0.k_norm.bias,1.605831e-02,1.605831e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.636262e+00,3.491283e+00,9.601299e-01
200,layers.1.qk_lut.log_soft_score_temp,6.934595e-01,3.123283e-04,4.503916e-04
200,layers.1.qk_lut.log_select_temp,6.943843e-01,1.237094e-03,1.781570e-03
200,layers.1.v_lut.weights,2.625830e+00,2.471496e+00,9.412246e-01
200,layers.1.v_lut.log_soft_score_temp,6.953891e-01,2.241910e-03,3.223964e-03
200,layers.1.v_lut.log_select_temp,6.955325e-01,2.385318e-03,3.429485e-03
200,layers.1.out_proj.weights,4.790079e+00,4.634235e+00,9.674653e-01
200,layers.1.out_proj.log_soft_score_temp,6.914605e-01,1.686633e-03,2.439232e-03
200,layers.1.out_proj.log_select_temp,6.916744e-01,1.472831e-03,2.129370e-03
200,layers.1.residual_lut.weights,4.333777e+00,4.219205e+00,9.735629e-01
200,layers.1.residual_lut.log_soft_score_temp,6.963463e-01,3.199160e-03,4.594208e-03
200,layers.1.residual_lut.log_select_temp,6.967878e-01,3.640592e-03,5.224822e-03
200,layers.1.q_norm.weight,8.006642e+00,1.382358e-02,1.726514e-03
200,layers.1.q_norm.bias,1.051363e-02,1.051363e-02,1.000000e+00
200,layers.1.k_norm.weight,8.005902e+00,1.333999e-02,1.666270e-03
200,layers.1.k_norm.bias,1.494476e-02,1.494476e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.554431e+00,3.405269e+00,9.580348e-01
200,layers.2.qk_lut.log_soft_score_temp,6.939251e-01,7.779002e-04,1.121015e-03
200,layers.2.qk_lut.log_select_temp,6.947474e-01,1.600266e-03,2.303377e-03
200,layers.2.v_lut.weights,2.784536e+00,2.639228e+00,9.478162e-01
200,layers.2.v_lut.log_soft_score_temp,6.963528e-01,3.205657e-03,4.603495e-03
200,layers.2.v_lut.log_select_temp,6.964192e-01,3.272057e-03,4.698401e-03
200,layers.2.out_proj.weights,4.882339e+00,4.725504e+00,9.678772e-01
200,layers.2.out_proj.log_soft_score_temp,6.928240e-01,3.231764e-04,4.664625e-04
200,layers.2.out_proj.log_select_temp,6.931418e-01,5.424023e-06,7.825272e-06
200,layers.2.residual_lut.weights,4.272518e+00,4.157678e+00,9.731212e-01
200,layers.2.residual_lut.log_soft_score_temp,6.953146e-01,2.167404e-03,3.117156e-03
200,layers.2.residual_lut.log_select_temp,6.958547e-01,2.707481e-03,3.890872e-03
200,layers.2.q_norm.weight,8.006605e+00,1.361647e-02,1.700654e-03
200,layers.2.q_norm.bias,8.814132e-03,8.814132e-03,1.000000e+00
200,layers.2.k_norm.weight,8.006113e+00,1.316919e-02,1.644892e-03
200,layers.2.k_norm.bias,1.353492e-02,1.353492e-02,1.000000e+00
200,layers.3.qk_lut.weights,3.522196e+00,3.369636e+00,9.566861e-01
200,layers.3.qk_lut.log_soft_score_temp,6.944873e-01,1.340091e-03,1.929612e-03
200,layers.3.qk_lut.log_select_temp,6.951145e-01,1.967311e-03,2.830197e-03
200,layers.3.v_lut.weights,2.802549e+00,2.658792e+00,9.487050e-01
200,layers.3.v_lut.log_soft_score_temp,6.946726e-01,1.525462e-03,2.195943e-03
200,layers.3.v_lut.log_select_temp,6.946964e-01,1.549244e-03,2.230102e-03
200,layers.3.out_proj.weights,5.235383e+00,5.089037e+00,9.720468e-01
200,layers.3.out_proj.log_soft_score_temp,6.921660e-01,9.811521e-04,1.417510e-03
200,layers.3.out_proj.log_select_temp,6.922556e-01,8.915663e-04,1.287915e-03
200,layers.3.residual_lut.weights,4.223409e+00,4.108133e+00,9.727056e-01
200,layers.3.residual_lut.log_soft_score_temp,6.939073e-01,7.600784e-04,1.095360e-03
200,layers.3.residual_lut.log_select_temp,6.945882e-01,1.441061e-03,2.074699e-03
200,layers.3.q_norm.weight,7.999426e+00,5.101710e-03,6.377595e-04
200,layers.3.q_norm.bias,4.134244e-03,4.134244e-03,1.000000e+00
200,layers.3.k_norm.weight,7.999125e+00,5.208895e-03,6.511831e-04
200,layers.3.k_norm.bias,6.451602e-03,6.451602e-03,1.000000e+00
200,layers.4.qk_lut.weights,3.408687e+00,3.251185e+00,9.537940e-01
200,layers.4.qk_lut.log_soft_score_temp,6.955901e-01,2.442956e-03,3.512062e-03
200,layers.4.qk_lut.log_select_temp,6.960456e-01,2.898395e-03,4.164088e-03
200,layers.4.v_lut.weights,2.919359e+00,2.780728e+00,9.525134e-01
200,layers.4.v_lut.log_soft_score_temp,6.947300e-01,1.582801e-03,2.278297e-03
200,layers.4.v_lut.log_select_temp,6.948209e-01,1.673758e-03,2.408906e-03
200,layers.4.out_proj.weights,5.347280e+00,5.201598e+00,9.727560e-01
200,layers.4.out_proj.log_soft_score_temp,6.925842e-01,5.629659e-04,8.128483e-04
200,layers.4.out_proj.log_select_temp,6.926408e-01,5.063415e-04,7.310303e-04
200,layers.4.residual_lut.weights,4.271580e+00,4.159083e+00,9.736639e-01
200,layers.4.residual_lut.log_soft_score_temp,6.931764e-01,2.920628e-05,4.213397e-05
200,layers.4.residual_lut.log_select_temp,6.938224e-01,6.752610e-04,9.732476e-04
200,layers.4.q_norm.weight,8.003782e+00,6.381323e-03,7.972884e-04
200,layers.4.q_norm.bias,5.873734e-03,5.873734e-03,1.000000e+00
200,layers.4.k_norm.weight,8.003566e+00,5.829846e-03,7.284061e-04
200,layers.4.k_norm.bias,9.810518e-03,9.810518e-03,1.000000e+00
200,layers.5.qk_lut.weights,3.535261e+00,3.385354e+00,9.575966e-01
200,layers.5.qk_lut.log_soft_score_temp,6.950300e-01,1.882851e-03,2.709021e-03
200,layers.5.qk_lut.log_select_temp,6.952760e-01,2.128839e-03,3.061862e-03
200,layers.5.v_lut.weights,3.178595e+00,3.053517e+00,9.606498e-01
200,layers.5.v_lut.log_soft_score_temp,6.942331e-01,1.085937e-03,1.564225e-03
200,layers.5.v_lut.log_select_temp,6.943063e-01,1.159132e-03,1.669481e-03
200,layers.5.out_proj.weights,7.661254e+00,7.559859e+00,9.867652e-01
200,layers.5.out_proj.log_soft_score_temp,6.928099e-01,3.373027e-04,4.868618e-04
200,layers.5.out_proj.log_select_temp,6.928402e-01,3.069639e-04,4.430515e-04
200,layers.5.residual_lut.weights,4.908775e+00,4.812769e+00,9.804419e-01
200,layers.5.residual_lut.log_soft_score_temp,6.919411e-01,1.206100e-03,1.743067e-03
200,layers.5.residual_lut.log_select_temp,6.924815e-01,6.657243e-04,9.613604e-04
200,layers.5.q_norm.weight,8.002049e+00,3.734536e-03,4.666974e-04
200,layers.5.q_norm.bias,3.781747e-03,3.781747e-03,1.000000e+00
200,layers.5.k_norm.weight,8.001821e+00,4.427688e-03,5.533350e-04
200,layers.5.k_norm.bias,5.250305e-03,5.250305e-03,1.000000e+00
200,ln_final.weight,1.974509e+01,1.491876e-01,7.555679e-03
200,ln_final.bias,1.440692e-01,1.440692e-01,1.000000e+00
400,tok_emb_E.weight,1.254783e+02,2.759392e+00,2.199099e-02
400,pre_lut.weights,9.197333e+00,7.379964e+00,8.024026e-01
400,pre_lut.log_soft_score_temp,7.206953e-01,2.122313e-02,2.944813e-02
400,pre_lut.log_select_temp,7.205288e-01,2.109009e-02,2.927030e-02
400,unembedder.weight,1.113873e+02,2.712910e+01,2.435564e-01
400,layers.0.qk_lut.weights,9.352638e+00,8.105076e+00,8.666085e-01
400,layers.0.qk_lut.log_soft_score_temp,6.869557e-01,8.571506e-03,1.247752e-02
400,layers.0.qk_lut.log_select_temp,6.928660e-01,3.192246e-03,4.607307e-03
400,layers.0.v_lut.weights,7.488383e+00,6.697533e+00,8.943897e-01
400,layers.0.v_lut.log_soft_score_temp,7.022864e-01,6.321728e-03,9.001638e-03
400,layers.0.v_lut.log_select_temp,7.079797e-01,1.190948e-02,1.682179e-02
400,layers.0.out_proj.weights,1.199595e+01,1.074783e+01,8.959549e-01
400,layers.0.out_proj.log_soft_score_temp,6.971937e-01,4.863441e-03,6.975739e-03
400,layers.0.out_proj.log_select_temp,7.004409e-01,7.753730e-03,1.106978e-02
400,layers.0.residual_lut.weights,1.057750e+01,8.776072e+00,8.296924e-01
400,layers.0.residual_lut.log_soft_score_temp,7.109007e-01,1.301837e-02,1.831250e-02
400,layers.0.residual_lut.log_select_temp,7.121826e-01,1.400423e-02,1.966382e-02
400,layers.0.q_norm.weight,8.076854e+00,7.488297e-02,9.271304e-03
400,layers.0.q_norm.bias,5.375967e-02,4.265876e-02,7.935087e-01
400,layers.0.k_norm.weight,8.074306e+00,7.266326e-02,8.999318e-03
400,layers.0.k_norm.bias,7.034259e-02,5.649028e-02,8.030736e-01
400,layers.1.qk_lut.weights,9.439196e+00,8.149704e+00,8.633897e-01
400,layers.1.qk_lut.log_soft_score_temp,6.882038e-01,5.255699e-03,7.636835e-03
400,layers.1.qk_lut.log_select_temp,6.938261e-01,5.581379e-04,8.044348e-04
400,layers.1.v_lut.weights,7.271527e+00,6.425283e+00,8.836222e-01
400,layers.1.v_lut.log_soft_score_temp,7.066221e-01,1.123297e-02,1.589672e-02
400,layers.1.v_lut.log_select_temp,7.081510e-01,1.261848e-02,1.781891e-02
400,layers.1.out_proj.weights,1.254209e+01,1.130687e+01,9.015147e-01
400,layers.1.out_proj.log_soft_score_temp,6.880234e-01,3.437102e-03,4.995617e-03
400,layers.1.out_proj.log_select_temp,6.911052e-01,5.691051e-04,8.234710e-04
400,layers.1.residual_lut.weights,1.019673e+01,8.577793e+00,8.412294e-01
400,layers.1.residual_lut.log_soft_score_temp,7.047181e-01,8.371770e-03,1.187960e-02
400,layers.1.residual_lut.log_select_temp,7.071856e-01,1.039779e-02,1.470306e-02
400,layers.1.q_norm.weight,8.039509e+00,4.878253e-02,6.067850e-03
400,layers.1.q_norm.bias,4.506189e-02,3.494902e-02,7.755783e-01
400,layers.1.k_norm.weight,8.035872e+00,4.601986e-02,5.726804e-03
400,layers.1.k_norm.bias,6.622468e-02,5.246012e-02,7.921536e-01
400,layers.2.qk_lut.weights,9.457067e+00,8.252418e+00,8.726192e-01
400,layers.2.qk_lut.log_soft_score_temp,6.909146e-01,3.010511e-03,4.357285e-03
400,layers.2.qk_lut.log_select_temp,6.959999e-01,1.252472e-03,1.799530e-03
400,layers.2.v_lut.weights,7.707532e+00,6.800689e+00,8.823432e-01
400,layers.2.v_lut.log_soft_score_temp,7.071694e-01,1.081657e-02,1.529559e-02
400,layers.2.v_lut.log_select_temp,7.087052e-01,1.228601e-02,1.733585e-02
400,layers.2.out_proj.weights,1.257090e+01,1.123443e+01,8.936852e-01
400,layers.2.out_proj.log_soft_score_temp,6.915569e-01,1.267076e-03,1.832207e-03
400,layers.2.out_proj.log_select_temp,6.939188e-01,7.770061e-04,1.119736e-03
400,layers.2.residual_lut.weights,9.987123e+00,8.482521e+00,8.493458e-01
400,layers.2.residual_lut.log_soft_score_temp,6.996191e-01,4.304528e-03,6.152674e-03
400,layers.2.residual_lut.log_select_temp,7.031038e-01,7.249117e-03,1.031017e-02
400,layers.2.q_norm.weight,8.033708e+00,4.167739e-02,5.187815e-03
400,layers.2.q_norm.bias,3.464222e-02,2.613833e-02,7.545224e-01
400,layers.2.k_norm.weight,8.031618e+00,3.905455e-02,4.862600e-03
400,layers.2.k_norm.bias,5.359367e-02,4.098952e-02,7.648202e-01
