step,train_loss,val_bpb
200,8.516240,2.253813
400,6.946327,1.991592
600,6.324703,1.883211
800,6.013135,1.820653
1000,5.820650,1.766453
1200,5.660113,1.728592
1400,5.540974,1.692724
1600,5.436705,1.666936
1800,5.356148,1.647651
2000,5.266461,1.626266
2200,5.231874,1.609099
2400,5.180969,1.594283
2600,5.117057,1.581090
2800,5.086552,1.568036
3000,5.047057,1.556892
3200,5.005753,1.544913
3400,4.966828,1.536607
3600,4.942683,1.529089
3800,4.908179,1.518465
4000,4.887519,1.510742
4200,4.854707,1.502406
4400,4.837147,1.495308
4600,4.810791,1.488264
4800,4.815330,1.481510
5000,4.761562,1.474015
5200,4.746531,1.469137
5400,4.725989,1.464270
5600,4.692960,1.458912
5800,4.687706,1.453601
6000,4.673851,1.448469
6200,4.656382,1.445589
6400,4.648651,1.442583
6600,4.627710,1.439060
6800,4.626549,1.436455
7000,4.626999,1.434020
7200,4.613246,1.431640
7400,4.590544,1.429922
7600,4.577043,1.428302
7800,4.578218,1.426552
8000,4.583303,1.424737
