step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,1.254535e+02,1.048800e+00,8.360072e-03
200,emb_resid_lut.weights,4.698341e+00,4.594737e+00,9.779488e-01
200,emb_resid_lut.log_soft_score_temp,7.001279e-01,6.980717e-03,9.970631e-03
200,emb_resid_lut.log_select_temp,7.000853e-01,6.938100e-03,9.910364e-03
200,unembedder.weight,1.053505e+02,1.550505e+01,1.471759e-01
200,layers.0.qk_lut.weights,3.416619e+00,3.259191e+00,9.539229e-01
200,layers.0.qk_lut.log_soft_score_temp,6.975474e-01,4.400253e-03,6.308178e-03
200,layers.0.qk_lut.log_select_temp,6.970897e-01,3.942490e-03,5.655642e-03
200,layers.0.v_lut.weights,2.627491e+00,2.472250e+00,9.409166e-01
200,layers.0.v_lut.log_soft_score_temp,6.979988e-01,4.851580e-03,6.950700e-03
200,layers.0.v_lut.log_select_temp,6.978740e-01,4.726768e-03,6.773096e-03
200,layers.0.out_proj.weights,4.550086e+00,4.389573e+00,9.647229e-01
200,layers.0.out_proj.log_soft_score_temp,6.948748e-01,1.727641e-03,2.486262e-03
200,layers.0.out_proj.log_select_temp,6.954545e-01,2.307355e-03,3.317766e-03
200,layers.0.residual_lut.weights,4.234344e+00,4.122404e+00,9.735637e-01
200,layers.0.residual_lut.log_soft_score_temp,6.963746e-01,3.227413e-03,4.634593e-03
200,layers.0.residual_lut.log_select_temp,6.969697e-01,3.822505e-03,5.484464e-03
200,layers.0.q_norm.weight,8.017591e+00,2.055801e-02,2.564113e-03
200,layers.0.q_norm.bias,1.227811e-02,1.227811e-02,1.000000e+00
200,layers.0.k_norm.weight,8.017811e+00,2.075855e-02,2.589055e-03
200,layers.0.k_norm.bias,1.530792e-02,1.530792e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.666512e+00,3.526529e+00,9.618210e-01
200,layers.1.qk_lut.log_soft_score_temp,6.918584e-01,1.288831e-03,1.862854e-03
200,layers.1.qk_lut.log_select_temp,6.936452e-01,4.980564e-04,7.180276e-04
200,layers.1.v_lut.weights,2.765713e+00,2.620323e+00,9.474314e-01
200,layers.1.v_lut.log_soft_score_temp,6.948027e-01,1.655519e-03,2.382718e-03
200,layers.1.v_lut.log_select_temp,6.949661e-01,1.818955e-03,2.617329e-03
200,layers.1.out_proj.weights,4.781289e+00,4.624362e+00,9.671788e-01
200,layers.1.out_proj.log_soft_score_temp,6.923301e-01,8.170605e-04,1.180160e-03
200,layers.1.out_proj.log_select_temp,6.925162e-01,6.309748e-04,9.111336e-04
200,layers.1.residual_lut.weights,4.130983e+00,4.016534e+00,9.722951e-01
200,layers.1.residual_lut.log_soft_score_temp,6.936609e-01,5.137324e-04,7.406103e-04
200,layers.1.residual_lut.log_select_temp,6.943401e-01,1.192868e-03,1.717988e-03
200,layers.1.q_norm.weight,8.010872e+00,1.564812e-02,1.953360e-03
200,layers.1.q_norm.bias,1.172771e-02,1.172771e-02,1.000000e+00
200,layers.1.k_norm.weight,8.010300e+00,1.499539e-02,1.872014e-03
200,layers.1.k_norm.bias,1.622996e-02,1.622996e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.581273e+00,3.435479e+00,9.592900e-01
200,layers.2.qk_lut.log_soft_score_temp,6.906629e-01,2.484322e-03,3.597011e-03
200,layers.2.qk_lut.log_select_temp,6.926907e-01,4.564524e-04,6.589555e-04
200,layers.2.v_lut.weights,2.872029e+00,2.731759e+00,9.511602e-01
200,layers.2.v_lut.log_soft_score_temp,6.954673e-01,2.320111e-03,3.336046e-03
200,layers.2.v_lut.log_select_temp,6.955441e-01,2.396941e-03,3.446138e-03
200,layers.2.out_proj.weights,5.047491e+00,4.896028e+00,9.699924e-01
200,layers.2.out_proj.log_soft_score_temp,6.924281e-01,7.190704e-04,1.038477e-03
200,layers.2.out_proj.log_select_temp,6.925620e-01,5.851984e-04,8.449762e-04
200,layers.2.residual_lut.weights,4.143330e+00,4.029507e+00,9.725286e-01
200,layers.2.residual_lut.log_soft_score_temp,6.926777e-01,4.695058e-04,6.778128e-04
200,layers.2.residual_lut.log_select_temp,6.933682e-01,2.210140e-04,3.187542e-04
200,layers.2.q_norm.weight,8.004975e+00,1.144022e-02,1.429138e-03
200,layers.2.q_norm.bias,7.434512e-03,7.434512e-03,1.000000e+00
200,layers.2.k_norm.weight,8.004325e+00,1.078515e-02,1.347416e-03
200,layers.2.k_norm.bias,1.235247e-02,1.235247e-02,1.000000e+00
