step,train_loss,val_bpb
200,8.538044,2.259164
400,6.941958,1.987652
600,6.319523,1.881094
800,6.012828,1.819782
1000,5.824690,1.766710
1200,5.667033,1.731201
1400,5.548021,1.696348
1600,5.446000,1.669534
1800,5.367417,1.651174
2000,5.279242,1.629332
2200,5.246033,1.612979
2400,5.198981,1.598582
2600,5.137211,1.586202
2800,5.106842,1.575719
3000,5.069333,1.563694
3200,5.028000,1.552188
3400,4.990265,1.543872
3600,4.968397,1.536408
3800,4.934036,1.526118
4000,4.912960,1.519153
4200,4.882777,1.512184
4400,4.866960,1.504559
4600,4.841164,1.498633
4800,4.847014,1.492864
5000,4.795764,1.484179
5200,4.781133,1.479758
5400,4.762177,1.475973
5600,4.728769,1.470907
5800,4.724315,1.465416
6000,4.711814,1.460741
6200,4.694415,1.457169
6400,4.687580,1.454536
6600,4.665542,1.450673
6800,4.663565,1.448518
7000,4.665714,1.446069
7200,4.652953,1.443185
7400,4.631080,1.441780
7600,4.617600,1.440354
7800,4.619176,1.438247
8000,4.623616,1.437132
