step,train_loss,val_bpb
200,4.096658,1.280168
400,4.106884,1.299201
600,4.133662,1.300596
800,4.130804,1.299233
1000,4.133175,1.298348
1200,4.120360,1.295405
1400,4.110199,1.291335
1600,4.116192,1.288889
1800,4.088879,1.284439
2000,4.065864,1.279734
2200,4.051798,1.276613
2400,4.043187,1.272467
2600,4.017182,1.268413
2800,4.010746,1.265070
3000,4.001541,1.261002
3200,4.000877,1.258394
3400,3.979584,1.256047
3600,3.968596,1.254600
3800,3.975546,1.252502
4000,3.967184,1.251286
