step,train_loss,val_bpb
200,8.798739,2.403242
400,7.074428,1.995092
600,6.216596,1.837622
800,5.805170,1.752517
1000,5.526000,1.678187
1200,5.323862,1.628653
1400,5.155784,1.586036
1600,5.036406,1.555036
1800,4.916630,1.524996
2000,4.834992,1.500504
2200,4.757815,1.481385
2400,4.700878,1.463948
2600,4.647717,1.451040
2800,4.601668,1.437823
3000,4.569364,1.426701
3200,4.537011,1.419027
3400,4.499352,1.406441
3600,4.467209,1.399378
3800,4.440911,1.391205
4000,4.413616,1.384086
4200,4.395121,1.376717
4400,4.369918,1.369006
4600,4.356994,1.364293
4800,4.329767,1.358698
5000,4.315568,1.355586
5200,4.295695,1.348466
5400,4.285025,1.344273
5600,4.269224,1.339853
5800,4.252950,1.336310
6000,4.239620,1.332489
6200,4.226356,1.327825
6400,4.220906,1.325556
6600,4.201278,1.321298
6800,4.199963,1.318317
7000,4.193158,1.314267
7200,4.181361,1.312360
7400,4.169283,1.308787
7600,4.155011,1.307392
7800,4.145812,1.305122
8000,4.146007,1.302032
8200,4.135149,1.299381
8400,4.122550,1.297695
8600,4.119785,1.295239
8800,4.107930,1.293151
9000,4.098400,1.290835
9200,4.099676,1.288393
9400,4.095233,1.286779
9600,4.084668,1.284586
9800,4.074307,1.282721
10000,4.070188,1.281069
10200,4.062559,1.279800
10400,4.056671,1.277733
10600,4.052861,1.276639
10800,4.048649,1.274688
11000,4.042652,1.273136
11200,4.041300,1.272644
11400,4.031727,1.270803
11600,4.039019,1.269440
11800,4.030835,1.267449
12000,4.021681,1.266212
12200,4.008269,1.265164
12400,4.009979,1.264026
12600,4.007281,1.263278
12800,4.000546,1.262315
13000,4.006021,1.261371
13200,4.004186,1.259757
13400,3.997795,1.259230
13600,3.992892,1.258524
13800,3.994820,1.257492
14000,3.988691,1.256854
14200,3.979379,1.256105
14400,3.984782,1.255318
14600,3.988740,1.254625
14800,3.986642,1.254407
15000,3.979566,1.253773
15200,3.980214,1.253369
15400,3.984106,1.252827
15600,3.977360,1.252706
15800,3.973441,1.252460
16000,3.958270,1.251924
