step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497920,0.498043,0.497830,0.497896,0.500753,0.500564,0.498975,0.498280,0.499741,0.498722,0.497973,0.497875,0.500077,0.499974,0.500764,0.500046,0.499219,0.498726,0.498781,0.498714,0.500810,0.500793,0.501488,0.501061,0.499750,0.499314,0.499306,0.499254,0.500377,0.500373,0.501644,0.501325,0.499690,0.499572,0.499960,0.499943,0.500335,0.500322,0.501505,0.501154,0.499850,0.499666,0.500385,0.500345,0.500021,0.499989,0.500950,0.500657
400,0.492595,0.493638,0.488844,0.489151,0.492739,0.491979,0.504705,0.501132,0.505722,0.501468,0.492226,0.491130,0.498034,0.497065,0.506666,0.503326,0.502309,0.499042,0.494581,0.493794,0.502244,0.501695,0.509243,0.507134,0.502034,0.500387,0.498750,0.498517,0.503290,0.503118,0.509354,0.507981,0.500013,0.499402,0.499447,0.499429,0.500846,0.500749,0.507409,0.506026,0.499937,0.499794,0.501243,0.501215,0.500625,0.500513,0.504155,0.503358
600,0.485795,0.488390,0.474664,0.475701,0.477569,0.476266,0.511595,0.504717,0.515189,0.505304,0.481460,0.478169,0.492538,0.489847,0.511486,0.503887,0.507455,0.498411,0.484649,0.482562,0.502532,0.500431,0.517711,0.511772,0.503774,0.499304,0.496475,0.495871,0.509790,0.508914,0.518752,0.514914,0.501490,0.499273,0.498578,0.498500,0.503649,0.503044,0.512777,0.509813,0.499469,0.499564,0.501221,0.501341,0.502086,0.501635,0.506350,0.504978
800,0.478028,0.482356,0.456694,0.458672,0.460365,0.457179,0.520529,0.509331,0.527937,0.509560,0.467596,0.460387,0.486540,0.480174,0.516362,0.503205,0.514151,0.496308,0.470002,0.464824,0.504045,0.498710,0.527656,0.515626,0.506684,0.497120,0.490558,0.489625,0.520983,0.518353,0.530220,0.522371,0.503539,0.498482,0.497001,0.496811,0.510086,0.508230,0.518532,0.513354,0.497865,0.497903,0.501025,0.501339,0.505286,0.503972,0.508364,0.506262
1000,0.470456,0.476035,0.439066,0.441717,0.453918,0.443228,0.534241,0.517343,0.540004,0.512494,0.456696,0.441253,0.485809,0.471995,0.525806,0.504829,0.524005,0.493344,0.455504,0.446647,0.507232,0.496220,0.540831,0.520368,0.510157,0.494179,0.483633,0.482446,0.536823,0.530647,0.543536,0.530139,0.503649,0.496069,0.494849,0.494564,0.519519,0.515010,0.524059,0.516282,0.496941,0.496905,0.500647,0.501112,0.509454,0.506876,0.509940,0.507200
1200,0.465830,0.472299,0.424791,0.427162,0.461289,0.437868,0.550369,0.527282,0.553868,0.514941,0.454493,0.426084,0.492878,0.467652,0.539364,0.509283,0.536532,0.492877,0.447280,0.430723,0.512963,0.493526,0.556568,0.526512,0.516190,0.492652,0.476628,0.474893,0.555413,0.544230,0.556629,0.537273,0.505555,0.494010,0.492620,0.492224,0.531507,0.522972,0.529561,0.518871,0.494815,0.494846,0.500357,0.500968,0.514665,0.509880,0.511197,0.507894
1400,0.460097,0.467669,0.414646,0.415168,0.477722,0.440164,0.570551,0.540820,0.567378,0.517361,0.460623,0.414235,0.506493,0.467372,0.556826,0.516673,0.553951,0.492847,0.443503,0.417744,0.520240,0.489953,0.573142,0.532636,0.522599,0.490883,0.470360,0.467762,0.573216,0.555708,0.570283,0.543977,0.507956,0.492503,0.490592,0.489948,0.542029,0.528363,0.535117,0.521187,0.493295,0.493204,0.499934,0.500665,0.518422,0.511956,0.512234,0.508438
1600,0.455771,0.463871,0.408549,0.405890,0.496939,0.444911,0.592071,0.555427,0.579396,0.518602,0.469882,0.405224,0.525945,0.472261,0.576130,0.524911,0.569238,0.492259,0.444856,0.406977,0.528100,0.485205,0.589853,0.538141,0.528641,0.488154,0.463896,0.460379,0.588883,0.564848,0.584618,0.550608,0.509394,0.491155,0.488441,0.487803,0.552363,0.533813,0.540323,0.523063,0.492580,0.492665,0.499867,0.500782,0.523023,0.514383,0.513125,0.508863
1800,0.452163,0.460688,0.406528,0.399523,0.518910,0.453058,0.615154,0.571370,0.591071,0.519895,0.483239,0.400302,0.547074,0.477978,0.595074,0.532041,0.586153,0.493222,0.449935,0.398525,0.536531,0.479353,0.605336,0.541642,0.537294,0.487786,0.457633,0.453099,0.604377,0.572671,0.597132,0.554995,0.510592,0.489093,0.485827,0.484894,0.561533,0.537766,0.545254,0.524673,0.491440,0.491694,0.499420,0.500491,0.527297,0.516581,0.513997,0.509270
