step,train_loss,val_bpb
200,8.803543,2.408336
400,7.152630,2.027644
600,6.362972,1.880054
800,5.986474,1.801066
1000,5.735300,1.736605
1200,5.539498,1.690050
1400,5.383087,1.647248
1600,5.272109,1.611840
1800,5.151091,1.579915
2000,5.051942,1.556960
2200,4.974210,1.534997
2400,4.917370,1.519023
2600,4.851652,1.502822
2800,4.809180,1.491312
3000,4.774146,1.478462
3200,4.740776,1.468877
3400,4.699561,1.459278
3600,4.663934,1.452613
3800,4.650536,1.439456
4000,4.620071,1.434554
4200,4.588821,1.426833
4400,4.564670,1.419330
4600,4.547143,1.413608
4800,4.523905,1.406716
