step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047829e+02,1.053196e+00,5.142989e-03
200,emb_resid_lut.weights,3.287139e+00,2.991455e+00,9.100483e-01
200,emb_resid_lut.log_soft_score_temp,6.966341e-01,3.486931e-03,5.005398e-03
200,emb_resid_lut.log_select_temp,6.966276e-01,3.480434e-03,4.996119e-03
200,unembedder.weight,1.046505e+02,8.466994e+00,8.090735e-02
200,layers.0.qk_lut.weights,1.881020e+00,1.578889e+00,8.393790e-01
200,layers.0.qk_lut.log_soft_score_temp,6.955078e-01,2.360582e-03,3.394042e-03
200,layers.0.qk_lut.log_select_temp,6.954813e-01,2.334118e-03,3.356119e-03
200,layers.0.v_lut.weights,2.597713e+00,2.153445e+00,8.289775e-01
200,layers.0.v_lut.log_soft_score_temp,6.952717e-01,2.124488e-03,3.055623e-03
200,layers.0.v_lut.log_select_temp,6.952553e-01,2.108097e-03,3.032119e-03
200,layers.0.out_proj.weights,9.873923e+00,9.451790e+00,9.572476e-01
200,layers.0.out_proj.log_soft_score_temp,6.942652e-01,1.118004e-03,1.610342e-03
200,layers.0.out_proj.log_select_temp,6.942619e-01,1.114726e-03,1.605628e-03
200,layers.0.residual_lut.weights,3.150010e+00,2.847991e+00,9.041210e-01
200,layers.0.residual_lut.log_soft_score_temp,6.960371e-01,2.889931e-03,4.151979e-03
200,layers.0.residual_lut.log_select_temp,6.961880e-01,3.040791e-03,4.367772e-03
200,layers.0.q_norm.weight,8.011106e+00,1.225402e-02,1.529629e-03
200,layers.0.q_norm.bias,6.233982e-03,6.233982e-03,1.000000e+00
200,layers.0.k_norm.weight,8.010756e+00,1.200249e-02,1.498297e-03
200,layers.0.k_norm.bias,8.342845e-03,8.342845e-03,1.000000e+00
200,layers.1.qk_lut.weights,1.863027e+00,1.566113e+00,8.406283e-01
200,layers.1.qk_lut.log_soft_score_temp,6.942511e-01,1.103938e-03,1.590113e-03
200,layers.1.qk_lut.log_select_temp,6.947585e-01,1.611292e-03,2.319212e-03
200,layers.1.v_lut.weights,2.731025e+00,2.313766e+00,8.472151e-01
200,layers.1.v_lut.log_soft_score_temp,6.948178e-01,1.670599e-03,2.404370e-03
200,layers.1.v_lut.log_select_temp,6.948569e-01,1.709759e-03,2.460592e-03
200,layers.1.out_proj.weights,1.059205e+01,1.019832e+01,9.628279e-01
200,layers.1.out_proj.log_soft_score_temp,6.943794e-01,1.232207e-03,1.774544e-03
200,layers.1.out_proj.log_select_temp,6.943729e-01,1.225710e-03,1.765204e-03
200,layers.1.residual_lut.weights,3.060685e+00,2.755746e+00,9.003690e-01
200,layers.1.residual_lut.log_soft_score_temp,6.934002e-01,2.530217e-04,3.649000e-04
200,layers.1.residual_lut.log_select_temp,6.939989e-01,8.516908e-04,1.227222e-03
200,layers.1.q_norm.weight,8.009407e+00,1.058828e-02,1.321980e-03
200,layers.1.q_norm.bias,6.472317e-03,6.472317e-03,1.000000e+00
200,layers.1.k_norm.weight,8.009227e+00,1.049962e-02,1.310941e-03
200,layers.1.k_norm.bias,1.036329e-02,1.036329e-02,1.000000e+00
200,layers.2.qk_lut.weights,1.948509e+00,1.664476e+00,8.542308e-01
200,layers.2.qk_lut.log_soft_score_temp,6.937379e-01,5.906820e-04,8.514485e-04
200,layers.2.qk_lut.log_select_temp,6.941710e-01,1.023829e-03,1.474894e-03
200,layers.2.v_lut.weights,3.043306e+00,2.674098e+00,8.786820e-01
200,layers.2.v_lut.log_soft_score_temp,6.950414e-01,1.894176e-03,2.725271e-03
200,layers.2.v_lut.log_select_temp,6.950871e-01,1.939952e-03,2.790948e-03
200,layers.2.out_proj.weights,1.135982e+01,1.099349e+01,9.677529e-01
200,layers.2.out_proj.log_soft_score_temp,6.937489e-01,6.017089e-04,8.673295e-04
200,layers.2.out_proj.log_select_temp,6.937461e-01,5.989671e-04,8.633808e-04
200,layers.2.residual_lut.weights,3.014174e+00,2.706723e+00,8.979980e-01
200,layers.2.residual_lut.log_soft_score_temp,6.922527e-01,8.944869e-04,1.292139e-03
200,layers.2.residual_lut.log_select_temp,6.925517e-01,5.955100e-04,8.598781e-04
200,layers.2.q_norm.weight,8.005230e+00,6.316716e-03,7.890736e-04
200,layers.2.q_norm.bias,4.849423e-03,4.849423e-03,1.000000e+00
200,layers.2.k_norm.weight,8.005028e+00,6.034282e-03,7.538114e-04
200,layers.2.k_norm.bias,5.750915e-03,5.750915e-03,1.000000e+00
200,layers.3.qk_lut.weights,1.946145e+00,1.660962e+00,8.534629e-01
200,layers.3.qk_lut.log_soft_score_temp,6.937995e-01,6.523132e-04,9.402042e-04
200,layers.3.qk_lut.log_select_temp,6.944363e-01,1.289129e-03,1.856368e-03
200,layers.3.v_lut.weights,3.037695e+00,2.670104e+00,8.789902e-01
200,layers.3.v_lut.log_soft_score_temp,6.943681e-01,1.220882e-03,1.758263e-03
200,layers.3.v_lut.log_select_temp,6.943828e-01,1.235664e-03,1.779514e-03
200,layers.3.out_proj.weights,1.136819e+01,1.099970e+01,9.675859e-01
200,layers.3.out_proj.log_soft_score_temp,6.936247e-01,4.775524e-04,6.884882e-04
200,layers.3.out_proj.log_select_temp,6.936240e-01,4.768372e-04,6.874577e-04
200,layers.3.residual_lut.weights,3.020293e+00,2.715523e+00,8.990925e-01
200,layers.3.residual_lut.log_soft_score_temp,6.917444e-01,1.402795e-03,2.027910e-03
200,layers.3.residual_lut.log_select_temp,6.919225e-01,1.224697e-03,1.769991e-03
200,layers.3.q_norm.weight,8.005451e+00,6.466013e-03,8.077012e-04
200,layers.3.q_norm.bias,4.430098e-03,4.430098e-03,1.000000e+00
200,layers.3.k_norm.weight,8.005271e+00,6.136217e-03,7.665220e-04
200,layers.3.k_norm.bias,5.963073e-03,5.963073e-03,1.000000e+00
200,layers.4.qk_lut.weights,1.990449e+00,1.713453e+00,8.608376e-01
200,layers.4.qk_lut.log_soft_score_temp,6.930198e-01,1.273751e-04,1.837972e-04
200,layers.4.qk_lut.log_select_temp,6.933961e-01,2.489090e-04,3.589709e-04
200,layers.4.v_lut.weights,3.210836e+00,2.864102e+00,8.920112e-01
200,layers.4.v_lut.log_soft_score_temp,6.947764e-01,1.629174e-03,2.344889e-03
200,layers.4.v_lut.log_select_temp,6.948449e-01,1.697719e-03,2.443307e-03
200,layers.4.out_proj.weights,1.158090e+01,1.121881e+01,9.687335e-01
200,layers.4.out_proj.log_soft_score_temp,6.936660e-01,5.188584e-04,7.479946e-04
200,layers.4.out_proj.log_select_temp,6.936625e-01,5.153418e-04,7.429286e-04
200,layers.4.residual_lut.weights,3.186905e+00,2.899750e+00,9.098953e-01
200,layers.4.residual_lut.log_soft_score_temp,6.914243e-01,1.722932e-03,2.491859e-03
200,layers.4.residual_lut.log_select_temp,6.915600e-01,1.587152e-03,2.295032e-03
200,layers.4.q_norm.weight,8.005747e+00,7.063240e-03,8.822713e-04
200,layers.4.q_norm.bias,4.812809e-03,4.812809e-03,1.000000e+00
200,layers.4.k_norm.weight,8.005528e+00,6.547933e-03,8.179263e-04
200,layers.4.k_norm.bias,6.415258e-03,6.415258e-03,1.000000e+00
200,layers.5.qk_lut.weights,2.203914e+00,1.955327e+00,8.872063e-01
200,layers.5.qk_lut.log_soft_score_temp,6.935930e-01,4.457831e-04,6.427158e-04
200,layers.5.qk_lut.log_select_temp,6.938438e-01,6.965995e-04,1.003972e-03
200,layers.5.v_lut.weights,3.516496e+00,3.204094e+00,9.111609e-01
200,layers.5.v_lut.log_soft_score_temp,6.940094e-01,8.621812e-04,1.242319e-03
200,layers.5.v_lut.log_select_temp,6.940923e-01,9.450912e-04,1.361622e-03
200,layers.5.out_proj.weights,1.208887e+01,1.174166e+01,9.712782e-01
200,layers.5.out_proj.log_soft_score_temp,6.932709e-01,1.236796e-04,1.784002e-04
200,layers.5.out_proj.log_select_temp,6.932764e-01,1.292229e-04,1.863944e-04
200,layers.5.residual_lut.weights,4.074949e+00,3.847586e+00,9.442047e-01
200,layers.5.residual_lut.log_soft_score_temp,6.912976e-01,1.849592e-03,2.675536e-03
200,layers.5.residual_lut.log_select_temp,6.914281e-01,1.719058e-03,2.486242e-03
200,layers.5.q_norm.weight,8.003076e+00,4.009062e-03,5.009402e-04
200,layers.5.q_norm.bias,2.833941e-03,2.833941e-03,1.000000e+00
200,layers.5.k_norm.weight,8.003091e+00,3.775551e-03,4.717616e-04
200,layers.5.k_norm.bias,4.174161e-03,4.174161e-03,1.000000e+00
200,ln_final.weight,1.967171e+01,7.579337e-02,3.852912e-03
200,ln_final.bias,7.304908e-02,7.304908e-02,1.000000e+00
400,tok_emb_E.weight,2.048650e+02,2.782843e+00,1.358379e-02
400,emb_resid_lut.weights,8.771605e+00,6.863362e+00,7.824523e-01
400,emb_resid_lut.log_soft_score_temp,7.078711e-01,1.123697e-02,1.587431e-02
400,emb_resid_lut.log_select_temp,7.078445e-01,1.121688e-02,1.584653e-02
400,unembedder.weight,1.072011e+02,1.797153e+01,1.676432e-01
400,layers.0.qk_lut.weights,4.869498e+00,4.102073e+00,8.424016e-01
400,layers.0.qk_lut.log_soft_score_temp,7.011101e-01,5.602360e-03,7.990699e-03
400,layers.0.qk_lut.log_select_temp,7.008702e-01,5.388856e-03,7.688808e-03
400,layers.0.v_lut.weights,6.634555e+00,5.794609e+00,8.733983e-01
400,layers.0.v_lut.log_soft_score_temp,7.024298e-01,7.158101e-03,1.019049e-02
400,layers.0.v_lut.log_select_temp,7.023501e-01,7.094860e-03,1.010160e-02
400,layers.0.out_proj.weights,2.653577e+01,2.028588e+01,7.644732e-01
400,layers.0.out_proj.log_soft_score_temp,7.004772e-01,6.211996e-03,8.868235e-03
400,layers.0.out_proj.log_select_temp,7.004815e-01,6.219566e-03,8.878987e-03
400,layers.0.residual_lut.weights,7.392668e+00,6.156661e+00,8.328064e-01
400,layers.0.residual_lut.log_soft_score_temp,6.965556e-01,5.184412e-04,7.442927e-04
400,layers.0.residual_lut.log_select_temp,7.002169e-01,4.028916e-03,5.753812e-03
400,layers.0.q_norm.weight,8.057640e+00,5.351350e-02,6.641336e-03
400,layers.0.q_norm.bias,3.734158e-02,3.133129e-02,8.390455e-01
400,layers.0.k_norm.weight,8.055464e+00,5.136757e-02,6.376737e-03
400,layers.0.k_norm.bias,4.432251e-02,3.679767e-02,8.302254e-01
400,layers.1.qk_lut.weights,4.882236e+00,4.282419e+00,8.771428e-01
400,layers.1.qk_lut.log_soft_score_temp,6.876639e-01,6.587267e-03,9.579196e-03
400,layers.1.qk_lut.log_select_temp,6.903151e-01,4.443407e-03,6.436781e-03
400,layers.1.v_lut.weights,7.753241e+00,6.659775e+00,8.589667e-01
400,layers.1.v_lut.log_soft_score_temp,7.014550e-01,6.637216e-03,9.462069e-03
400,layers.1.v_lut.log_select_temp,7.021772e-01,7.320285e-03,1.042512e-02
400,layers.1.out_proj.weights,3.519287e+01,2.773568e+01,7.881051e-01
400,layers.1.out_proj.log_soft_score_temp,6.986530e-01,4.273593e-03,6.116904e-03
400,layers.1.out_proj.log_select_temp,6.986644e-01,4.291534e-03,6.142483e-03
400,layers.1.residual_lut.weights,6.920640e+00,6.023850e+00,8.704180e-01
400,layers.1.residual_lut.log_soft_score_temp,6.830551e-01,1.034510e-02,1.514534e-02
400,layers.1.residual_lut.log_select_temp,6.841639e-01,9.834945e-03,1.437513e-02
400,layers.1.q_norm.weight,8.039137e+00,3.508100e-02,4.363777e-03
400,layers.1.q_norm.bias,2.636378e-02,2.021318e-02,7.667028e-01
400,layers.1.k_norm.weight,8.038300e+00,3.434565e-02,4.272750e-03
400,layers.1.k_norm.bias,4.276304e-02,3.286263e-02,7.684819e-01
400,layers.2.qk_lut.weights,4.944446e+00,4.302059e+00,8.700792e-01
400,layers.2.qk_lut.log_soft_score_temp,6.906525e-01,3.085315e-03,4.467247e-03
400,layers.2.qk_lut.log_select_temp,6.931470e-01,1.024008e-03,1.477331e-03
400,layers.2.v_lut.weights,9.526631e+00,7.984374e+00,8.381109e-01
400,layers.2.v_lut.log_soft_score_temp,7.013544e-01,6.313086e-03,9.001277e-03
400,layers.2.v_lut.log_select_temp,7.015619e-01,6.474793e-03,9.229111e-03
400,layers.2.out_proj.weights,4.052754e+01,3.131536e+01,7.726934e-01
400,layers.2.out_proj.log_soft_score_temp,6.924068e-01,1.342058e-03,1.938251e-03
400,layers.2.out_proj.log_select_temp,6.924725e-01,1.273692e-03,1.839339e-03
400,layers.2.residual_lut.weights,7.094543e+00,6.361251e+00,8.966399e-01
400,layers.2.residual_lut.log_soft_score_temp,6.814153e-01,1.083744e-02,1.590430e-02
400,layers.2.residual_lut.log_select_temp,6.818919e-01,1.065975e-02,1.563262e-02
400,layers.2.q_norm.weight,8.018816e+00,1.713796e-02,2.137218e-03
400,layers.2.q_norm.bias,1.522451e-02,1.100319e-02,7.227288e-01
400,layers.2.k_norm.weight,8.017476e+00,1.517882e-02,1.893217e-03
400,layers.2.k_norm.bias,2.351212e-02,1.865476e-02,7.934105e-01
400,layers.3.qk_lut.weights,5.210200e+00,4.635595e+00,8.897153e-01
400,layers.3.qk_lut.log_soft_score_temp,6.891721e-01,4.627407e-03,6.714443e-03
400,layers.3.qk_lut.log_select_temp,6.911030e-01,3.333330e-03,4.823203e-03
400,layers.3.v_lut.weights,9.608497e+00,8.264333e+00,8.601067e-01
400,layers.3.v_lut.log_soft_score_temp,6.977562e-01,3.388166e-03,4.855802e-03
400,layers.3.v_lut.log_select_temp,6.979824e-01,3.599524e-03,5.157042e-03
400,layers.3.out_proj.weights,3.899753e+01,3.008328e+01,7.714149e-01
400,layers.3.out_proj.log_soft_score_temp,6.932181e-01,4.066229e-04,5.865728e-04
400,layers.3.out_proj.log_select_temp,6.932279e-01,3.960729e-04,5.713458e-04
400,layers.3.residual_lut.weights,7.805040e+00,7.115524e+00,9.116576e-01
400,layers.3.residual_lut.log_soft_score_temp,6.811727e-01,1.057166e-02,1.551979e-02
400,layers.3.residual_lut.log_select_temp,6.815086e-01,1.041389e-02,1.528064e-02
400,layers.3.q_norm.weight,8.019105e+00,1.625363e-02,2.026863e-03
400,layers.3.q_norm.bias,1.425477e-02,1.028451e-02,7.214788e-01
400,layers.3.k_norm.weight,8.018359e+00,1.540967e-02,1.921799e-03
400,layers.3.k_norm.bias,2.356687e-02,1.814153e-02,7.697896e-01
400,layers.4.qk_lut.weights,5.527474e+00,4.942568e+00,8.941821e-01
400,layers.4.qk_lut.log_soft_score_temp,6.890826e-01,3.937244e-03,5.713748e-03
400,layers.4.qk_lut.log_select_temp,6.900429e-01,3.353179e-03,4.859377e-03
400,layers.4.v_lut.weights,1.067356e+01,9.193755e+00,8.613580e-01
400,layers.4.v_lut.log_soft_score_temp,6.977081e-01,2.931774e-03,4.202006e-03
400,layers.4.v_lut.log_select_temp,6.980456e-01,3.200710e-03,4.585245e-03
400,layers.4.out_proj.weights,4.040178e+01,3.097949e+01,7.667851e-01
400,layers.4.out_proj.log_soft_score_temp,6.948225e-01,1.156449e-03,1.664381e-03
400,layers.4.out_proj.log_select_temp,6.948667e-01,1.204193e-03,1.732984e-03
400,layers.4.residual_lut.weights,1.012861e+01,9.230618e+00,9.113408e-01
400,layers.4.residual_lut.log_soft_score_temp,6.814191e-01,1.000512e-02,1.468276e-02
400,layers.4.residual_lut.log_select_temp,6.818296e-01,9.730458e-03,1.427110e-02
400,layers.4.q_norm.weight,8.021151e+00,1.922922e-02,2.397315e-03
400,layers.4.q_norm.bias,1.745556e-02,1.311284e-02,7.512132e-01
400,layers.4.k_norm.weight,8.020793e+00,2.072081e-02,2.583387e-03
400,layers.4.k_norm.bias,2.853587e-02,2.270501e-02,7.956653e-01
400,layers.5.qk_lut.weights,6.566769e+00,5.805468e+00,8.840676e-01
400,layers.5.qk_lut.log_soft_score_temp,6.922395e-01,1.353443e-03,1.955165e-03
400,layers.5.qk_lut.log_select_temp,6.929001e-01,9.437203e-04,1.361986e-03
400,layers.5.v_lut.weights,1.360296e+01,1.179129e+01,8.668181e-01
400,layers.5.v_lut.log_soft_score_temp,6.956212e-01,1.611829e-03,2.317107e-03
400,layers.5.v_lut.log_select_temp,6.957186e-01,1.626313e-03,2.337601e-03
400,layers.5.out_proj.weights,4.624750e+01,3.520983e+01,7.613348e-01
400,layers.5.out_proj.log_soft_score_temp,6.948821e-01,1.611233e-03,2.318714e-03
400,layers.5.out_proj.log_select_temp,6.949564e-01,1.680017e-03,2.417442e-03
400,layers.5.residual_lut.weights,1.879411e+01,1.599388e+01,8.510048e-01
400,layers.5.residual_lut.log_soft_score_temp,6.860713e-01,5.226314e-03,7.617742e-03
400,layers.5.residual_lut.log_select_temp,6.866402e-01,4.787922e-03,6.972971e-03
400,layers.5.q_norm.weight,8.005630e+00,6.218567e-03,7.767742e-04
400,layers.5.q_norm.bias,6.643467e-03,4.486477e-03,6.753216e-01
400,layers.5.k_norm.weight,8.005612e+00,5.753841e-03,7.187259e-04
400,layers.5.k_norm.bias,1.040913e-02,7.089466e-03,6.810815e-01
400,ln_final.weight,1.988209e+01,2.104358e-01,1.058419e-02
400,ln_final.bias,2.722546e-01,1.996387e-01,7.332793e-01
600,tok_emb_E.weight,2.049280e+02,4.708780e+00,2.297773e-02
600,emb_resid_lut.weights,1.671633e+01,1.069288e+01,6.396669e-01
600,emb_resid_lut.log_soft_score_temp,7.251314e-01,1.726031e-02,2.380301e-02
600,emb_resid_lut.log_select_temp,7.250484e-01,1.720387e-02,2.372789e-02
600,unembedder.weight,1.114984e+02,1.721261e+01,1.543754e-01
600,layers.0.qk_lut.weights,8.696922e+00,6.156451e+00,7.078885e-01
600,layers.0.qk_lut.log_soft_score_temp,7.085801e-01,7.470012e-03,1.054223e-02
600,layers.0.qk_lut.log_select_temp,7.079219e-01,7.051766e-03,9.961220e-03
600,layers.0.v_lut.weights,1.233463e+01,9.452906e+00,7.663711e-01
600,layers.0.v_lut.log_soft_score_temp,7.173020e-01,1.487219e-02,2.073352e-02
600,layers.0.v_lut.log_select_temp,7.169496e-01,1.459950e-02,2.036336e-02
600,layers.0.out_proj.weights,4.343036e+01,2.665229e+01,6.136788e-01
600,layers.0.out_proj.log_soft_score_temp,7.135203e-01,1.304311e-02,1.827994e-02
600,layers.0.out_proj.log_select_temp,7.135740e-01,1.309252e-02,1.834781e-02
600,layers.0.residual_lut.weights,1.254208e+01,9.566684e+00,7.627668e-01
600,layers.0.residual_lut.log_soft_score_temp,6.895289e-01,7.026613e-03,1.019045e-02
600,layers.0.residual_lut.log_select_temp,6.961642e-01,4.052699e-03,5.821470e-03
600,layers.0.q_norm.weight,8.141315e+00,9.280247e-02,1.139895e-02
600,layers.0.q_norm.bias,9.542464e-02,5.851643e-02,6.132213e-01
600,layers.0.k_norm.weight,8.137457e+00,9.083282e-02,1.116231e-02
600,layers.0.k_norm.bias,1.120339e-01,6.859463e-02,6.122668e-01
600,layers.1.qk_lut.weights,8.827324e+00,6.768029e+00,7.667136e-01
