step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.496004,0.496244,0.496456,0.496118,0.501520,0.500307,0.497730,0.496136,0.499510,0.499316,0.502033,0.500851,0.499095,0.497419,0.500140,0.500017,0.501511,0.500482,0.499637,0.498335,0.500220,0.500148,0.501311,0.500412,0.499415,0.499177,0.500452,0.500410,0.500798,0.500139,0.499404,0.499417,0.499613,0.499585,0.500371,0.499896
400,0.486389,0.487763,0.481499,0.480055,0.509260,0.505210,0.499287,0.485147,0.493048,0.491613,0.508944,0.504432,0.500081,0.489505,0.495113,0.493495,0.506965,0.503155,0.500324,0.496508,0.502342,0.501342,0.506310,0.503181,0.498825,0.497908,0.501428,0.500654,0.503964,0.501986,0.499092,0.499021,0.501456,0.501079,0.502261,0.501048
600,0.472022,0.474097,0.468286,0.461520,0.522945,0.514000,0.514710,0.472253,0.484122,0.478048,0.519404,0.508733,0.513289,0.474408,0.484103,0.478531,0.516540,0.506717,0.503314,0.491664,0.509206,0.504385,0.515053,0.507024,0.499254,0.495891,0.504289,0.500445,0.509366,0.504599,0.498967,0.498527,0.506240,0.504212,0.504996,0.502361
800,0.458350,0.459958,0.468255,0.448923,0.541374,0.526223,0.537424,0.464812,0.482641,0.465894,0.532548,0.513597,0.535895,0.459668,0.474334,0.462730,0.528359,0.509928,0.510059,0.484103,0.516795,0.505048,0.525383,0.510332,0.501067,0.493078,0.507099,0.498017,0.515933,0.507095,0.499051,0.497942,0.511877,0.506593,0.507928,0.503481
1000,0.447158,0.446609,0.481141,0.441425,0.563466,0.541534,0.561775,0.460675,0.492680,0.457588,0.548260,0.518822,0.559997,0.447242,0.468067,0.447620,0.541944,0.512583,0.518660,0.476132,0.523864,0.501311,0.537028,0.512858,0.504587,0.489115,0.510342,0.493845,0.523871,0.509324,0.499462,0.497169,0.516877,0.507362,0.511220,0.504429
1200,0.439084,0.435029,0.500778,0.437211,0.586394,0.557464,0.587508,0.456336,0.510934,0.452952,0.564189,0.522694,0.584465,0.434790,0.468059,0.433713,0.555131,0.513560,0.528540,0.465942,0.531934,0.496566,0.548196,0.513789,0.508749,0.484255,0.514740,0.489422,0.531838,0.510733,0.500133,0.496363,0.521045,0.507240,0.514552,0.505117
1400,0.433306,0.424367,0.522421,0.435027,0.610449,0.574500,0.610368,0.450107,0.533668,0.452367,0.581849,0.524622,0.606636,0.423238,0.475777,0.420964,0.569290,0.511770,0.537997,0.454240,0.540356,0.489648,0.560325,0.512564,0.514440,0.477829,0.520233,0.483727,0.541345,0.511391,0.500955,0.494949,0.525391,0.505403,0.518734,0.505676
1600,0.429298,0.415009,0.543957,0.433319,0.633047,0.589548,0.630237,0.443046,0.556475,0.453666,0.597560,0.523088,0.625649,0.412030,0.489374,0.410608,0.582048,0.507788,0.547178,0.443701,0.547863,0.480753,0.569686,0.508888,0.519360,0.471110,0.525923,0.479125,0.549004,0.510012,0.501781,0.493264,0.530261,0.503795,0.522221,0.505654
1800,0.426824,0.406669,0.564658,0.431238,0.653322,0.601211,0.647829,0.436338,0.579220,0.455425,0.611042,0.517391,0.643639,0.401287,0.504628,0.401591,0.592444,0.501217,0.556436,0.433412,0.555271,0.471305,0.578130,0.503169,0.524411,0.464709,0.532142,0.473635,0.556438,0.507215,0.502575,0.491428,0.535155,0.500063,0.525698,0.505213
