step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497173,0.497656,0.497063,0.497057,0.497420,0.496926,0.502296,0.501036,0.503016,0.500503,0.496218,0.495983,0.499014,0.498778,0.502547,0.501190,0.500992,0.498620,0.497494,0.497433,0.500171,0.500057,0.502285,0.501101,0.499056,0.498628,0.499172,0.499161,0.501080,0.501042,0.502004,0.501078,0.499456,0.498324,0.499359,0.499403,0.500462,0.500401,0.501024,0.500410,0.500479,0.500326,0.499858,0.499899,0.499455,0.499391,0.500471,0.500009
400,0.489055,0.492506,0.484904,0.485638,0.480123,0.479457,0.510347,0.506114,0.515664,0.505077,0.485423,0.482283,0.493213,0.491844,0.509450,0.504278,0.508928,0.497040,0.489717,0.488524,0.495919,0.494693,0.507440,0.503466,0.497806,0.492812,0.497380,0.497387,0.506204,0.505157,0.506624,0.503750,0.500586,0.495004,0.498631,0.498667,0.504004,0.503351,0.503483,0.501903,0.500256,0.500121,0.499542,0.499674,0.501777,0.501548,0.501709,0.500784
600,0.476900,0.483448,0.466847,0.468285,0.464074,0.460414,0.523065,0.513905,0.534194,0.509076,0.475509,0.464343,0.486159,0.480665,0.521038,0.508730,0.528656,0.495266,0.478394,0.472511,0.485016,0.480877,0.515416,0.505650,0.502823,0.484320,0.494296,0.494190,0.516087,0.511484,0.513816,0.506871,0.506344,0.492906,0.497467,0.497351,0.510498,0.507573,0.507235,0.503699,0.499401,0.498436,0.499039,0.499249,0.505633,0.504218,0.502968,0.501397
800,0.464794,0.472651,0.451485,0.452637,0.459768,0.447344,0.541215,0.525415,0.553254,0.510958,0.478786,0.449902,0.485473,0.471114,0.537544,0.515301,0.552896,0.494667,0.472419,0.454981,0.474029,0.465376,0.526225,0.507843,0.520134,0.477960,0.489928,0.489279,0.524162,0.512858,0.522186,0.509435,0.516535,0.491679,0.496275,0.495721,0.518587,0.511304,0.511797,0.505372,0.498790,0.495436,0.498535,0.498775,0.509051,0.504970,0.504133,0.501832
1000,0.455170,0.463092,0.439574,0.439049,0.466491,0.439047,0.561979,0.538862,0.574562,0.511398,0.493684,0.440492,0.493108,0.464017,0.557492,0.523210,0.579701,0.493590,0.478327,0.440039,0.464798,0.449651,0.539290,0.509458,0.542024,0.475710,0.484960,0.482823,0.529367,0.509865,0.532121,0.511544,0.530014,0.490947,0.495424,0.494215,0.525842,0.513132,0.517164,0.506834,0.500583,0.492581,0.498082,0.498324,0.511283,0.504203,0.505216,0.502116
1200,0.447139,0.454105,0.431288,0.427747,0.479585,0.433827,0.584599,0.553677,0.595192,0.510664,0.514119,0.435423,0.506333,0.460541,0.578899,0.530894,0.606807,0.491478,0.492681,0.429119,0.459658,0.434836,0.553355,0.509842,0.563740,0.474400,0.480583,0.475158,0.533422,0.503800,0.542883,0.512637,0.544390,0.489828,0.494507,0.492219,0.532680,0.513863,0.522896,0.507904,0.502117,0.489120,0.497513,0.497708,0.512610,0.501354,0.506297,0.502317
1400,0.440623,0.446271,0.425362,0.417785,0.496326,0.431423,0.607388,0.568225,0.613598,0.508528,0.536242,0.433443,0.524288,0.458887,0.600567,0.537546,0.633345,0.487469,0.509118,0.421319,0.460710,0.422051,0.568513,0.508916,0.585708,0.473551,0.477775,0.467119,0.537443,0.496118,0.554354,0.512483,0.559316,0.489144,0.493808,0.490078,0.539391,0.513902,0.529451,0.508662,0.506185,0.486497,0.496924,0.497029,0.513642,0.497876,0.507429,0.502454
1600,0.435811,0.439990,0.421683,0.409177,0.514939,0.430068,0.630738,0.583116,0.629964,0.505431,0.559030,0.434253,0.544501,0.459386,0.622359,0.541299,0.658750,0.481265,0.527083,0.415441,0.467257,0.410357,0.583927,0.504809,0.606481,0.471498,0.477783,0.459308,0.541730,0.487836,0.566672,0.510376,0.573381,0.487474,0.493128,0.487263,0.546506,0.512461,0.536605,0.508695,0.509748,0.483649,0.496394,0.496369,0.514831,0.493427,0.508621,0.502459
1800,0.430891,0.433422,0.419468,0.401768,0.533769,0.429112,0.651911,0.595151,0.641199,0.501076,0.579470,0.434111,0.564727,0.460399,0.641416,0.539779,0.681625,0.473714,0.543088,0.410928,0.477172,0.400205,0.597654,0.497974,0.625837,0.468079,0.478952,0.452033,0.546881,0.479702,0.576972,0.506324,0.586647,0.486131,0.492922,0.484708,0.552695,0.510229,0.542924,0.507960,0.514771,0.481358,0.495745,0.495564,0.517747,0.489308,0.509713,0.502391
2000,0.426569,0.427749,0.418107,0.395747,0.551306,0.427753,0.670827,0.604014,0.651690,0.497194,0.598587,0.433329,0.584391,0.462286,0.658206,0.534073,0.702217,0.465280,0.557701,0.407293,0.489218,0.391842,0.609388,0.488495,0.643227,0.463271,0.482786,0.444825,0.551656,0.471420,0.585825,0.499646,0.597743,0.483448,0.492611,0.481701,0.558008,0.506542,0.548679,0.506017,0.519702,0.479674,0.495226,0.494803,0.520255,0.485106,0.510681,0.502187
2200,0.422550,0.422590,0.417224,0.391321,0.567781,0.425834,0.686250,0.608466,0.659867,0.492309,0.615635,0.432588,0.602565,0.464094,0.671282,0.525390,0.720495,0.456842,0.570116,0.404146,0.501445,0.384328,0.619306,0.478261,0.657015,0.459222,0.487578,0.439239,0.555942,0.464697,0.592813,0.492072,0.608615,0.481242,0.492600,0.478736,0.562893,0.503179,0.553232,0.503334,0.523638,0.477921,0.494855,0.494176,0.523825,0.482334,0.511498,0.501939
2400,0.419516,0.418592,0.416252,0.386912,0.582516,0.423104,0.698469,0.609471,0.666022,0.488237,0.630948,0.432077,0.619064,0.465376,0.682444,0.516213,0.735752,0.448888,0.581587,0.401152,0.513422,0.377936,0.627103,0.468051,0.670289,0.454734,0.493081,0.434372,0.559576,0.458309,0.599084,0.483321,0.616418,0.478783,0.492978,0.475966,0.567568,0.499465,0.557530,0.499654,0.526905,0.475940,0.494281,0.493368,0.526572,0.478880,0.512234,0.501539
2600,0.416433,0.414934,0.415106,0.383292,0.595574,0.419977,0.707448,0.608382,0.671592,0.484501,0.644291,0.431455,0.633164,0.466470,0.689969,0.507514,0.749049,0.442239,0.592538,0.398278,0.524133,0.372088,0.631935,0.459295,0.680631,0.451128,0.498981,0.430689,0.562444,0.452731,0.602594,0.475286,0.623683,0.476598,0.493702,0.473905,0.570555,0.496085,0.560098,0.495648,0.530463,0.474809,0.493996,0.492787,0.529781,0.476725,0.512681,0.501125
