step,train_loss,val_bpb
200,8.189651,2.127781
400,6.559531,1.892370
600,5.950636,1.782960
800,5.630307,1.707648
1000,5.403544,1.652073
1200,5.232872,1.608798
1400,5.103264,1.574139
1600,5.014459,1.547448
1800,4.917564,1.524391
2000,4.840401,1.503641
2200,4.776875,1.486603
2400,4.727059,1.471091
2600,4.664241,1.456116
2800,4.622206,1.442833
3000,4.586300,1.431052
3200,4.556849,1.421146
3400,4.519535,1.413427
3600,4.492808,1.407314
3800,4.489314,1.402247
4000,4.472341,1.398446
