step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.048220e+02,4.402055e+00,2.149210e-02
200,emb_resid_lut.weights,1.293750e+01,1.287500e+01,9.951691e-01
200,emb_resid_lut.log_soft_score_temp,7.069852e-01,1.383799e-02,1.957324e-02
200,emb_resid_lut.log_select_temp,7.069228e-01,1.377559e-02,1.948669e-02
200,unembedder.weight,1.070341e+02,2.561485e+01,2.393149e-01
200,layers.0.qk_lut.weights,6.625000e+00,6.531250e+00,9.858491e-01
200,layers.0.qk_lut.log_soft_score_temp,6.992266e-01,6.079435e-03,8.694514e-03
200,layers.0.qk_lut.log_select_temp,6.981426e-01,4.995465e-03,7.155365e-03
200,layers.0.v_lut.weights,8.562500e+00,8.437500e+00,9.854015e-01
200,layers.0.v_lut.log_soft_score_temp,7.019317e-01,8.784533e-03,1.251480e-02
200,layers.0.v_lut.log_select_temp,7.018299e-01,8.682728e-03,1.237156e-02
200,layers.0.out_proj.weights,2.100000e+01,2.087500e+01,9.940476e-01
200,layers.0.out_proj.log_soft_score_temp,7.015138e-01,8.366585e-03,1.192647e-02
200,layers.0.out_proj.log_select_temp,7.018941e-01,8.746922e-03,1.246188e-02
200,layers.0.residual_lut.weights,1.118750e+01,1.112500e+01,9.944134e-01
200,layers.0.residual_lut.log_soft_score_temp,6.904016e-01,2.745569e-03,3.976770e-03
200,layers.0.residual_lut.log_select_temp,6.936049e-01,4.577637e-04,6.599775e-04
200,layers.0.q_norm.weight,8.044003e+00,5.308744e-02,6.599629e-03
200,layers.0.q_norm.bias,3.179754e-02,3.179754e-02,1.000000e+00
200,layers.0.k_norm.weight,8.043398e+00,5.159067e-02,6.414039e-03
200,layers.0.k_norm.bias,3.773227e-02,3.773227e-02,1.000000e+00
200,layers.1.qk_lut.weights,6.687500e+00,6.625000e+00,9.906542e-01
200,layers.1.qk_lut.log_soft_score_temp,6.898009e-01,3.346324e-03,4.851145e-03
200,layers.1.qk_lut.log_select_temp,6.949663e-01,1.819074e-03,2.617500e-03
200,layers.1.v_lut.weights,8.500000e+00,8.375000e+00,9.852941e-01
200,layers.1.v_lut.log_soft_score_temp,7.008255e-01,7.678330e-03,1.095612e-02
200,layers.1.v_lut.log_select_temp,7.009652e-01,7.817984e-03,1.115317e-02
200,layers.1.out_proj.weights,2.312500e+01,2.300000e+01,9.945946e-01
200,layers.1.out_proj.log_soft_score_temp,6.932279e-01,8.070469e-05,1.164187e-04
200,layers.1.out_proj.log_select_temp,6.937397e-01,5.925298e-04,8.541096e-04
200,layers.1.residual_lut.weights,1.118750e+01,1.112500e+01,9.944134e-01
200,layers.1.residual_lut.log_soft_score_temp,6.880674e-01,5.079746e-03,7.382628e-03
200,layers.1.residual_lut.log_select_temp,6.908234e-01,2.323806e-03,3.363821e-03
200,layers.1.q_norm.weight,8.022084e+00,3.340385e-02,4.163987e-03
200,layers.1.q_norm.bias,2.215564e-02,2.215564e-02,1.000000e+00
200,layers.1.k_norm.weight,8.020585e+00,3.207171e-02,3.998675e-03
200,layers.1.k_norm.bias,3.802152e-02,3.802152e-02,1.000000e+00
200,layers.2.qk_lut.weights,6.812500e+00,6.750000e+00,9.908257e-01
200,layers.2.qk_lut.log_soft_score_temp,6.902094e-01,2.937734e-03,4.256294e-03
200,layers.2.qk_lut.log_select_temp,6.949539e-01,1.806736e-03,2.599793e-03
200,layers.2.v_lut.weights,8.875000e+00,8.812500e+00,9.929577e-01
200,layers.2.v_lut.log_soft_score_temp,6.969513e-01,3.804088e-03,5.458183e-03
200,layers.2.v_lut.log_select_temp,6.974438e-01,4.296660e-03,6.160583e-03
200,layers.2.out_proj.weights,2.725000e+01,2.712500e+01,9.954128e-01
200,layers.2.out_proj.log_soft_score_temp,6.919466e-01,1.200616e-03,1.735129e-03
200,layers.2.out_proj.log_select_temp,6.920847e-01,1.062512e-03,1.535235e-03
200,layers.2.residual_lut.weights,1.212500e+01,1.206250e+01,9.948454e-01
200,layers.2.residual_lut.log_soft_score_temp,6.885961e-01,4.551053e-03,6.609176e-03
200,layers.2.residual_lut.log_select_temp,6.909136e-01,2.233624e-03,3.232857e-03
200,layers.2.q_norm.weight,8.014898e+00,2.839318e-02,3.542550e-03
200,layers.2.q_norm.bias,2.733497e-02,2.733497e-02,1.000000e+00
200,layers.2.k_norm.weight,8.014896e+00,2.748168e-02,3.428826e-03
200,layers.2.k_norm.bias,3.479147e-02,3.479147e-02,1.000000e+00
200,layers.3.qk_lut.weights,7.281250e+00,7.218750e+00,9.914163e-01
200,layers.3.qk_lut.log_soft_score_temp,6.942642e-01,1.117051e-03,1.608970e-03
200,layers.3.qk_lut.log_select_temp,6.952276e-01,2.080441e-03,2.992460e-03
200,layers.3.v_lut.weights,1.012500e+01,1.006250e+01,9.938272e-01
200,layers.3.v_lut.log_soft_score_temp,6.941367e-01,9.895563e-04,1.425593e-03
200,layers.3.v_lut.log_select_temp,6.941749e-01,1.027703e-03,1.480467e-03
200,layers.3.out_proj.weights,3.275000e+01,3.250000e+01,9.923664e-01
200,layers.3.out_proj.log_soft_score_temp,6.911142e-01,2.032936e-03,2.941533e-03
200,layers.3.out_proj.log_select_temp,6.911753e-01,1.971841e-03,2.852881e-03
200,layers.3.residual_lut.weights,1.468750e+01,1.462500e+01,9.957447e-01
200,layers.3.residual_lut.log_soft_score_temp,6.889495e-01,4.197717e-03,6.092924e-03
200,layers.3.residual_lut.log_select_temp,6.908430e-01,2.304196e-03,3.335340e-03
200,layers.3.q_norm.weight,7.994054e+00,8.224281e-03,1.028800e-03
200,layers.3.q_norm.bias,3.974325e-03,3.974325e-03,1.000000e+00
200,layers.3.k_norm.weight,7.994394e+00,7.742425e-03,9.684818e-04
200,layers.3.k_norm.bias,9.227481e-03,9.227481e-03,1.000000e+00
200,layers.4.qk_lut.weights,7.906250e+00,7.812500e+00,9.881423e-01
200,layers.4.qk_lut.log_soft_score_temp,6.915848e-01,1.562417e-03,2.259183e-03
200,layers.4.qk_lut.log_select_temp,6.933540e-01,2.068281e-04,2.983009e-04
200,layers.4.v_lut.weights,1.275000e+01,1.268750e+01,9.950980e-01
200,layers.4.v_lut.log_soft_score_temp,6.944320e-01,1.284778e-03,1.850114e-03
200,layers.4.v_lut.log_select_temp,6.944557e-01,1.308501e-03,1.884211e-03
200,layers.4.out_proj.weights,4.450000e+01,4.425000e+01,9.943820e-01
200,layers.4.out_proj.log_soft_score_temp,6.936606e-01,5.133748e-04,7.400951e-04
200,layers.4.out_proj.log_select_temp,6.937115e-01,5.643368e-04,8.135035e-04
200,layers.4.residual_lut.weights,2.000000e+01,1.987500e+01,9.937500e-01
200,layers.4.residual_lut.log_soft_score_temp,6.912293e-01,1.917899e-03,2.774620e-03
