step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.048182e+02,4.429938e+00,2.162864e-02
200,emb_resid_lut.weights,1.300000e+01,1.293750e+01,9.951923e-01
200,emb_resid_lut.log_soft_score_temp,7.071481e-01,1.400095e-02,1.979918e-02
200,emb_resid_lut.log_select_temp,7.070900e-01,1.394284e-02,1.971862e-02
200,unembedder.weight,1.070331e+02,2.561915e+01,2.393573e-01
200,layers.0.qk_lut.weights,6.593750e+00,6.500000e+00,9.857820e-01
200,layers.0.qk_lut.log_soft_score_temp,6.988004e-01,5.653262e-03,8.089952e-03
200,layers.0.qk_lut.log_select_temp,6.978046e-01,4.657388e-03,6.674344e-03
200,layers.0.v_lut.weights,8.437500e+00,8.312500e+00,9.851852e-01
200,layers.0.v_lut.log_soft_score_temp,7.006452e-01,7.498026e-03,1.070160e-02
200,layers.0.v_lut.log_select_temp,7.006005e-01,7.453322e-03,1.063848e-02
200,layers.0.out_proj.weights,2.112500e+01,2.100000e+01,9.940828e-01
200,layers.0.out_proj.log_soft_score_temp,7.006269e-01,7.479727e-03,1.067576e-02
200,layers.0.out_proj.log_select_temp,7.011660e-01,8.018851e-03,1.143645e-02
200,layers.0.residual_lut.weights,1.118750e+01,1.112500e+01,9.944134e-01
200,layers.0.residual_lut.log_soft_score_temp,6.896998e-01,3.447354e-03,4.998339e-03
200,layers.0.residual_lut.log_select_temp,6.926535e-01,4.936457e-04,7.126877e-04
200,layers.0.q_norm.weight,8.040024e+00,5.108706e-02,6.354093e-03
200,layers.0.q_norm.bias,2.884741e-02,2.884741e-02,1.000000e+00
200,layers.0.k_norm.weight,8.038658e+00,4.953384e-02,6.161953e-03
200,layers.0.k_norm.bias,3.628472e-02,3.628472e-02,1.000000e+00
200,layers.1.qk_lut.weights,6.781250e+00,6.687500e+00,9.861751e-01
200,layers.1.qk_lut.log_soft_score_temp,6.895900e-01,3.557205e-03,5.158435e-03
200,layers.1.qk_lut.log_select_temp,6.956514e-01,2.504170e-03,3.599749e-03
200,layers.1.v_lut.weights,8.625000e+00,8.500000e+00,9.855072e-01
200,layers.1.v_lut.log_soft_score_temp,7.015988e-01,8.451581e-03,1.204617e-02
200,layers.1.v_lut.log_select_temp,7.018042e-01,8.656979e-03,1.233532e-02
200,layers.1.out_proj.weights,2.300000e+01,2.287500e+01,9.945652e-01
200,layers.1.out_proj.log_soft_score_temp,6.934063e-01,2.591610e-04,3.737505e-04
200,layers.1.out_proj.log_select_temp,6.939900e-01,8.428097e-04,1.214441e-03
200,layers.1.residual_lut.weights,1.125000e+01,1.118750e+01,9.944444e-01
200,layers.1.residual_lut.log_soft_score_temp,6.877187e-01,5.428433e-03,7.893392e-03
200,layers.1.residual_lut.log_select_temp,6.903461e-01,2.801120e-03,4.057560e-03
200,layers.1.q_norm.weight,8.023815e+00,3.569586e-02,4.448739e-03
200,layers.1.q_norm.bias,2.721783e-02,2.721783e-02,1.000000e+00
200,layers.1.k_norm.weight,8.022324e+00,3.305054e-02,4.119821e-03
200,layers.1.k_norm.bias,4.305621e-02,4.305621e-02,1.000000e+00
200,layers.2.qk_lut.weights,6.781250e+00,6.687500e+00,9.861751e-01
200,layers.2.qk_lut.log_soft_score_temp,6.892399e-01,3.907323e-03,5.669032e-03
200,layers.2.qk_lut.log_select_temp,6.946493e-01,1.502156e-03,2.162467e-03
200,layers.2.v_lut.weights,9.187500e+00,9.062500e+00,9.863946e-01
200,layers.2.v_lut.log_soft_score_temp,6.973390e-01,4.191816e-03,6.011159e-03
200,layers.2.v_lut.log_select_temp,6.976694e-01,4.522264e-03,6.481958e-03
200,layers.2.out_proj.weights,2.800000e+01,2.787500e+01,9.955357e-01
200,layers.2.out_proj.log_soft_score_temp,6.929314e-01,2.158284e-04,3.114716e-04
200,layers.2.out_proj.log_select_temp,6.931219e-01,2.527237e-05,3.646165e-05
200,layers.2.residual_lut.weights,1.237500e+01,1.231250e+01,9.949495e-01
200,layers.2.residual_lut.log_soft_score_temp,6.885172e-01,4.630029e-03,6.724639e-03
200,layers.2.residual_lut.log_select_temp,6.908348e-01,2.312422e-03,3.347286e-03
200,layers.2.q_norm.weight,8.012478e+00,2.706758e-02,3.378178e-03
200,layers.2.q_norm.bias,1.538047e-02,1.538047e-02,1.000000e+00
200,layers.2.k_norm.weight,8.010317e+00,2.496881e-02,3.117081e-03
200,layers.2.k_norm.bias,2.816982e-02,2.816982e-02,1.000000e+00
200,layers.3.qk_lut.weights,7.125000e+00,7.062500e+00,9.912281e-01
200,layers.3.qk_lut.log_soft_score_temp,6.922861e-01,8.610487e-04,1.243776e-03
200,layers.3.qk_lut.log_select_temp,6.946458e-01,1.498580e-03,2.157330e-03
200,layers.3.v_lut.weights,1.000000e+01,9.875000e+00,9.875000e-01
200,layers.3.v_lut.log_soft_score_temp,6.947276e-01,1.580417e-03,2.274873e-03
200,layers.3.v_lut.log_select_temp,6.947982e-01,1.651049e-03,2.376299e-03
200,layers.3.out_proj.weights,3.225000e+01,3.225000e+01,1.000000e+00
200,layers.3.out_proj.log_soft_score_temp,6.912769e-01,1.870275e-03,2.705536e-03
200,layers.3.out_proj.log_select_temp,6.913650e-01,1.782179e-03,2.577768e-03
200,layers.3.residual_lut.weights,1.443750e+01,1.437500e+01,9.956710e-01
200,layers.3.residual_lut.log_soft_score_temp,6.891702e-01,3.977001e-03,5.770709e-03
200,layers.3.residual_lut.log_select_temp,6.910678e-01,2.079427e-03,3.009006e-03
200,layers.3.q_norm.weight,8.002062e+00,1.432789e-02,1.790525e-03
200,layers.3.q_norm.bias,1.099537e-02,1.099537e-02,1.000000e+00
200,layers.3.k_norm.weight,8.001339e+00,1.461623e-02,1.826723e-03
200,layers.3.k_norm.bias,1.483358e-02,1.483358e-02,1.000000e+00
200,layers.4.qk_lut.weights,7.781250e+00,7.687500e+00,9.879518e-01
200,layers.4.qk_lut.log_soft_score_temp,6.930662e-01,8.100271e-05,1.168759e-04
200,layers.4.qk_lut.log_select_temp,6.947700e-01,1.622856e-03,2.335817e-03
200,layers.4.v_lut.weights,1.231250e+01,1.218750e+01,9.898477e-01
