step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.496065,0.496585,0.493935,0.493980,0.495410,0.495033,0.502373,0.499010,0.501168,0.498414,0.494803,0.494592,0.500015,0.499504,0.505545,0.504106,0.501790,0.499807,0.496756,0.496603,0.501716,0.501419,0.506336,0.505542,0.499852,0.498926,0.498374,0.498218,0.502504,0.502455,0.506811,0.506299,0.500087,0.498638,0.499125,0.499056,0.500612,0.500556,0.507107,0.506735,0.501221,0.500927,0.499696,0.499706,0.500196,0.500037,0.506790,0.506346
400,0.490268,0.493646,0.474544,0.475040,0.475034,0.474108,0.509705,0.500902,0.515623,0.500088,0.479158,0.477016,0.489899,0.486459,0.517792,0.510307,0.513471,0.500684,0.482921,0.480929,0.503470,0.499008,0.521256,0.515195,0.500922,0.494859,0.490258,0.489606,0.513200,0.511818,0.524556,0.520342,0.504058,0.497658,0.498608,0.498038,0.505920,0.505008,0.526007,0.523733,0.504367,0.502811,0.497560,0.497246,0.499869,0.498888,0.517949,0.514713
600,0.483921,0.489505,0.451120,0.451638,0.451056,0.448538,0.521766,0.503754,0.536714,0.499769,0.465623,0.456195,0.477470,0.466003,0.531458,0.512240,0.530331,0.496940,0.468616,0.462052,0.498248,0.484474,0.533831,0.516966,0.498814,0.484117,0.480351,0.478638,0.533510,0.527903,0.541259,0.527626,0.504247,0.492954,0.496001,0.495274,0.517573,0.512840,0.546215,0.537836,0.505760,0.502691,0.493464,0.491865,0.501875,0.498766,0.530234,0.521462
800,0.478049,0.484683,0.431817,0.431634,0.443691,0.425973,0.537402,0.506423,0.556188,0.495991,0.465890,0.439753,0.479699,0.447774,0.545428,0.508595,0.546611,0.490432,0.457910,0.444180,0.489341,0.464386,0.543534,0.509864,0.501708,0.475665,0.468483,0.464472,0.547390,0.532679,0.553908,0.524183,0.504872,0.487683,0.491761,0.491249,0.530401,0.517845,0.561292,0.539400,0.505661,0.500903,0.488986,0.484873,0.504317,0.497959,0.539798,0.524720
1000,0.471122,0.478408,0.418071,0.415092,0.464527,0.408802,0.554537,0.508257,0.573771,0.490496,0.479971,0.427048,0.497514,0.431889,0.560766,0.501908,0.563543,0.481693,0.454257,0.428573,0.488189,0.445924,0.554661,0.499063,0.508974,0.467695,0.457528,0.449583,0.553378,0.525745,0.565443,0.515185,0.507204,0.482716,0.487068,0.486627,0.544115,0.522572,0.573929,0.531964,0.506586,0.499140,0.484458,0.478087,0.506509,0.495447,0.547385,0.525495
1200,0.465128,0.472448,0.409266,0.400595,0.489338,0.399406,0.572805,0.509040,0.591915,0.483891,0.500727,0.418740,0.519753,0.423339,0.577864,0.492123,0.580836,0.473823,0.459342,0.416866,0.498545,0.429727,0.565850,0.486296,0.520017,0.461367,0.447944,0.435207,0.553380,0.513807,0.575432,0.503162,0.512907,0.480445,0.482748,0.482056,0.559262,0.527273,0.582708,0.521218,0.507392,0.496350,0.479622,0.470144,0.506535,0.489856,0.553147,0.524480
1400,0.460091,0.467253,0.405813,0.389228,0.514384,0.395741,0.590753,0.506947,0.608585,0.477799,0.523776,0.413123,0.544392,0.417430,0.595031,0.479864,0.598809,0.465972,0.471094,0.406894,0.514852,0.416267,0.578707,0.472331,0.532659,0.456056,0.441320,0.422163,0.552738,0.500659,0.584883,0.489597,0.518202,0.476371,0.478764,0.477969,0.575138,0.531904,0.590647,0.508507,0.508596,0.493649,0.476007,0.464110,0.507778,0.484589,0.558821,0.522162
1600,0.455712,0.462371,0.406304,0.380339,0.538991,0.395511,0.608224,0.504473,0.624816,0.470862,0.546495,0.409316,0.568613,0.413931,0.612646,0.468634,0.617109,0.457601,0.486334,0.398968,0.533535,0.405048,0.591695,0.458863,0.547788,0.451884,0.437330,0.411045,0.549623,0.486642,0.593224,0.476536,0.525012,0.472997,0.475594,0.474308,0.589768,0.535343,0.596285,0.495043,0.510231,0.491362,0.472924,0.458785,0.508111,0.477473,0.562507,0.518279
1800,0.451434,0.457513,0.408098,0.373097,0.562598,0.393860,0.622890,0.498500,0.639644,0.465346,0.568408,0.407552,0.592154,0.412324,0.628879,0.458272,0.632800,0.450853,0.501101,0.394054,0.551832,0.396664,0.603568,0.446666,0.562256,0.448475,0.436327,0.401431,0.548673,0.474060,0.600802,0.464558,0.531833,0.471183,0.472800,0.470522,0.604413,0.539374,0.601348,0.482552,0.513289,0.489428,0.471116,0.454511,0.509531,0.471388,0.565475,0.514080
2000,0.447660,0.453222,0.410037,0.366371,0.584664,0.392397,0.635077,0.492765,0.650999,0.459596,0.588740,0.404762,0.614079,0.410230,0.642994,0.447116,0.648183,0.444586,0.516626,0.389682,0.570183,0.389305,0.616180,0.434117,0.576516,0.444715,0.439161,0.393901,0.547879,0.461932,0.607718,0.452338,0.538518,0.469247,0.470958,0.467559,0.616892,0.541927,0.605063,0.470242,0.515491,0.486859,0.468979,0.449734,0.510219,0.464820,0.567832,0.509130
2200,0.443321,0.448574,0.411830,0.361251,0.604593,0.388741,0.643774,0.485577,0.662544,0.454256,0.607448,0.403185,0.634239,0.409189,0.655350,0.437606,0.661898,0.439062,0.530953,0.387610,0.586955,0.383514,0.626832,0.423606,0.588643,0.441178,0.443484,0.388713,0.547497,0.451950,0.614377,0.441697,0.544001,0.467492,0.470067,0.465447,0.627745,0.543802,0.608246,0.459224,0.517173,0.484220,0.468340,0.446741,0.511213,0.458760,0.569119,0.503961
2400,0.439395,0.444550,0.412863,0.356729,0.622466,0.384552,0.651074,0.478180,0.672440,0.449788,0.623875,0.400981,0.652264,0.407767,0.666973,0.428853,0.674017,0.433108,0.544328,0.385595,0.602332,0.379384,0.638795,0.414272,0.600107,0.438210,0.449368,0.385365,0.548591,0.443498,0.620293,0.431802,0.548974,0.465654,0.469275,0.463520,0.636223,0.543231,0.610207,0.449014,0.519512,0.482641,0.467490,0.443438,0.512787,0.453729,0.569674,0.498311
2600,0.436896,0.441912,0.413121,0.352871,0.637895,0.380464,0.655221,0.471396,0.681481,0.445577,0.638134,0.398730,0.667665,0.405979,0.675929,0.421738,0.684483,0.428705,0.556002,0.384060,0.614980,0.376023,0.647835,0.406521,0.609728,0.435719,0.454333,0.383076,0.548977,0.436155,0.624497,0.423420,0.553658,0.464247,0.468405,0.461579,0.643076,0.543089,0.611369,0.440450,0.521151,0.481248,0.467252,0.441024,0.513938,0.448935,0.569175,0.492997
2800,0.434335,0.439385,0.412987,0.349678,0.650819,0.376431,0.655535,0.464918,0.688201,0.442636,0.650238,0.397615,0.680799,0.405219,0.682611,0.415626,0.693112,0.424975,0.566093,0.383064,0.625618,0.373018,0.655107,0.400380,0.618763,0.433336,0.459709,0.381568,0.549268,0.429755,0.628307,0.416730,0.557623,0.463384,0.468192,0.460319,0.648406,0.542343,0.612123,0.433379,0.522901,0.479724,0.467018,0.438835,0.515110,0.444873,0.568781,0.488540
3000,0.432119,0.437394,0.412151,0.347035,0.661413,0.372785,0.654777,0.459309,0.693884,0.440041,0.660015,0.396135,0.691605,0.403630,0.687300,0.410421,0.699843,0.422020,0.574339,0.381934,0.634705,0.370326,0.661008,0.395024,0.625787,0.431600,0.464516,0.380416,0.549924,0.424894,0.631277,0.411237,0.561738,0.462957,0.467803,0.458977,0.651761,0.540881,0.612556,0.427618,0.523788,0.478342,0.467433,0.437617,0.516016,0.441629,0.568259,0.484583
3200,0.430459,0.435930,0.410634,0.344626,0.669820,0.369296,0.653211,0.454582,0.698185,0.437807,0.667967,0.395134,0.700327,0.402284,0.691168,0.406357,0.705695,0.419458,0.581039,0.381435,0.642214,0.368669,0.665273,0.390721,0.631093,0.429995,0.468678,0.380062,0.549966,0.420957,0.633483,0.406924,0.564318,0.461850,0.467611,0.458052,0.654099,0.539318,0.612608,0.422977,0.524980,0.477350,0.467688,0.436412,0.516524,0.438965,0.567668,0.481363
3400,0.428786,0.434497,0.409272,0.342658,0.676332,0.366466,0.651153,0.450753,0.702051,0.436146,0.674351,0.394145,0.707029,0.401028,0.693189,0.402917,0.709844,0.417699,0.586371,0.380852,0.647859,0.367096,0.668820,0.387405,0.635698,0.428846,0.472088,0.379779,0.549873,0.417766,0.635285,0.403384,0.566702,0.461284,0.467826,0.457584,0.656036,0.538093,0.612694,0.419239,0.525848,0.476523,0.468020,0.435539,0.517570,0.437020,0.567031,0.478549
3600,0.427402,0.433345,0.408112,0.341243,0.681332,0.364055,0.649379,0.447753,0.704808,0.434860,0.679325,0.393489,0.712476,0.400233,0.694563,0.400261,0.713324,0.416282,0.590477,0.380617,0.652334,0.366084,0.671469,0.384850,0.639370,0.427716,0.474970,0.379750,0.549868,0.415150,0.636602,0.400629,0.568402,0.460841,0.467771,0.457079,0.657658,0.537305,0.612475,0.416352,0.526388,0.475730,0.468496,0.435021,0.518121,0.435354,0.566627,0.476582
