step,train_loss,val_bpb
200,7.892215,2.034194
400,6.307461,1.808765
600,5.698604,1.699234
800,5.391976,1.631152
1000,5.196858,1.584912
1200,5.056768,1.552657
1400,4.953959,1.525178
1600,4.888432,1.503473
1800,4.809326,1.485115
2000,4.745809,1.468819
2200,4.696538,1.456064
2400,4.659467,1.444870
2600,4.609306,1.433479
2800,4.581894,1.424587
3000,4.558645,1.416112
3200,4.540319,1.409150
3400,4.511680,1.404192
3600,4.491016,1.400301
3800,4.494180,1.396396
4000,4.480512,1.393866
