step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498824,0.498933,0.498954,0.498962,0.499124,0.499011,0.499103,0.498512,0.500135,0.499041,0.498555,0.498520,0.499580,0.499496,0.501128,0.500038,0.500273,0.499254,0.499039,0.498974,0.500179,0.500157,0.501486,0.501066,0.500310,0.499485,0.498886,0.498858,0.500060,0.500018,0.501625,0.501355,0.500187,0.499448,0.499047,0.499012,0.500054,0.500039,0.501706,0.501477,0.499948,0.499604,0.499616,0.499586,0.500154,0.500152,0.501792,0.501607
400,0.496403,0.497001,0.494557,0.494629,0.494333,0.494121,0.501406,0.496560,0.502847,0.497635,0.495015,0.494615,0.496138,0.495776,0.504872,0.501575,0.500056,0.497203,0.496900,0.496630,0.499418,0.499246,0.505163,0.503465,0.499077,0.497318,0.496610,0.496547,0.499188,0.498968,0.505589,0.504353,0.498829,0.497420,0.496476,0.496486,0.498819,0.498481,0.505562,0.504300,0.499160,0.498630,0.497968,0.498032,0.500115,0.500040,0.506129,0.505122
600,0.492257,0.493820,0.486385,0.486552,0.485932,0.485635,0.505076,0.496445,0.507082,0.495735,0.488408,0.487360,0.488694,0.488117,0.507946,0.500030,0.499293,0.493764,0.492905,0.491839,0.495140,0.494497,0.508947,0.503358,0.497471,0.492963,0.491828,0.491422,0.495270,0.494410,0.510155,0.505256,0.496337,0.493330,0.492545,0.492442,0.496374,0.495564,0.510779,0.505754,0.497632,0.496684,0.494538,0.494859,0.499086,0.498623,0.512285,0.507669
800,0.486819,0.489563,0.474874,0.475142,0.474216,0.473722,0.511119,0.497795,0.512795,0.492666,0.478565,0.476464,0.477761,0.476899,0.512222,0.496867,0.498780,0.487811,0.485610,0.483417,0.486670,0.485416,0.513234,0.500492,0.498641,0.486917,0.482720,0.481940,0.487767,0.485883,0.515079,0.502372,0.494720,0.487797,0.486255,0.485997,0.492468,0.490759,0.517464,0.504104,0.496062,0.493967,0.489792,0.490306,0.496730,0.495648,0.519917,0.506906
1000,0.479879,0.483819,0.460739,0.461097,0.459979,0.459044,0.520395,0.500779,0.520576,0.489101,0.467727,0.463038,0.463900,0.462376,0.518556,0.493560,0.501847,0.481143,0.475530,0.471512,0.475455,0.473287,0.518156,0.496243,0.505652,0.481209,0.471717,0.469895,0.477830,0.474398,0.520556,0.496874,0.494992,0.482039,0.476428,0.475906,0.485715,0.482625,0.525872,0.498943,0.494830,0.490791,0.484016,0.484831,0.494223,0.492029,0.529751,0.502637
1200,0.471130,0.476185,0.444728,0.445074,0.444377,0.442162,0.532245,0.505101,0.532495,0.484950,0.460688,0.448251,0.451093,0.446459,0.527710,0.489658,0.509391,0.473197,0.465612,0.458406,0.463923,0.459698,0.523668,0.491248,0.516866,0.474620,0.458734,0.454827,0.467073,0.460831,0.526242,0.490273,0.498197,0.476831,0.465334,0.464083,0.478516,0.473100,0.534182,0.492325,0.494597,0.487188,0.476802,0.477860,0.490456,0.486043,0.539788,0.496179
1400,0.462429,0.468307,0.427698,0.427666,0.433081,0.424467,0.547608,0.511012,0.546020,0.480324,0.466616,0.434633,0.448820,0.430258,0.540408,0.485557,0.521656,0.464546,0.456615,0.444167,0.452457,0.444240,0.530387,0.485316,0.532105,0.469401,0.447352,0.439097,0.456947,0.445213,0.532960,0.482131,0.504420,0.470761,0.453213,0.450152,0.471194,0.461544,0.543470,0.484094,0.493984,0.482151,0.467006,0.468496,0.486827,0.479136,0.550932,0.487277
1600,0.455148,0.460837,0.412427,0.410815,0.441745,0.409009,0.566594,0.519057,0.562320,0.474635,0.484353,0.425185,0.466291,0.419210,0.556803,0.481042,0.537150,0.455627,0.450562,0.429807,0.446642,0.428770,0.539201,0.478198,0.550468,0.463794,0.441166,0.423112,0.456610,0.429706,0.541525,0.472794,0.514386,0.464771,0.441501,0.434830,0.464511,0.447949,0.553944,0.474155,0.495574,0.477601,0.457364,0.458568,0.482740,0.469743,0.562485,0.476574
1800,0.447116,0.452101,0.400744,0.394932,0.464986,0.403299,0.587180,0.527295,0.578442,0.469150,0.508021,0.421565,0.491275,0.417929,0.576308,0.475527,0.554837,0.445903,0.450139,0.417645,0.449131,0.414998,0.548240,0.471011,0.569672,0.457529,0.442183,0.409082,0.467937,0.417169,0.549365,0.462866,0.525846,0.458095,0.432349,0.420069,0.464247,0.435364,0.564866,0.463325,0.495898,0.472246,0.446526,0.447052,0.481043,0.460865,0.574256,0.464844
2000,0.440259,0.443888,0.395497,0.381373,0.491618,0.407092,0.609145,0.535441,0.594738,0.462494,0.534413,0.421063,0.519128,0.424170,0.598267,0.466535,0.575092,0.435662,0.456489,0.406712,0.460862,0.403171,0.559407,0.460720,0.589476,0.451179,0.450798,0.398313,0.487077,0.409354,0.560234,0.450131,0.540168,0.451960,0.426791,0.407976,0.467841,0.422075,0.577186,0.449286,0.498834,0.467694,0.437262,0.436781,0.480337,0.450806,0.585836,0.451377
2200,0.434074,0.435845,0.395298,0.370921,0.520117,0.413237,0.630020,0.540987,0.610331,0.455640,0.561234,0.419655,0.548799,0.432136,0.620886,0.455889,0.596113,0.425453,0.466041,0.397544,0.479224,0.392845,0.571525,0.448933,0.607496,0.443648,0.464919,0.388836,0.508885,0.403802,0.571249,0.436524,0.553202,0.446141,0.425651,0.397910,0.479645,0.411630,0.589930,0.435209,0.501611,0.462756,0.428498,0.425850,0.482302,0.440853,0.596631,0.437676
2400,0.428755,0.428360,0.398044,0.362650,0.549868,0.420350,0.651223,0.545595,0.624132,0.448930,0.589836,0.417540,0.580272,0.440987,0.644181,0.444445,0.617625,0.415412,0.479083,0.389691,0.501366,0.384290,0.584810,0.435723,0.624765,0.435922,0.482151,0.381147,0.534242,0.400533,0.583737,0.422183,0.566892,0.440578,0.426003,0.387701,0.493333,0.401408,0.602759,0.420790,0.505826,0.458064,0.421264,0.415463,0.487780,0.430233,0.608298,0.422641
2600,0.423902,0.420942,0.403770,0.354227,0.581162,0.426225,0.670853,0.547090,0.638543,0.441870,0.619250,0.415004,0.613158,0.450939,0.664872,0.431822,0.641853,0.404526,0.495191,0.382743,0.526871,0.375922,0.597121,0.422815,0.641847,0.429614,0.498939,0.373857,0.561636,0.398539,0.595555,0.408056,0.581778,0.435038,0.430045,0.380391,0.509858,0.393889,0.615900,0.405752,0.509911,0.453990,0.413993,0.404747,0.494064,0.419476,0.619196,0.408111
2800,0.419643,0.413776,0.412153,0.347443,0.614723,0.433290,0.687962,0.546601,0.651427,0.434774,0.649069,0.410608,0.647738,0.459419,0.685451,0.419691,0.667503,0.394432,0.512691,0.375903,0.554468,0.369627,0.608613,0.410132,0.660294,0.421299,0.516808,0.367418,0.589680,0.396264,0.606133,0.394576,0.596363,0.429061,0.435874,0.373194,0.529961,0.387381,0.628218,0.391605,0.514999,0.449346,0.409213,0.395049,0.503648,0.411115,0.630844,0.395070
3000,0.416849,0.407756,0.421321,0.342373,0.650014,0.439622,0.707661,0.547603,0.663889,0.428322,0.677824,0.405716,0.684238,0.469167,0.706615,0.407738,0.693422,0.384241,0.531944,0.368713,0.583167,0.363011,0.620506,0.395779,0.676045,0.414087,0.536195,0.361181,0.618769,0.393230,0.617596,0.379223,0.611877,0.423612,0.443227,0.367010,0.552031,0.382230,0.640667,0.377297,0.522248,0.446152,0.405225,0.385343,0.513987,0.402487,0.640757,0.381380
3200,0.414210,0.401617,0.431101,0.337719,0.686443,0.442947,0.722743,0.544291,0.674855,0.421174,0.707065,0.400019,0.722287,0.478458,0.727371,0.395126,0.720586,0.375039,0.550349,0.362356,0.614190,0.357947,0.632184,0.382555,0.688555,0.405828,0.556329,0.355096,0.649308,0.390074,0.630941,0.365462,0.626247,0.417253,0.452497,0.361531,0.574871,0.375622,0.653596,0.363528,0.528105,0.441386,0.403040,0.376019,0.524965,0.393381,0.651600,0.368257
3400,0.412184,0.395975,0.442587,0.333151,0.724639,0.444763,0.740248,0.541220,0.685010,0.414119,0.736460,0.392813,0.761869,0.487099,0.745513,0.382281,0.747375,0.366287,0.571151,0.355563,0.647161,0.352883,0.644543,0.367998,0.703676,0.398614,0.577051,0.347254,0.681431,0.388320,0.645466,0.351881,0.643176,0.410933,0.462038,0.355896,0.601305,0.370963,0.667884,0.349913,0.535137,0.437731,0.403199,0.368681,0.540787,0.384722,0.663251,0.355486
3600,0.410693,0.390717,0.453989,0.328634,0.764337,0.446184,0.755466,0.538060,0.696733,0.407935,0.763893,0.385246,0.803458,0.493876,0.764954,0.371295,0.774482,0.358139,0.592383,0.349159,0.681968,0.349720,0.660332,0.355110,0.715774,0.389705,0.597659,0.338753,0.713498,0.383710,0.659464,0.339186,0.658497,0.404749,0.472550,0.351011,0.627775,0.367585,0.682087,0.338217,0.541671,0.433390,0.403358,0.361495,0.554775,0.377500,0.673482,0.344393
3800,0.409470,0.385277,0.466799,0.324360,0.805463,0.446061,0.768638,0.533146,0.707321,0.401792,0.791397,0.377529,0.846454,0.500893,0.783277,0.360504,0.798036,0.350699,0.612911,0.342580,0.719171,0.347332,0.680609,0.342703,0.729030,0.381551,0.619069,0.329939,0.746470,0.378250,0.676078,0.327004,0.674081,0.397670,0.483458,0.345926,0.654990,0.361853,0.698495,0.326142,0.550324,0.429845,0.406690,0.355444,0.569880,0.370443,0.685777,0.332820
4000,0.408568,0.380264,0.478585,0.320125,0.847699,0.445954,0.779300,0.526698,0.718462,0.395754,0.818646,0.368609,0.889830,0.504447,0.799891,0.349558,0.823110,0.343659,0.634899,0.335888,0.757707,0.345455,0.700823,0.331946,0.741699,0.374043,0.640554,0.322333,0.782225,0.372904,0.694227,0.316303,0.686951,0.390065,0.496122,0.342320,0.682674,0.356000,0.717903,0.314549,0.555068,0.424494,0.409981,0.350220,0.588561,0.364456,0.701499,0.321165
4200,0.408584,0.375520,0.490008,0.316338,0.892219,0.444816,0.790348,0.520638,0.728739,0.389283,0.843372,0.359659,0.934875,0.505401,0.814505,0.338878,0.846928,0.337059,0.656032,0.329726,0.797647,0.344419,0.718895,0.322087,0.754032,0.367353,0.660592,0.314954,0.817646,0.366623,0.712622,0.306509,0.701103,0.383895,0.507747,0.338018,0.710319,0.351750,0.736170,0.304264,0.560895,0.419522,0.416058,0.345857,0.608721,0.359137,0.718086,0.311482
4400,0.408095,0.370461,0.501814,0.312099,0.937237,0.441949,0.800730,0.514296,0.738914,0.383398,0.868208,0.350005,0.982065,0.506099,0.828377,0.330025,0.870836,0.330449,0.676297,0.323094,0.839317,0.343795,0.738278,0.313167,0.766548,0.360014,0.679955,0.307072,0.855680,0.361269,0.732553,0.297218,0.715480,0.377283,0.518849,0.333885,0.740080,0.346934,0.757383,0.294754,0.567985,0.416036,0.420299,0.340400,0.628399,0.353140,0.734420,0.302413
