step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.495979,0.496570,0.493053,0.493059,0.496075,0.495633,0.498187,0.495753,0.500594,0.498540,0.496855,0.496770,0.503981,0.503393,0.504277,0.502484,0.500154,0.498721,0.498573,0.498520,0.505034,0.504888,0.506228,0.505368,0.500087,0.499391,0.499796,0.499790,0.504046,0.504011,0.506786,0.506260,0.501106,0.501040,0.500301,0.500290,0.502226,0.502198,0.506676,0.506246,0.501029,0.500754,0.500686,0.500750,0.501576,0.501463,0.506107,0.505632
400,0.489396,0.493799,0.472958,0.473149,0.476377,0.475224,0.502217,0.494872,0.514201,0.499405,0.482102,0.480871,0.497551,0.493921,0.514116,0.506879,0.507287,0.496851,0.490178,0.488930,0.512054,0.510471,0.521510,0.516287,0.502229,0.498452,0.495533,0.495124,0.515899,0.514841,0.521898,0.518571,0.501089,0.499958,0.498790,0.498979,0.507457,0.507065,0.516038,0.512987,0.501556,0.500789,0.502976,0.503715,0.506757,0.505467,0.511680,0.509803
600,0.483125,0.490167,0.448981,0.448947,0.452126,0.449308,0.511892,0.496706,0.533571,0.499547,0.467228,0.460726,0.483622,0.472708,0.525993,0.509769,0.523596,0.493761,0.476556,0.472245,0.522019,0.514793,0.539723,0.525957,0.507295,0.495054,0.487759,0.486099,0.535131,0.528975,0.539025,0.529844,0.504164,0.498757,0.495069,0.494777,0.512088,0.509122,0.526548,0.518672,0.501046,0.500112,0.502550,0.503857,0.511553,0.508430,0.515996,0.512471
800,0.476904,0.485340,0.430318,0.429210,0.446971,0.427077,0.527562,0.500316,0.554752,0.497411,0.465230,0.443814,0.482141,0.453346,0.539093,0.509681,0.539479,0.488770,0.464224,0.454445,0.531700,0.511994,0.555142,0.529567,0.515059,0.489722,0.477987,0.474385,0.549424,0.533238,0.552706,0.534784,0.507320,0.495917,0.489645,0.487909,0.514413,0.506081,0.535155,0.521996,0.499089,0.498040,0.501628,0.503169,0.514110,0.509403,0.519252,0.514233
1000,0.470746,0.479925,0.417480,0.413336,0.467848,0.410492,0.544902,0.502423,0.574753,0.493069,0.477299,0.430426,0.496594,0.435654,0.550754,0.504652,0.554943,0.483484,0.457404,0.438411,0.538036,0.502485,0.568158,0.527146,0.525445,0.484948,0.468924,0.462358,0.555514,0.528576,0.562892,0.533109,0.509806,0.492644,0.484963,0.480595,0.516728,0.501894,0.541731,0.523109,0.495365,0.494543,0.500604,0.502221,0.516161,0.510104,0.522021,0.515439
1200,0.464988,0.474094,0.409615,0.399932,0.492558,0.401717,0.562343,0.502258,0.594025,0.487876,0.498343,0.420040,0.518348,0.422810,0.562563,0.495585,0.574639,0.476316,0.456750,0.423909,0.544074,0.488429,0.579571,0.520014,0.535981,0.479031,0.461160,0.450409,0.561584,0.522496,0.570388,0.526563,0.514352,0.489342,0.480449,0.472589,0.519970,0.497698,0.546793,0.522545,0.490626,0.489770,0.499387,0.500846,0.518315,0.510672,0.524534,0.516192
1400,0.459941,0.468727,0.406322,0.388679,0.517179,0.398436,0.579871,0.499413,0.610883,0.481983,0.521159,0.413360,0.542695,0.413874,0.576056,0.483723,0.593908,0.470055,0.462350,0.412035,0.550893,0.473415,0.590999,0.509649,0.546893,0.473454,0.456100,0.440146,0.569592,0.515057,0.576672,0.516894,0.520596,0.487108,0.476793,0.464877,0.523256,0.491537,0.551230,0.520577,0.488618,0.486754,0.497953,0.499138,0.521374,0.511552,0.527020,0.516646
1600,0.454841,0.463276,0.406671,0.379891,0.541755,0.398061,0.597047,0.494731,0.627837,0.475849,0.544105,0.409942,0.566972,0.409455,0.589319,0.471481,0.613921,0.463955,0.473397,0.402581,0.558935,0.459524,0.601266,0.497692,0.560351,0.469281,0.454062,0.431706,0.577743,0.506054,0.581367,0.505775,0.525789,0.483821,0.474478,0.457157,0.527020,0.484818,0.554934,0.517722,0.486270,0.483656,0.496446,0.497097,0.524413,0.512437,0.529071,0.516703
1800,0.449464,0.457276,0.408497,0.372874,0.565256,0.396564,0.612425,0.488229,0.642854,0.470240,0.565945,0.407538,0.590375,0.406115,0.602817,0.460070,0.631530,0.458221,0.485780,0.396105,0.567642,0.447291,0.610637,0.486247,0.571314,0.465674,0.453622,0.423996,0.584615,0.498084,0.584905,0.494321,0.532901,0.481954,0.473718,0.451058,0.532510,0.478581,0.557456,0.514166,0.484725,0.480820,0.494753,0.494762,0.528777,0.513661,0.530814,0.516483
