step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,1.561776e+02,4.413530e-01,2.825969e-03
200,emb_resid_lut.weights,2.420000e+02,3.339844e-01,1.380101e-03
200,emb_resid_lut.log_soft_score_temp,5.642387e-01,1.574934e-03,2.791254e-03
200,emb_resid_lut.log_select_temp,1.963883e+00,2.066612e-03,1.052309e-03
200,unembedder.weight,1.595665e+02,7.656685e-01,4.798429e-03
200,layers.0.qk_lut.weights,1.340000e+02,2.695312e-01,2.011427e-03
200,layers.0.qk_lut.log_soft_score_temp,9.015333e-01,3.461242e-04,3.839283e-04
200,layers.0.qk_lut.log_select_temp,1.305173e+00,4.566908e-04,3.499084e-04
200,layers.0.v_lut.weights,1.265000e+02,2.714844e-01,2.146122e-03
200,layers.0.v_lut.log_soft_score_temp,3.174807e-01,9.371638e-04,2.951877e-03
200,layers.0.v_lut.log_select_temp,1.630578e+00,1.469493e-03,9.012096e-04
200,layers.0.out_proj.weights,2.520000e+02,5.390625e-01,2.139137e-03
200,layers.0.out_proj.log_soft_score_temp,1.066769e+00,1.016140e-03,9.525394e-04
200,layers.0.out_proj.log_select_temp,1.447774e+00,1.939654e-03,1.339749e-03
200,layers.0.residual_lut.weights,1.550000e+02,4.082031e-01,2.633569e-03
200,layers.0.residual_lut.log_soft_score_temp,1.149951e-01,5.794168e-04,5.038620e-03
200,layers.0.residual_lut.log_select_temp,1.409686e+00,2.196670e-03,1.558269e-03
200,layers.0.q_norm.weight,9.865817e+00,2.765401e-03,2.803012e-04
200,layers.0.q_norm.bias,1.156963e+00,2.943533e-03,2.544190e-03
200,layers.0.k_norm.weight,9.791262e+00,2.853347e-03,2.914177e-04
200,layers.0.k_norm.bias,1.880750e+00,3.557680e-03,1.891629e-03
200,layers.1.qk_lut.weights,1.340000e+02,2.695312e-01,2.011427e-03
200,layers.1.qk_lut.log_soft_score_temp,2.225113e-02,1.297463e-04,5.830996e-03
200,layers.1.qk_lut.log_select_temp,1.341554e+00,1.176119e-03,8.766838e-04
200,layers.1.v_lut.weights,1.245000e+02,2.910156e-01,2.337475e-03
