step,train_loss,val_bpb
200,8.908171,2.485403
400,7.356291,2.077169
600,6.441864,1.897504
800,5.969856,1.795789
1000,5.658763,1.717585
1200,5.432610,1.659374
1400,5.244466,1.609876
1600,5.105055,1.570858
1800,4.978630,1.542035
2000,4.893294,1.515237
2200,4.811214,1.493008
2400,4.747705,1.475817
2600,4.682007,1.455843
2800,4.619374,1.438572
3000,4.571785,1.423019
3200,4.525064,1.409466
3400,4.477130,1.397121
3600,4.433843,1.387152
3800,4.401469,1.376729
4000,4.369187,1.367642
4200,4.345469,1.359563
4400,4.319582,1.352790
4600,4.305150,1.346352
4800,4.278185,1.340071
5000,4.264395,1.336171
5200,4.243699,1.330794
5400,4.232726,1.326733
5600,4.218352,1.321985
5800,4.203015,1.318768
6000,4.190814,1.315217
6200,4.177555,1.311424
6400,4.172646,1.307705
6600,4.153473,1.305498
6800,4.153131,1.302381
7000,4.146866,1.299067
7200,4.136846,1.296073
7400,4.125301,1.293488
7600,4.111268,1.292071
7800,4.102946,1.289533
8000,4.103741,1.287034
8200,4.094196,1.284832
8400,4.082829,1.282403
8600,4.081291,1.280740
8800,4.069605,1.277543
9000,4.059962,1.276450
9200,4.063115,1.275315
9400,4.058241,1.273208
9600,4.048916,1.270680
9800,4.038724,1.269821
10000,4.035384,1.268238
10200,4.028296,1.267011
10400,4.022303,1.264337
10600,4.019264,1.262940
10800,4.015364,1.261936
11000,4.009721,1.260813
11200,4.009396,1.260020
11400,3.999755,1.257856
11600,4.006879,1.256883
11800,3.998450,1.254555
12000,3.989440,1.252913
12200,3.975249,1.251961
12400,3.976573,1.251235
12600,3.973958,1.250200
12800,3.966054,1.249210
13000,3.971124,1.247422
13200,3.969152,1.246418
13400,3.962846,1.244838
13600,3.957884,1.243837
13800,3.958812,1.242824
14000,3.951102,1.242040
14200,3.940123,1.240697
14400,3.943987,1.239701
14600,3.946713,1.238711
14800,3.943460,1.237923
15000,3.933772,1.236672
15200,3.933329,1.235654
15400,3.936324,1.234650
15600,3.927029,1.234981
15800,3.921727,1.233937
16000,3.904428,1.232336
16200,3.909118,1.231345
16400,3.915290,1.230134
16600,3.912372,1.229914
16800,3.910486,1.228844
17000,3.900614,1.228307
17200,3.891152,1.226721
17400,3.903531,1.226215
17600,3.899304,1.225950
17800,3.888547,1.224937
18000,3.886169,1.224430
18200,3.892941,1.223958
18400,3.889155,1.222782
18600,3.885222,1.222706
18800,3.882797,1.221329
19000,3.883301,1.221159
19200,3.883425,1.220320
19400,3.870053,1.220042
19600,3.874383,1.218589
19800,3.876627,1.218713
20000,3.876279,1.218046
20200,3.871556,1.218105
20400,3.869335,1.217260
20600,3.865006,1.217000
20800,3.869991,1.216408
21000,3.861055,1.216052
21200,3.866580,1.215544
21400,3.865530,1.214899
21600,3.861514,1.214876
21800,3.856866,1.214552
22000,3.858219,1.214548
22200,3.856272,1.213772
22400,3.852672,1.213441
22600,3.856506,1.213121
22800,3.853415,1.213256
23000,3.848684,1.212028
23200,3.853726,1.212157
23400,3.856430,1.212088
23600,3.852899,1.212112
23800,3.851183,1.211797
24000,3.848307,1.211644
