step,train_loss,val_loss
0,8.171084,8.149698
1000,2.341029,2.277117
2000,1.939442,1.907601
3000,1.766110,1.751500
4000,1.680811,1.678384
5000,1.644673,1.642389
6000,1.617913,1.619559
7000,1.602360,1.600788
8000,1.590824,1.591203
9000,1.573539,1.577944
10000,1.575935,1.576669
11000,1.557975,1.559574
12000,1.547762,1.544883
13000,1.533047,1.532886
14000,1.528520,1.523996
15000,1.515353,1.519177
16000,1.508360,1.512970
17000,1.505883,1.502821
18000,1.499173,1.498802
19000,1.495802,1.495613
20000,1.491259,1.487790
21000,1.487781,1.482872
22000,1.482065,1.477304
23000,1.474053,1.473744
24000,1.471104,1.469423
25000,1.467011,1.467776
26000,1.464433,1.464793
27000,1.463391,1.460587
28000,1.463528,1.460470
29000,1.459063,1.456584
30000,1.447864,1.450855
31000,1.453192,1.448815
32000,1.444270,1.445705
33000,1.448368,1.443393
34000,1.441324,1.442305
35000,1.439565,1.439069
36000,1.443177,1.437170
37000,1.438243,1.434273
38000,1.431178,1.433602
39000,1.429571,1.431453
40000,1.427646,1.428749
41000,1.425845,1.426002
42000,1.423956,1.423426
43000,1.423318,1.422595
44000,1.421267,1.420277
45000,1.416097,1.417937
46000,1.411085,1.416490
47000,1.414476,1.415095
48000,1.414227,1.413961
49000,1.412550,1.411898
50000,1.408608,1.408939
51000,1.410754,1.407285
52000,1.407133,1.405732
53000,1.405773,1.403973
54000,1.403397,1.402446
55000,1.401530,1.400665
56000,1.399599,1.398423
57000,1.396576,1.397838
58000,1.394752,1.395206
59000,1.394375,1.394004
60000,1.392789,1.393359
61000,1.390377,1.391866
62000,1.386846,1.389647
63000,1.390769,1.388407
64000,1.386916,1.386030
65000,1.383305,1.384710
66000,1.382923,1.383889
67000,1.377330,1.382023
68000,1.378294,1.381235
69000,1.378541,1.379305
70000,1.378577,1.378976
71000,1.378843,1.376759
72000,1.373641,1.376030
73000,1.373198,1.375564
74000,1.369439,1.373391
75000,1.371994,1.372470
76000,1.372678,1.371217
77000,1.369626,1.370393
78000,1.366923,1.368853
79000,1.365473,1.368295
80000,1.362910,1.367088
81000,1.365416,1.366796
82000,1.362633,1.365455
83000,1.361907,1.365396
84000,1.364231,1.364281
85000,1.364057,1.363024
86000,1.360829,1.362587
87000,1.360687,1.361978
88000,1.357213,1.361468
89000,1.356864,1.360391
90000,1.355675,1.360295
91000,1.357253,1.359570
92000,1.355598,1.358701
93000,1.355443,1.358496
94000,1.356717,1.357711
95000,1.356404,1.357214
96000,1.353147,1.356637
97000,1.349037,1.356002
98000,1.351400,1.356059
99000,1.352283,1.355919
