step,train_loss,val_loss
0,5.549314,5.549246
1000,3.162239,3.101010
2000,2.692004,2.671834
3000,2.518459,2.507444
4000,2.411384,2.404780
5000,2.313206,2.301415
6000,2.169092,2.153012
7000,2.017320,2.005902
8000,1.915730,1.904052
9000,1.854397,1.842949
10000,1.815867,1.806690
11000,1.781600,1.772994
12000,1.754394,1.755605
13000,1.733177,1.734639
14000,1.717396,1.714120
15000,1.703727,1.701275
16000,1.694561,1.690866
17000,1.690048,1.685390
18000,1.670681,1.669222
19000,1.665826,1.665378
20000,1.662856,1.656089
21000,1.648917,1.648623
22000,1.647944,1.643482
23000,1.641193,1.636369
24000,1.631927,1.632751
25000,1.631473,1.625162
26000,1.624521,1.620860
27000,1.621842,1.617281
28000,1.612404,1.611851
29000,1.605538,1.604790
30000,1.600933,1.606756
31000,1.600541,1.598621
32000,1.590154,1.594653
33000,1.593515,1.589384
34000,1.588361,1.587235
35000,1.590244,1.586306
36000,1.583723,1.581712
37000,1.580899,1.579847
38000,1.577213,1.573701
39000,1.574501,1.571394
40000,1.569571,1.569569
41000,1.565300,1.566091
42000,1.560538,1.563681
43000,1.561532,1.560420
44000,1.563180,1.558016
45000,1.559890,1.558928
46000,1.557807,1.553652
47000,1.555528,1.552230
48000,1.553636,1.547392
49000,1.550081,1.545213
50000,1.545450,1.545233
51000,1.542151,1.541763
52000,1.544097,1.539076
53000,1.535329,1.536555
54000,1.538435,1.535354
55000,1.537370,1.533595
56000,1.533678,1.529165
57000,1.530102,1.528578
58000,1.531935,1.526940
59000,1.523398,1.526224
60000,1.521220,1.524746
61000,1.521349,1.521772
62000,1.517208,1.520554
63000,1.520078,1.518291
64000,1.519024,1.515360
65000,1.513957,1.515780
66000,1.514515,1.512837
67000,1.509447,1.509743
68000,1.509572,1.509879
69000,1.511221,1.505294
70000,1.505354,1.505524
71000,1.502765,1.502914
72000,1.502684,1.502737
73000,1.501657,1.500483
74000,1.501957,1.500174
75000,1.498327,1.498910
76000,1.500517,1.496458
77000,1.501641,1.496731
78000,1.493824,1.494662
79000,1.494767,1.492028
80000,1.493703,1.490912
81000,1.493033,1.490410
82000,1.490361,1.489982
83000,1.489180,1.489665
84000,1.489675,1.488669
85000,1.490507,1.486505
86000,1.488336,1.486370
87000,1.487604,1.484635
88000,1.483269,1.484329
89000,1.484440,1.483628
90000,1.481101,1.483592
91000,1.482714,1.482652
92000,1.480266,1.482430
93000,1.479388,1.481945
94000,1.481470,1.481194
95000,1.478816,1.482308
96000,1.480241,1.480580
97000,1.479080,1.480051
98000,1.476750,1.480225
99000,1.480973,1.479057
