step,train_loss,val_loss
0,5.549172,5.549136
1000,3.433336,3.340200
2000,3.076100,3.044017
3000,2.764568,2.750180
4000,2.626731,2.613695
5000,2.546971,2.540830
6000,2.476005,2.470211
7000,2.406857,2.400920
8000,2.351540,2.347126
9000,2.295348,2.292588
10000,2.234917,2.222574
11000,2.165269,2.159000
12000,2.111487,2.102770
13000,2.054813,2.050513
14000,2.018652,2.014719
15000,1.993392,1.978315
16000,1.953356,1.946137
17000,1.923967,1.921546
18000,1.902376,1.899966
19000,1.888695,1.879465
20000,1.869263,1.866245
21000,1.849638,1.850307
22000,1.842612,1.839666
23000,1.828088,1.827401
24000,1.822693,1.814449
25000,1.805154,1.807366
26000,1.800515,1.797934
27000,1.792361,1.788284
28000,1.789260,1.783365
29000,1.775543,1.774198
30000,1.777751,1.769115
31000,1.764742,1.764196
32000,1.760169,1.756096
33000,1.756534,1.752902
34000,1.747079,1.745929
35000,1.738602,1.740043
36000,1.732408,1.733702
37000,1.737825,1.733898
38000,1.727983,1.725073
39000,1.721118,1.723512
40000,1.720878,1.723851
41000,1.714902,1.714631
42000,1.713835,1.714262
43000,1.711908,1.712393
44000,1.706481,1.704185
45000,1.700910,1.702449
46000,1.702542,1.704172
47000,1.693843,1.694022
48000,1.690071,1.692958
49000,1.685876,1.687188
50000,1.687377,1.687756
51000,1.683679,1.683493
52000,1.677838,1.681529
53000,1.677635,1.678260
54000,1.675091,1.676555
55000,1.674975,1.674471
56000,1.676239,1.670583
57000,1.674547,1.667393
58000,1.663410,1.665336
59000,1.661516,1.663600
60000,1.660199,1.663072
61000,1.660854,1.660623
62000,1.655333,1.659700
63000,1.656513,1.655609
64000,1.652495,1.654347
65000,1.657956,1.653349
66000,1.649811,1.650255
67000,1.646674,1.647444
68000,1.645579,1.650378
69000,1.644863,1.645338
70000,1.647679,1.645326
71000,1.640354,1.642990
72000,1.642306,1.642036
73000,1.638019,1.641333
74000,1.639113,1.637235
75000,1.635210,1.636824
76000,1.641196,1.635312
77000,1.630313,1.635505
78000,1.634157,1.633456
79000,1.635875,1.633185
80000,1.631106,1.634414
81000,1.630326,1.630148
82000,1.633197,1.630213
83000,1.627946,1.630890
84000,1.628679,1.636872
85000,1.627834,1.628690
86000,1.627816,1.625622
87000,1.623527,1.625297
88000,1.623100,1.623502
89000,1.624125,1.623047
90000,1.625696,1.621576
91000,1.623176,1.622691
92000,1.623760,1.619176
93000,1.621212,1.620366
94000,1.621084,1.621822
95000,1.616978,1.618773
96000,1.617225,1.618946
97000,1.621303,1.621415
98000,1.619581,1.620685
99000,1.627574,1.622296
