step,train_loss,val_loss
0,5.548786,5.549105
1000,2.829958,2.775168
2000,2.441239,2.415016
3000,2.256223,2.237770
4000,2.121981,2.108513
5000,2.033164,2.028462
6000,1.956376,1.949412
7000,1.904406,1.907188
8000,1.868415,1.870226
9000,1.848981,1.842966
10000,1.838173,1.833651
11000,1.819053,1.812923
12000,1.797650,1.794714
13000,1.789164,1.784087
14000,1.772369,1.780691
15000,1.761266,1.762592
16000,1.755653,1.747080
17000,1.747402,1.745859
18000,1.731215,1.731792
19000,1.730455,1.727725
20000,1.723056,1.724371
21000,1.716795,1.719043
22000,1.710918,1.715133
23000,1.702984,1.699649
24000,1.703343,1.702665
25000,1.691327,1.687594
26000,1.687619,1.686222
27000,1.679598,1.685407
28000,1.690287,1.678427
29000,1.673163,1.676136
30000,1.670171,1.670247
31000,1.668294,1.669737
32000,1.664718,1.665417
33000,1.655817,1.656721
34000,1.658203,1.654699
35000,1.650135,1.650735
36000,1.650851,1.642823
37000,1.647602,1.647591
38000,1.642987,1.634615
39000,1.633377,1.633691
40000,1.632990,1.633449
41000,1.630826,1.626311
42000,1.621730,1.624827
43000,1.621626,1.622743
44000,1.620313,1.617032
45000,1.612515,1.615404
46000,1.613583,1.611499
47000,1.611209,1.611127
48000,1.605035,1.602808
49000,1.598039,1.598701
50000,1.592334,1.598909
51000,1.592666,1.592292
52000,1.592452,1.589999
53000,1.587667,1.594566
54000,1.585640,1.585004
55000,1.579958,1.582485
56000,1.579270,1.578809
57000,1.575577,1.574405
58000,1.573494,1.572003
59000,1.570224,1.568405
60000,1.560371,1.562888
61000,1.564945,1.561183
62000,1.561872,1.560365
63000,1.556236,1.557470
64000,1.554517,1.551608
65000,1.547679,1.549933
