step,train_loss,val_loss
0,5.549445,5.549067
1000,3.161980,3.123954
2000,2.703588,2.668754
3000,2.528977,2.519515
4000,2.444272,2.434671
5000,2.363018,2.358879
6000,2.296299,2.291645
7000,2.224925,2.213893
8000,2.152266,2.137972
9000,2.069455,2.062809
10000,1.999796,1.991180
11000,1.944604,1.934516
12000,1.901651,1.893745
13000,1.861838,1.866096
14000,1.846844,1.837647
15000,1.825701,1.825128
16000,1.804258,1.802280
17000,1.791398,1.791823
18000,1.781703,1.777452
19000,1.766439,1.770517
20000,1.759242,1.759107
21000,1.755729,1.746227
22000,1.741178,1.741698
23000,1.738387,1.735365
24000,1.731347,1.730978
25000,1.723294,1.724167
26000,1.717254,1.714414
27000,1.707978,1.712911
28000,1.704352,1.706557
29000,1.701986,1.701736
30000,1.698722,1.700892
31000,1.695321,1.693598
32000,1.692285,1.687316
33000,1.692217,1.686648
34000,1.684534,1.683651
35000,1.677306,1.679738
36000,1.679212,1.674941
37000,1.674921,1.671621
38000,1.672546,1.668175
39000,1.665167,1.668286
40000,1.659927,1.663939
41000,1.659551,1.658544
42000,1.653408,1.658875
43000,1.656068,1.653004
44000,1.650438,1.649710
45000,1.646567,1.649580
46000,1.648564,1.646098
47000,1.644208,1.643486
48000,1.640983,1.643334
49000,1.639933,1.638368
50000,1.639063,1.634283
51000,1.632814,1.634516
52000,1.630196,1.632420
53000,1.631838,1.628924
54000,1.630795,1.626168
55000,1.624526,1.624630
56000,1.623378,1.621529
57000,1.624164,1.620061
58000,1.617144,1.618979
59000,1.614751,1.617505
60000,1.613613,1.612834
61000,1.612559,1.612744
62000,1.611522,1.608423
63000,1.603318,1.609902
64000,1.599121,1.604977
65000,1.606850,1.603186
66000,1.600307,1.601578
67000,1.601107,1.599750
68000,1.601000,1.598483
69000,1.595894,1.596796
70000,1.593201,1.596448
71000,1.591956,1.595694
72000,1.586527,1.591388
73000,1.589399,1.592935
74000,1.589250,1.591931
75000,1.590486,1.587615
76000,1.587397,1.589289
77000,1.584665,1.587290
78000,1.585553,1.584989
79000,1.583913,1.584133
80000,1.589643,1.580360
81000,1.580125,1.581814
82000,1.579589,1.580231
83000,1.578173,1.580344
84000,1.576243,1.576845
85000,1.581335,1.575626
86000,1.577399,1.576847
87000,1.575692,1.574910
88000,1.580626,1.572655
89000,1.578771,1.573342
90000,1.572791,1.573327
91000,1.571452,1.571938
92000,1.572453,1.571480
93000,1.572720,1.572113
94000,1.575137,1.571120
95000,1.563297,1.569100
96000,1.571107,1.570328
97000,1.568964,1.569751
98000,1.564742,1.567708
99000,1.566962,1.569203
