step,train_loss,val_loss,val_loss_hard
0,5.548943,5.548936,5.549049
1000,2.748929,2.661013,2.738520
2000,2.425006,2.402686,2.510583
3000,2.263792,2.257210,2.378606
4000,2.128588,2.118672,2.290775
5000,1.999269,1.999603,2.207069
6000,1.922381,1.913116,2.149801
7000,1.854844,1.844551,2.086448
8000,1.805091,1.797216,2.061426
9000,1.773233,1.768882,2.034003
10000,1.745077,1.736755,1.998306
11000,1.714170,1.712082,1.980649
12000,1.689036,1.690498,1.953173
13000,1.677351,1.673486,1.939828
14000,1.661735,1.656247,1.916356
15000,1.643387,1.644531,1.914683
16000,1.638697,1.630165,1.899122
17000,1.626591,1.622126,1.895289
18000,1.619498,1.615527,1.898327
19000,1.607847,1.609213,1.896826
20000,1.602476,1.595702,1.881904
21000,1.597321,1.590506,1.862385
22000,1.587876,1.586557,1.880450
23000,1.579434,1.579006,1.869973
24000,1.580376,1.574213,1.867365
25000,1.573382,1.570654,1.861324
26000,1.568256,1.566479,1.859959
27000,1.559898,1.556737,1.847206
28000,1.562616,1.557512,1.853471
29000,1.556675,1.549480,1.853309
30000,1.550363,1.546934,1.855598
31000,1.542558,1.544123,1.849404
32000,1.537998,1.540917,1.851365
33000,1.540865,1.537549,1.845272
34000,1.534816,1.534449,1.849252
35000,1.535537,1.530131,1.828423
36000,1.528147,1.526231,1.846267
37000,1.525773,1.526370,1.837016
38000,1.522077,1.521456,1.835002
39000,1.524523,1.517640,1.837638
40000,1.520974,1.517627,1.840445
41000,1.515577,1.514366,1.827483
42000,1.510317,1.512824,1.832984
43000,1.509253,1.509130,1.832631
44000,1.509464,1.506063,1.824406
45000,1.504274,1.504236,1.830353
46000,1.500505,1.502594,1.829673
47000,1.502513,1.500101,1.817276
48000,1.500868,1.496828,1.827264
49000,1.497335,1.495579,1.815058
50000,1.499411,1.818667,1.818667
51000,1.621246,1.615238,1.615238
52000,1.599661,1.596637,1.596637
53000,1.587173,1.584876,1.584876
54000,1.582381,1.579643,1.579643
55000,1.576365,1.574744,1.574744
56000,1.571626,1.569264,1.569264
57000,1.572479,1.566794,1.566794
58000,1.561781,1.563713,1.563713
59000,1.559276,1.559829,1.559829
60000,1.555894,1.556951,1.556951
61000,1.554658,1.553476,1.553476
62000,1.548445,1.551313,1.551313
63000,1.551771,1.546592,1.546592
64000,1.549418,1.545337,1.545337
65000,1.547606,1.544350,1.544350
66000,1.539313,1.538786,1.538786
67000,1.536576,1.539935,1.539935
68000,1.542601,1.538669,1.538669
69000,1.535610,1.537437,1.537437
70000,1.540316,1.535739,1.535739
71000,1.533584,1.534252,1.534252
72000,1.529454,1.530111,1.530111
73000,1.528548,1.529020,1.529020
74000,1.529724,1.525892,1.525892
75000,1.528530,1.527595,1.527595
76000,1.527125,1.523402,1.523402
77000,1.524807,1.523168,1.523168
78000,1.522621,1.522912,1.522912
79000,1.522695,1.521930,1.521930
80000,1.522980,1.519677,1.519677
81000,1.518950,1.519717,1.519717
82000,1.515195,1.517786,1.517786
83000,1.518549,1.515870,1.515870
84000,1.515060,1.516675,1.516675
85000,1.518046,1.515730,1.515730
86000,1.508884,1.515093,1.515093
87000,1.509122,1.515284,1.515284
88000,1.519098,1.512301,1.512301
89000,1.508473,1.512079,1.512079
90000,1.510234,1.510403,1.510403
91000,1.510850,1.511073,1.511073
92000,1.514511,1.510436,1.510436
93000,1.510182,1.510736,1.510736
94000,1.512403,1.508381,1.508381
95000,1.508692,1.508321,1.508321
96000,1.506970,1.506182,1.506182
97000,1.509249,1.508026,1.508026
98000,1.511483,1.507969,1.507969
99000,1.507364,1.505884,1.505884
