step,train_loss,val_loss,val_loss_hard
0,5.549128,5.549045,5.549049
1000,2.930837,2.847893,2.859641
2000,2.519884,2.494656,2.515920
3000,2.359495,2.346538,2.372572
4000,2.235748,2.219744,2.244964
5000,2.119927,2.105904,2.143228
6000,2.019308,2.009437,2.051047
7000,1.941832,1.935907,1.983062
8000,1.883335,1.882391,1.935560
9000,1.844425,1.840079,1.887140
10000,1.811136,1.805862,1.860606
11000,1.783174,1.772492,1.821104
12000,1.751537,1.750935,1.797275
13000,1.725529,1.728002,1.777888
14000,1.713969,1.709745,1.756305
15000,1.691790,1.694187,1.746279
16000,1.680014,1.679476,1.727210
17000,1.667960,1.669002,1.717503
18000,1.660287,1.660141,1.703735
19000,1.649301,1.649716,1.694239
20000,1.645028,1.637347,1.684432
21000,1.633204,1.634132,1.681581
22000,1.625126,1.625671,1.671318
23000,1.624837,1.620229,1.665309
24000,1.618235,1.611346,1.654843
25000,1.609665,1.608600,1.652127
26000,1.603085,1.600274,1.646982
27000,1.599022,1.596624,1.640080
28000,1.594583,1.591145,1.634619
29000,1.585930,1.587718,1.632574
30000,1.582287,1.586033,1.630543
31000,1.578859,1.580982,1.628080
32000,1.579401,1.577630,1.620938
33000,1.575215,1.573950,1.619130
34000,1.580236,1.570530,1.613405
35000,1.568624,1.566881,1.613297
36000,1.566159,1.563726,1.605400
37000,1.557912,1.559726,1.606462
38000,1.557417,1.557995,1.601077
39000,1.555484,1.555634,1.597989
40000,1.552879,1.553118,1.599136
41000,1.551522,1.547981,1.593402
42000,1.550904,1.549231,1.591849
43000,1.546354,1.545334,1.588589
44000,1.539736,1.542538,1.585438
45000,1.537755,1.539470,1.583173
46000,1.538685,1.538651,1.585299
47000,1.541244,1.537238,1.580639
48000,1.537088,1.531850,1.573204
49000,1.529119,1.530865,1.571786
50000,1.530579,1.527607,1.571339
51000,1.524301,1.526238,1.565099
52000,1.529188,1.524726,1.565125
53000,1.524966,1.522865,1.564154
54000,1.519510,1.521711,1.562325
55000,1.517042,1.519438,1.562293
56000,1.522325,1.517523,1.559026
57000,1.518656,1.514645,1.556573
58000,1.511906,1.511986,1.554936
59000,1.511553,1.514077,1.553610
60000,1.512386,1.510319,1.552811
61000,1.510060,1.508101,1.550362
62000,1.502986,1.507089,1.550502
63000,1.504719,1.506624,1.547752
64000,1.503456,1.505799,1.548066
65000,1.502449,1.502649,1.542598
66000,1.500225,1.500553,1.540917
67000,1.502040,1.498166,1.539718
68000,1.498746,1.498248,1.536770
69000,1.498182,1.497016,1.536519
70000,1.496949,1.495236,1.534347
71000,1.491634,1.495019,1.535898
72000,1.493730,1.493081,1.531644
73000,1.493755,1.490542,1.531537
74000,1.488507,1.490360,1.531479
75000,1.490117,1.488581,1.531068
76000,1.485931,1.488818,1.527866
77000,1.490108,1.486417,1.528263
78000,1.485779,1.484732,1.524745
79000,1.487545,1.484942,1.526321
80000,1.483010,1.484042,1.525860
81000,1.480433,1.483822,1.522916
82000,1.482268,1.481642,1.521720
83000,1.485158,1.481769,1.521816
84000,1.479294,1.480851,1.519037
85000,1.478454,1.480648,1.522746
86000,1.481677,1.480241,1.520704
87000,1.480522,1.478689,1.519337
88000,1.480997,1.477899,1.517752
89000,1.478033,1.477168,1.516908
90000,1.479967,1.477405,1.516325
91000,1.478493,1.476706,1.517340
92000,1.476993,1.475492,1.514742
93000,1.478619,1.475068,1.516832
94000,1.470440,1.475966,1.515405
95000,1.473352,1.475165,1.513633
96000,1.470935,1.473025,1.513950
97000,1.472709,1.474024,1.512305
98000,1.475853,1.473638,1.512690
99000,1.474203,1.472257,1.514548
