step,train_loss,val_loss,val_loss_hard
0,5.549127,5.549068,5.549150
1000,3.101733,3.025726,3.071821
2000,2.552556,2.530294,2.864226
3000,2.412934,2.402312,2.771921
4000,2.318659,2.309445,2.686356
5000,2.240542,2.235211,2.596766
6000,2.157083,2.151673,2.443552
7000,2.072722,2.061066,2.329802
8000,1.990675,1.980733,2.230217
9000,1.920605,1.908802,2.142013
10000,1.862874,1.861058,2.060541
11000,1.825999,1.824779,2.000630
12000,1.797980,1.793916,1.959973
13000,1.775957,1.775618,1.938367
14000,1.761087,1.752882,1.901056
15000,1.742893,1.739231,1.881349
16000,1.732379,1.725742,1.862708
17000,1.715087,1.714904,1.855838
18000,1.708969,1.708275,1.843690
19000,1.697092,1.698565,1.829896
20000,1.695573,1.690693,1.824722
21000,1.682476,1.685285,1.811935
22000,1.679415,1.676275,1.798755
23000,1.671151,1.670947,1.790082
24000,1.666980,1.663320,1.783766
25000,1.659122,1.654399,1.770205
26000,1.650407,1.653936,1.767041
27000,1.652761,1.646948,1.755653
28000,1.643175,1.642664,1.755719
29000,1.639967,1.638005,1.749319
30000,1.633236,1.636216,1.749987
31000,1.631278,1.631638,1.740900
32000,1.630363,1.629243,1.742924
33000,1.621809,1.625821,1.737092
34000,1.623788,1.620037,1.731673
35000,1.616366,1.615946,1.730213
36000,1.614787,1.615922,1.732913
37000,1.613922,1.612783,1.729276
38000,1.609821,1.609925,1.720541
39000,1.603879,1.604093,1.716684
40000,1.608237,1.604477,1.719735
41000,1.600627,1.601295,1.715292
42000,1.599041,1.598168,1.717481
43000,1.598899,1.594368,1.703951
44000,1.594141,1.592263,1.699665
45000,1.591093,1.590060,1.701327
46000,1.593656,1.586026,1.700544
47000,1.582583,1.585403,1.699732
48000,1.580760,1.583148,1.702199
49000,1.582100,1.577559,1.693430
50000,1.577452,1.578429,1.694484
51000,1.574596,1.575382,1.688616
52000,1.577690,1.573667,1.692986
53000,1.573114,1.571856,1.692143
54000,1.572310,1.569707,1.686312
55000,1.570816,1.568889,1.686457
56000,1.566344,1.563195,1.682418
57000,1.568196,1.564185,1.680897
58000,1.562879,1.561868,1.682411
59000,1.561614,1.559879,1.680343
60000,1.559986,1.559245,1.685186
61000,1.559384,1.558317,1.677012
62000,1.554911,1.555968,1.676927
63000,1.551762,1.553220,1.674770
64000,1.550066,1.552508,1.675349
65000,1.549878,1.549051,1.673224
66000,1.548142,1.548025,1.672185
67000,1.542155,1.547152,1.676672
68000,1.547463,1.547176,1.675058
69000,1.545406,1.544560,1.676757
70000,1.539223,1.541156,1.671254
71000,1.541373,1.542306,1.678043
72000,1.541868,1.542517,1.670535
73000,1.537850,1.538819,1.672020
74000,1.537024,1.535827,1.665189
75000,1.540512,1.536075,1.673663
76000,1.535691,1.533674,1.673119
77000,1.533905,1.533511,1.669275
78000,1.534285,1.533449,1.671091
79000,1.529382,1.532285,1.671146
