step,train_loss,val_loss,val_loss_hard
0,5.549098,5.549177,5.549177
1000,3.282647,3.205360,3.205360
2000,2.717102,2.666500,2.666500
3000,2.469540,2.449968,2.449968
4000,2.347087,2.335449,2.335449
5000,2.267719,2.262526,2.262526
6000,2.217971,2.214279,2.214279
7000,2.175525,2.166964,2.166964
8000,2.128710,2.126456,2.126456
9000,2.092778,2.087196,2.087196
10000,2.058265,2.052729,2.052729
11000,2.018380,2.015248,2.015248
12000,1.985247,1.982041,1.982041
13000,1.946844,1.945328,1.945328
14000,1.921406,1.913542,1.913542
15000,1.893268,1.889622,1.889622
16000,1.863145,1.862867,1.862867
17000,1.840333,1.833953,1.833953
18000,1.820802,1.816704,1.816704
19000,1.798659,1.791176,1.791176
20000,1.777132,1.773869,1.773869
21000,1.757204,1.758657,1.758657
22000,1.744141,1.743223,1.743223
23000,1.729399,1.729142,1.729142
24000,1.717262,1.715426,1.715426
25000,1.706893,1.706905,1.706905
26000,1.699219,1.695515,1.695515
27000,1.692051,1.688839,1.688839
28000,1.679158,1.679811,1.679811
29000,1.679751,1.671280,1.671280
30000,1.670399,1.666442,1.666442
31000,1.661435,1.660498,1.660498
32000,1.660411,1.654167,1.654167
33000,1.651379,1.646958,1.646958
34000,1.647324,1.642471,1.642471
35000,1.644393,1.638018,1.638018
36000,1.635705,1.633218,1.633218
37000,1.633517,1.630303,1.630303
38000,1.623983,1.625018,1.625018
39000,1.627083,1.623246,1.623246
40000,1.625956,1.620364,1.620364
41000,1.615181,1.615918,1.615918
42000,1.614286,1.614370,1.614370
43000,1.611135,1.608152,1.608152
44000,1.608898,1.607252,1.607252
45000,1.603705,1.603601,1.603601
46000,1.607848,1.601956,1.601956
47000,1.602350,1.597822,1.597822
48000,1.594893,1.597032,1.597032
49000,1.592249,1.594877,1.594877
50000,1.591930,1.592019,1.592019
51000,1.591078,1.588921,1.588921
52000,1.585745,1.587220,1.587220
53000,1.583801,1.584344,1.584344
54000,1.583250,1.582575,1.582575
55000,1.582538,1.579915,1.579915
56000,1.574125,1.578078,1.578078
57000,1.579243,1.574172,1.574172
58000,1.571762,1.574580,1.574580
59000,1.572393,1.572062,1.572062
60000,1.570348,1.568745,1.568745
61000,1.568134,1.568539,1.568539
62000,1.568570,1.566249,1.566249
63000,1.568534,1.564750,1.564750
64000,1.564543,1.564147,1.564147
65000,1.559565,1.561882,1.561882
66000,1.562537,1.559352,1.559352
67000,1.556073,1.559683,1.559683
68000,1.561389,1.556983,1.556983
69000,1.560258,1.556997,1.556997
70000,1.554415,1.555583,1.555583
71000,1.552690,1.553783,1.553783
72000,1.552686,1.552528,1.552528
73000,1.552305,1.550786,1.550786
74000,1.552443,1.549733,1.549733
75000,1.547839,1.547284,1.547284
76000,1.549195,1.548038,1.548038
77000,1.546229,1.547573,1.547573
78000,1.546734,1.544722,1.544722
79000,1.546390,1.543415,1.543415
80000,1.536016,1.543996,1.543996
81000,1.543598,1.542493,1.542493
82000,1.541924,1.541041,1.541041
83000,1.538057,1.540278,1.540278
84000,1.543222,1.539673,1.539673
85000,1.539110,1.540452,1.540452
86000,1.537119,1.538835,1.538835
87000,1.537823,1.537809,1.537809
88000,1.534163,1.537874,1.537874
89000,1.538171,1.534483,1.534483
90000,1.533690,1.533630,1.533630
91000,1.536260,1.534956,1.534956
92000,1.533458,1.534882,1.534882
93000,1.533725,1.533864,1.533864
94000,1.536972,1.533940,1.533940
95000,1.536135,1.532617,1.532617
96000,1.532948,1.532353,1.532353
97000,1.533996,1.532473,1.532473
98000,1.531579,1.531605,1.531605
99000,1.534205,1.532253,1.532253
