step,train_loss,val_loss,val_loss_hard
0,5.549217,5.549140,5.549140
1000,3.499364,3.397088,3.397088
2000,3.032292,3.005822,3.005822
3000,2.731378,2.713644,2.713644
4000,2.588481,2.582485,2.582485
5000,2.501899,2.495200,2.495200
6000,2.440328,2.434511,2.434511
7000,2.397452,2.389548,2.389548
8000,2.363935,2.361308,2.361308
9000,2.333806,2.326740,2.326740
10000,2.306287,2.299838,2.299838
11000,2.274780,2.275030,2.275030
12000,2.256972,2.254565,2.254565
13000,2.231513,2.227164,2.227164
14000,2.206528,2.205666,2.205666
15000,2.189132,2.185260,2.185260
16000,2.164443,2.158503,2.158503
17000,2.143223,2.139289,2.139289
18000,2.123382,2.119983,2.119983
