step,train_loss,val_loss,val_loss_hard
0,5.549323,5.549245,5.549245
1000,3.332314,3.276206,3.276206
2000,2.837329,2.785245,2.785245
3000,2.591085,2.580699,2.580699
4000,2.488681,2.477348,2.477348
5000,2.398789,2.390276,2.390276
6000,2.342070,2.335618,2.335618
7000,2.299060,2.291870,2.291870
8000,2.261439,2.257823,2.257823
9000,2.228820,2.228410,2.228410
10000,2.206916,2.204761,2.204761
11000,2.181702,2.173457,2.173457
12000,2.163461,2.155212,2.155212
13000,2.141890,2.140365,2.140365
14000,2.126833,2.125128,2.125128
15000,2.107291,2.108319,2.108319
16000,2.096789,2.091949,2.091949
17000,2.086254,2.083862,2.083862
18000,2.074052,2.073990,2.073990
19000,2.064749,2.062971,2.062971
20000,2.062299,2.057002,2.057002
21000,2.044677,2.048171,2.048171
22000,2.042172,2.035070,2.035070
23000,2.038826,2.035632,2.035632
24000,2.026858,2.029606,2.029606
25000,2.025941,2.024520,2.024520
26000,2.021535,2.013814,2.013814
27000,2.006233,2.007860,2.007860
28000,2.004004,2.003842,2.003842
29000,1.998836,1.997065,1.997065
30000,1.997232,1.998433,1.998433
31000,1.996561,1.995414,1.995414
32000,1.992325,1.993481,1.993481
33000,1.993580,1.987891,1.987891
