step,train_loss,val_loss,val_loss_hard
0,5.550065,5.550429,5.550429
1000,3.092484,3.043014,3.043014
2000,2.622800,2.612291,2.612291
3000,2.516462,2.512987,2.512987
4000,2.443418,2.438556,2.438556
5000,2.392785,2.391201,2.391201
6000,2.299815,2.298668,2.298668
7000,2.255600,2.241158,2.241158
8000,2.222807,2.237003,2.237003
9000,2.195792,2.192076,2.192076
10000,2.170290,2.161497,2.161497
11000,2.153750,2.155194,2.155194
12000,2.133474,2.129647,2.129647
13000,2.120895,2.116020,2.116020
14000,2.108820,2.109717,2.109717
15000,2.090905,2.098946,2.098946
16000,2.088810,2.081998,2.081998
17000,2.080534,2.072665,2.072665
18000,2.063170,2.061167,2.061167
19000,2.062706,2.059907,2.059907
20000,2.053145,2.060867,2.060867
21000,2.049215,2.040072,2.040072
22000,2.040375,2.038706,2.038706
23000,2.029507,2.028821,2.028821
24000,2.030994,2.024714,2.024714
25000,2.024587,2.016413,2.016413
26000,2.016156,2.014929,2.014929
27000,2.009000,2.005800,2.005800
28000,2.005776,2.004923,2.004923
29000,2.002963,2.000584,2.000584
30000,2.003041,1.998010,1.998010
31000,1.999701,2.001928,2.001928
32000,1.992518,1.994017,1.994017
33000,1.989048,1.989286,1.989286
34000,1.984881,1.989306,1.989306
35000,1.988221,1.987188,1.987188
36000,1.980183,1.980179,1.980179
37000,1.981286,1.977346,1.977346
38000,1.977768,1.975927,1.975927
39000,1.976381,1.976772,1.976772
40000,1.976510,1.975500,1.975500
41000,1.973917,1.971175,1.971175
42000,1.973729,1.970989,1.970989
43000,1.968216,1.972397,1.972397
44000,1.970422,1.971086,1.971086
45000,1.964133,1.967288,1.967288
46000,1.963126,1.965207,1.965207
47000,1.970711,1.966164,1.966164
48000,1.968610,1.965309,1.965309
49000,1.965718,1.966889,1.966889
