step,train_loss,val_loss,val_loss_hard
0,5.550336,5.550084,5.550084
1000,2.766192,2.696301,2.696301
2000,2.437620,2.418921,2.418921
3000,2.266691,2.250289,2.250289
4000,2.149339,2.139703,2.139703
5000,2.068777,2.060932,2.060932
6000,2.007725,2.003906,2.003906
7000,1.956494,1.951876,1.951876
8000,1.917874,1.911519,1.911519
9000,1.889375,1.884953,1.884953
10000,1.869554,1.863119,1.863119
11000,1.856765,1.848979,1.848979
12000,1.834869,1.833292,1.833292
13000,1.822760,1.820846,1.820846
14000,1.808513,1.813034,1.813034
15000,1.800941,1.802386,1.802386
16000,1.794633,1.794817,1.794817
17000,1.788065,1.787807,1.787807
18000,1.780293,1.777446,1.777446
19000,1.775345,1.769052,1.769052
20000,1.763190,1.761523,1.761523
21000,1.761043,1.760575,1.760575
22000,1.755418,1.752788,1.752788
23000,1.752038,1.751455,1.751455
24000,1.747366,1.744056,1.744056
25000,1.742889,1.737826,1.737826
26000,1.740832,1.732138,1.732138
27000,1.731435,1.729775,1.729775
28000,1.725127,1.727322,1.727322
29000,1.728405,1.722854,1.722854
30000,1.720885,1.717998,1.717998
31000,1.714403,1.715266,1.715266
32000,1.720440,1.712909,1.712909
33000,1.707845,1.711570,1.711570
34000,1.712421,1.705911,1.705911
35000,1.708712,1.706652,1.706652
36000,1.703365,1.703570,1.703570
37000,1.704345,1.700258,1.700258
38000,1.699608,1.698799,1.698799
39000,1.695618,1.697157,1.697157
40000,1.698499,1.693366,1.693366
41000,1.696146,1.692275,1.692275
42000,1.691938,1.691441,1.691441
43000,1.690127,1.690169,1.690169
44000,1.693225,1.687268,1.687268
45000,1.691924,1.687102,1.687102
46000,1.685562,1.687750,1.687750
47000,1.683572,1.686457,1.686457
48000,1.685064,1.685817,1.685817
49000,1.685033,1.683878,1.683878
