step,train_loss,val_loss,val_loss_hard
0,5.548457,5.548510,5.548510
1000,4.515484,4.366554,4.366554
2000,3.524856,3.462182,3.462182
3000,2.995347,2.952268,2.952268
4000,2.686592,2.665972,2.665981
5000,2.568828,2.551177,2.551179
6000,2.484085,2.473534,2.473543
7000,2.410201,2.402373,2.402373
8000,2.359754,2.346681,2.346679
9000,2.313801,2.305200,2.305199
10000,2.270568,2.268193,2.268177
11000,2.241680,2.239138,2.239100
12000,2.217236,2.212977,2.212998
13000,2.196936,2.194824,2.194821
14000,2.182339,2.175655,2.175654
15000,2.168796,2.157227,2.157255
16000,2.149126,2.148683,2.148700
17000,2.134332,2.132047,2.132079
18000,2.123508,2.121073,2.121067
19000,2.106567,2.110744,2.110767
20000,2.101203,2.099741,2.099701
21000,2.094274,2.094147,2.094135
22000,2.088124,2.084770,2.084954
23000,2.079027,2.079225,2.079238
24000,2.075198,2.071512,2.071576
25000,2.068964,2.063244,2.063266
26000,2.061948,2.059939,2.059963
27000,2.058291,2.052867,2.052759
28000,2.053661,2.050591,2.050596
29000,2.041556,2.047937,2.047909
30000,2.044372,2.038703,2.038718
31000,2.043142,2.038375,2.038338
32000,2.040535,2.033998,2.033995
33000,2.033748,2.036224,2.036223
34000,2.031393,2.029535,2.029511
35000,2.028865,2.034835,2.034790
36000,2.025632,2.025390,2.025372
37000,2.024435,2.022982,2.022960
38000,2.018956,2.020317,2.020295
39000,2.019238,2.029861,2.029883
40000,2.022467,2.016006,2.016073
41000,2.016144,2.017598,2.017580
42000,2.015502,2.017946,2.017909
43000,2.014308,2.015706,2.015663
44000,2.010155,2.015478,2.015430
45000,2.009206,2.012179,2.012138
46000,2.013565,2.008291,2.008272
47000,2.005929,2.008762,2.008753
48000,2.008025,2.009184,2.009176
49000,2.006600,2.006114,2.006090
