step,train_loss,val_loss,val_loss_hard
0,5.550514,5.550547,5.550547
1000,2.701291,2.630584,2.630584
2000,2.347707,2.322671,2.322671
3000,2.193736,2.183464,2.183464
4000,2.091763,2.082894,2.082894
5000,2.013826,2.007841,2.007841
6000,1.958098,1.950140,1.950140
7000,1.906362,1.908915,1.908915
8000,1.873460,1.873409,1.873409
9000,1.848071,1.852744,1.852744
10000,1.834081,1.825692,1.825692
11000,1.812888,1.805332,1.805332
12000,1.791545,1.791008,1.791008
13000,1.779001,1.776951,1.776951
14000,1.777390,1.766694,1.766694
15000,1.756094,1.756588,1.756588
16000,1.752311,1.745023,1.745023
17000,1.742892,1.736707,1.736707
18000,1.734971,1.735315,1.735315
19000,1.734686,1.728751,1.728751
20000,1.718408,1.720044,1.720044
21000,1.711709,1.713469,1.713469
22000,1.706289,1.707651,1.707651
23000,1.700246,1.705204,1.705204
24000,1.697300,1.697716,1.697716
25000,1.692282,1.690326,1.690326
26000,1.689989,1.685443,1.685443
27000,1.683333,1.684730,1.684730
28000,1.676997,1.678308,1.678308
29000,1.676960,1.673476,1.673476
30000,1.672934,1.668936,1.668936
31000,1.666414,1.667627,1.667627
32000,1.662367,1.664766,1.664766
33000,1.653284,1.659701,1.659701
34000,1.662689,1.655719,1.655719
35000,1.653203,1.653967,1.653967
36000,1.655600,1.650705,1.650705
37000,1.646497,1.647680,1.647680
38000,1.645508,1.644242,1.644242
39000,1.647220,1.642583,1.642583
40000,1.641060,1.641153,1.641153
41000,1.637269,1.637087,1.637087
42000,1.640108,1.634941,1.634941
43000,1.630696,1.635725,1.635725
44000,1.632633,1.634647,1.634647
45000,1.633299,1.633627,1.633627
46000,1.630062,1.630363,1.630363
47000,1.629433,1.630471,1.630471
48000,1.622590,1.628096,1.628096
49000,1.628744,1.629585,1.629585
