step,train_loss,val_loss,val_loss_hard
0,5.549073,5.549073,5.549073
1000,3.267956,3.186918,3.186918
2000,2.728887,2.682880,2.682880
3000,2.584231,2.580205,2.580205
4000,2.564366,2.565530,2.565530
5000,2.562350,2.560721,2.560721
6000,2.560735,2.559135,2.559135
7000,2.556780,2.557949,2.557949
8000,2.557328,2.557375,2.557375
9000,2.556914,2.557701,2.557701
10000,2.557286,2.556701,2.556701
11000,2.558414,2.556597,2.556597
12000,2.556708,2.556080,2.556080
13000,2.558338,2.556176,2.556176
