step,train_loss,val_loss,val_loss_hard
0,5.550706,5.550547,5.550547
1000,2.912742,2.831303,2.831303
2000,2.483422,2.469691,2.469691
3000,2.301234,2.284408,2.284408
4000,2.181393,2.172514,2.172514
5000,2.088705,2.081638,2.081638
6000,2.020676,2.015010,2.015010
7000,1.964831,1.965679,1.965679
8000,1.928443,1.930657,1.930657
9000,1.893040,1.896885,1.896885
10000,1.872463,1.875291,1.875291
11000,1.852466,1.843927,1.843927
12000,1.825871,1.825072,1.825072
13000,1.814121,1.809236,1.809236
14000,1.795703,1.793828,1.793828
15000,1.786266,1.784899,1.784899
16000,1.773384,1.765086,1.765086
17000,1.763236,1.763288,1.763288
18000,1.758977,1.752573,1.752573
19000,1.742672,1.747696,1.747696
20000,1.735765,1.741323,1.741323
21000,1.734774,1.735356,1.735356
22000,1.728485,1.724829,1.724829
23000,1.723359,1.728831,1.728831
24000,1.722390,1.723062,1.723062
25000,1.716886,1.713879,1.713879
26000,1.712568,1.710884,1.710884
27000,1.711749,1.705361,1.705361
28000,1.703767,1.704267,1.704267
29000,1.700560,1.698255,1.698255
30000,1.698574,1.698385,1.698385
31000,1.697930,1.696743,1.696743
32000,1.689981,1.688223,1.688223
33000,1.688147,1.684905,1.684905
34000,1.683645,1.682704,1.682704
35000,1.683140,1.686119,1.686119
36000,1.680400,1.675768,1.675768
37000,1.675866,1.673689,1.673689
38000,1.671199,1.676580,1.676580
39000,1.672942,1.669665,1.669665
40000,1.663883,1.668366,1.668366
41000,1.666125,1.667612,1.667612
42000,1.664883,1.664699,1.664699
43000,1.667351,1.664298,1.664298
44000,1.660411,1.662873,1.662873
45000,1.656678,1.655045,1.655045
46000,1.655308,1.656351,1.656351
47000,1.653203,1.656536,1.656536
48000,1.649649,1.652187,1.652187
49000,1.651847,1.650929,1.650929
50000,1.649540,1.648917,1.648917
51000,1.643156,1.643760,1.643760
52000,1.645178,1.643011,1.643011
53000,1.642260,1.643227,1.643227
54000,1.640448,1.637159,1.637159
55000,1.639982,1.639610,1.639610
56000,1.639429,1.638089,1.638089
57000,1.632673,1.634671,1.634671
58000,1.633267,1.630983,1.630983
59000,1.635864,1.631151,1.631151
60000,1.632063,1.630841,1.630841
61000,1.635941,1.628933,1.628933
62000,1.627751,1.625088,1.625088
63000,1.628470,1.623883,1.623883
64000,1.621422,1.622006,1.622006
65000,1.621576,1.623730,1.623730
66000,1.622528,1.621148,1.621148
67000,1.614774,1.620458,1.620458
68000,1.616730,1.620114,1.620114
69000,1.619238,1.615806,1.615806
70000,1.612666,1.615467,1.615467
71000,1.614733,1.613403,1.613403
72000,1.615503,1.609904,1.609904
73000,1.616700,1.613690,1.613690
74000,1.614288,1.611519,1.611519
75000,1.608582,1.612000,1.612000
76000,1.604829,1.608148,1.608148
77000,1.610620,1.607990,1.607990
78000,1.605467,1.607948,1.607948
79000,1.605706,1.606052,1.606052
80000,1.604870,1.604595,1.604595
81000,1.604637,1.603793,1.603793
82000,1.602441,1.601754,1.601754
83000,1.598342,1.600452,1.600452
84000,1.601229,1.602791,1.602791
85000,1.601215,1.601103,1.601103
86000,1.601407,1.598495,1.598495
