step,train_loss,val_loss,val_loss_hard
0,5.550092,5.550066,5.550066
1000,2.712401,2.631289,2.631289
2000,2.334367,2.313608,2.313608
3000,2.144192,2.130012,2.130012
4000,2.027992,2.015256,2.015256
5000,1.956091,1.946915,1.946915
6000,1.890903,1.876177,1.876177
7000,1.842750,1.841232,1.841232
8000,1.813151,1.810709,1.810709
9000,1.796115,1.789666,1.789666
10000,1.778960,1.769461,1.769461
11000,1.760866,1.759743,1.759743
12000,1.747394,1.737707,1.737707
13000,1.731359,1.730469,1.730469
14000,1.725608,1.721197,1.721197
15000,1.710658,1.713768,1.713768
16000,1.704274,1.703872,1.703872
17000,1.703686,1.694914,1.694914
18000,1.689818,1.690058,1.690058
19000,1.689597,1.685942,1.685942
20000,1.684999,1.678465,1.678465
21000,1.674284,1.670234,1.670234
22000,1.666180,1.662365,1.662365
23000,1.661698,1.661695,1.661695
24000,1.658877,1.652077,1.652077
25000,1.654862,1.648650,1.648650
26000,1.646504,1.648023,1.648023
27000,1.645473,1.639454,1.639454
28000,1.640974,1.638193,1.638193
29000,1.639365,1.631285,1.631285
30000,1.633598,1.628173,1.628173
31000,1.624562,1.622801,1.622801
32000,1.625264,1.622734,1.622734
33000,1.616446,1.615573,1.615573
34000,1.620087,1.613241,1.613241
35000,1.608171,1.607635,1.607635
36000,1.609578,1.606973,1.606973
37000,1.611712,1.604355,1.604355
38000,1.601842,1.602667,1.602667
39000,1.600575,1.599845,1.599845
40000,1.598948,1.596804,1.596804
41000,1.596336,1.596245,1.596245
42000,1.595669,1.592207,1.592207
43000,1.593386,1.591364,1.591364
44000,1.595317,1.589673,1.589673
45000,1.592475,1.589796,1.589796
46000,1.590309,1.587973,1.587973
47000,1.590167,1.586122,1.586122
48000,1.589916,1.585158,1.585158
49000,1.590829,1.584472,1.584472
