step,train_loss,val_loss,val_loss_hard
0,5.550586,5.550162,5.550162
1000,2.867252,2.734293,2.734293
2000,2.496981,2.482204,2.482204
3000,2.377774,2.361496,2.361496
4000,2.260039,2.247932,2.247932
5000,2.142912,2.129669,2.129669
6000,2.034695,2.027732,2.027732
7000,1.955559,1.950152,1.950152
8000,1.902466,1.904499,1.904499
9000,1.867400,1.868195,1.868195
10000,1.839784,1.836162,1.836162
11000,1.810344,1.807057,1.807057
12000,1.796198,1.785950,1.785950
13000,1.773679,1.774213,1.774213
14000,1.761519,1.759002,1.759002
15000,1.749843,1.745650,1.745650
16000,1.733897,1.733778,1.733778
17000,1.730536,1.731192,1.731192
18000,1.719592,1.717020,1.717020
19000,1.708718,1.710253,1.710253
20000,1.702483,1.702862,1.702862
21000,1.700750,1.691054,1.691054
22000,1.687489,1.686552,1.686552
23000,1.686431,1.683759,1.683759
24000,1.678568,1.676979,1.676979
25000,1.674784,1.669270,1.669270
26000,1.664575,1.664139,1.664139
27000,1.667798,1.664721,1.664721
