step,train_loss,val_loss,val_loss_hard
0,5.550773,5.550322,5.550322
1000,2.908879,2.816704,2.816704
2000,2.494239,2.487805,2.487805
3000,2.319736,2.297840,2.297840
4000,2.224555,2.208401,2.208401
5000,2.147060,2.144336,2.144336
6000,2.087422,2.074010,2.074010
7000,2.057476,2.035541,2.035541
8000,2.014617,2.004198,2.004198
9000,1.988086,1.981279,1.981279
10000,1.958595,1.960126,1.960126
11000,1.930940,1.932734,1.932734
12000,1.920605,1.931466,1.931466
13000,1.906763,1.907973,1.907973
14000,1.895996,1.886529,1.886529
15000,1.889071,1.872654,1.872654
16000,1.868046,1.863413,1.863413
17000,1.862112,1.868155,1.868155
18000,1.848396,1.848445,1.848445
19000,1.842554,1.832456,1.832456
20000,1.829749,1.816639,1.816639
21000,1.820692,1.818091,1.818091
22000,1.805056,1.802091,1.802091
23000,1.792622,1.796562,1.796562
24000,1.802450,1.795281,1.795281
25000,1.807647,1.787596,1.787596
26000,1.776593,1.774960,1.774960
27000,1.774442,1.774454,1.774454
28000,1.787932,1.768869,1.768869
29000,1.757312,1.760924,1.760924
30000,1.757114,1.751760,1.751760
31000,1.752109,1.746335,1.746335
32000,1.746130,1.738624,1.738624
33000,1.751047,1.733601,1.733601
34000,1.724655,1.726439,1.726439
35000,1.736936,1.727447,1.727447
36000,1.722757,1.719060,1.719060
37000,1.709973,1.718154,1.718154
38000,1.714120,1.711340,1.711340
39000,1.724919,1.707244,1.707244
40000,1.706986,1.704173,1.704173
41000,1.706028,1.704171,1.704171
42000,1.688773,1.699641,1.699641
43000,1.694970,1.694601,1.694601
44000,1.701835,1.693743,1.693743
45000,1.687854,1.690784,1.690784
46000,1.691234,1.688106,1.688106
47000,1.682605,1.686766,1.686766
48000,1.684089,1.686600,1.686600
49000,1.682719,1.685256,1.685256
