step,train_loss,val_loss,val_loss_hard
0,5.549278,5.549692,5.549692
1000,2.680534,2.643000,2.643000
2000,2.412860,2.389847,2.389847
3000,2.260311,2.242051,2.242051
4000,2.133178,2.130639,2.130639
5000,2.067962,2.071741,2.071741
6000,2.007744,2.010796,2.010796
7000,1.969873,1.961306,1.961306
8000,1.928983,1.929242,1.929242
9000,1.897852,1.909331,1.909331
10000,1.898385,1.889797,1.889797
11000,1.879040,1.872987,1.872987
12000,1.864189,1.863044,1.863044
13000,1.864230,1.846893,1.846893
14000,1.834956,1.833637,1.833637
15000,1.825285,1.822264,1.822264
16000,1.821170,1.814510,1.814510
17000,1.813779,1.806130,1.806130
18000,1.789215,1.788932,1.788932
19000,1.783873,1.786226,1.786226
20000,1.770197,1.778302,1.778302
21000,1.786369,1.767717,1.767717
22000,1.765631,1.764176,1.764176
23000,1.761330,1.756949,1.756949
24000,1.763351,1.745545,1.745545
25000,1.750575,1.740564,1.740564
26000,1.738219,1.733306,1.733306
27000,1.723789,1.729534,1.729534
28000,1.736624,1.721552,1.721552
29000,1.718310,1.718187,1.718187
30000,1.708323,1.714954,1.714954
31000,1.711738,1.706000,1.706000
32000,1.703377,1.701933,1.701933
33000,1.686607,1.696356,1.696356
34000,1.701627,1.692928,1.692928
35000,1.704427,1.688936,1.688936
36000,1.680718,1.683769,1.683769
37000,1.675444,1.680343,1.680343
38000,1.687587,1.674432,1.674432
39000,1.675108,1.669941,1.669941
40000,1.678223,1.666927,1.666927
41000,1.674407,1.664517,1.664517
42000,1.670376,1.662653,1.662653
43000,1.664718,1.660755,1.660755
44000,1.653155,1.657908,1.657908
45000,1.659405,1.655062,1.655062
46000,1.659111,1.653372,1.653372
47000,1.656275,1.652418,1.652418
48000,1.642136,1.649503,1.649503
49000,1.645623,1.650953,1.650953
