step,train_loss,val_loss,val_loss_hard
0,5.550513,5.549692,5.549692
1000,2.781019,2.725754,2.725754
2000,2.488105,2.473869,2.473869
3000,2.370313,2.352948,2.352948
4000,2.257229,2.248229,2.248229
5000,2.171327,2.171164,2.171164
6000,2.104722,2.104586,2.104586
7000,2.052130,2.060118,2.060118
8000,2.010873,2.012839,2.012839
9000,1.988200,1.978544,1.978544
10000,1.961963,1.960773,1.960773
11000,1.945606,1.932237,1.932237
12000,1.914830,1.909670,1.909670
13000,1.895405,1.896378,1.896378
14000,1.879152,1.876901,1.876901
15000,1.854039,1.856578,1.856578
16000,1.855665,1.854329,1.854329
17000,1.846096,1.839578,1.839578
18000,1.825555,1.818861,1.818861
19000,1.820319,1.817851,1.817851
20000,1.806702,1.808039,1.808039
21000,1.795596,1.797826,1.797826
22000,1.809555,1.789693,1.789693
23000,1.777639,1.783328,1.783328
24000,1.772432,1.777361,1.777361
25000,1.779193,1.770479,1.770479
26000,1.755768,1.763879,1.763879
27000,1.739655,1.759974,1.759974
28000,1.744558,1.754509,1.754509
29000,1.754198,1.744680,1.744680
30000,1.740226,1.742059,1.742059
31000,1.733282,1.740557,1.740557
32000,1.741085,1.733859,1.733859
33000,1.744531,1.728281,1.728281
34000,1.734257,1.730405,1.730405
35000,1.723673,1.718835,1.718835
36000,1.709755,1.715194,1.715194
37000,1.722158,1.712901,1.712901
38000,1.703827,1.713158,1.713158
39000,1.710708,1.707176,1.707176
40000,1.714865,1.705011,1.705011
41000,1.702619,1.702744,1.702744
42000,1.694645,1.698307,1.698307
43000,1.679176,1.693887,1.693887
44000,1.688707,1.691075,1.691075
45000,1.692107,1.687293,1.687293
46000,1.673566,1.684013,1.684013
47000,1.676321,1.682024,1.682024
48000,1.686932,1.678124,1.678124
49000,1.667030,1.675791,1.675791
50000,1.672319,1.675421,1.675421
51000,1.670904,1.670123,1.670123
52000,1.667290,1.665744,1.665744
53000,1.652696,1.665235,1.665235
54000,1.668669,1.661961,1.661961
55000,1.663179,1.661344,1.661344
56000,1.659582,1.659104,1.659104
57000,1.664394,1.656917,1.656917
58000,1.654971,1.654018,1.654018
59000,1.644939,1.653030,1.653030
60000,1.651036,1.648556,1.648556
61000,1.635412,1.644992,1.644992
62000,1.620449,1.643771,1.643771
63000,1.639350,1.640910,1.640910
64000,1.634193,1.637336,1.637336
65000,1.636103,1.637240,1.637240
66000,1.632251,1.635260,1.635260
67000,1.631696,1.632905,1.632905
68000,1.646132,1.630154,1.630154
69000,1.633362,1.627373,1.627373
70000,1.623933,1.623796,1.623796
71000,1.621276,1.622887,1.622887
72000,1.622814,1.621604,1.621604
73000,1.634386,1.620052,1.620052
74000,1.620088,1.618999,1.618999
75000,1.613922,1.616647,1.616647
76000,1.617044,1.615076,1.615076
77000,1.605494,1.614405,1.614405
78000,1.596701,1.614494,1.614494
79000,1.611030,1.611843,1.611843
80000,1.618290,1.610174,1.610174
81000,1.604522,1.607814,1.607814
82000,1.588929,1.607253,1.607253
83000,1.606996,1.605008,1.605008
84000,1.606485,1.604191,1.604191
85000,1.609100,1.604050,1.604050
86000,1.595446,1.604066,1.604066
87000,1.607067,1.601557,1.601557
88000,1.602896,1.600214,1.600214
89000,1.606940,1.598551,1.598551
90000,1.603753,1.598680,1.598680
91000,1.601416,1.597123,1.597123
92000,1.580623,1.598555,1.598555
93000,1.591779,1.596698,1.596698
94000,1.590940,1.595798,1.595798
95000,1.596327,1.596225,1.596225
96000,1.587365,1.594283,1.594283
97000,1.577215,1.594243,1.594243
98000,1.599998,1.593771,1.593771
99000,1.583309,1.591922,1.591922
