step,train_loss,val_loss,val_loss_hard
0,5.561352,5.558528,5.558528
1000,2.712432,2.645977,2.645977
2000,2.448166,2.411831,2.411831
3000,2.279769,2.261358,2.261358
4000,2.175263,2.160774,2.160774
5000,2.081411,2.093584,2.093584
6000,2.025730,2.044349,2.044349
7000,1.981272,1.972020,1.972020
8000,1.945269,1.929142,1.929142
9000,1.901092,1.901072,1.901072
10000,1.871752,1.869741,1.869741
11000,1.858828,1.857769,1.857769
12000,1.837630,1.833743,1.833743
13000,1.836242,1.817207,1.817207
14000,1.819102,1.805337,1.805337
15000,1.786872,1.789008,1.789008
16000,1.768999,1.774469,1.774469
17000,1.779218,1.759817,1.759817
18000,1.760917,1.755082,1.755082
19000,1.744869,1.743819,1.743819
20000,1.740963,1.732580,1.732580
21000,1.739672,1.732004,1.732004
22000,1.719046,1.721796,1.721796
23000,1.719914,1.709966,1.709966
24000,1.707698,1.702833,1.702833
25000,1.697445,1.697640,1.697640
26000,1.701750,1.694643,1.694643
27000,1.683602,1.687480,1.687480
28000,1.681992,1.674756,1.674756
29000,1.680077,1.671147,1.671147
30000,1.683999,1.666723,1.666723
31000,1.664298,1.661954,1.661954
32000,1.651156,1.654825,1.654825
33000,1.650714,1.649698,1.649698
34000,1.647427,1.646052,1.646052
35000,1.663253,1.641763,1.641763
36000,1.635763,1.636991,1.636991
37000,1.623948,1.632994,1.632994
38000,1.638953,1.628530,1.628530
39000,1.615545,1.626802,1.626802
40000,1.624099,1.623537,1.623537
41000,1.615581,1.620729,1.620729
42000,1.623389,1.619572,1.619572
43000,1.618804,1.613898,1.613898
44000,1.609012,1.612888,1.612888
45000,1.618155,1.609530,1.609530
46000,1.604799,1.609156,1.609156
47000,1.618265,1.606879,1.606879
48000,1.609682,1.606098,1.606098
49000,1.603436,1.604712,1.604712
