step,train_loss,val_loss,val_loss_hard
0,5.558520,5.560127,5.560127
1000,2.485407,2.437661,2.437661
2000,2.181687,2.161799,2.161799
3000,2.046096,2.032782,2.032782
4000,1.969158,1.973998,1.973998
5000,1.907979,1.907697,1.907697
6000,1.858976,1.849875,1.849875
7000,1.812800,1.799650,1.799650
8000,1.776815,1.771407,1.771407
9000,1.748869,1.751721,1.751721
10000,1.735241,1.727708,1.727708
11000,1.707983,1.712598,1.712598
12000,1.696417,1.691582,1.691582
13000,1.683639,1.684812,1.684812
14000,1.674434,1.668324,1.668324
15000,1.657637,1.657885,1.657885
16000,1.652932,1.646399,1.646399
17000,1.640369,1.636799,1.636799
18000,1.634761,1.630396,1.630396
19000,1.624796,1.623490,1.623490
20000,1.611899,1.611622,1.611622
21000,1.603942,1.608117,1.608117
22000,1.599800,1.599336,1.599336
23000,1.589626,1.593537,1.593537
24000,1.591003,1.587598,1.587598
25000,1.588228,1.581699,1.581699
26000,1.574431,1.576042,1.576042
27000,1.570847,1.572211,1.572211
28000,1.563262,1.569787,1.569787
29000,1.568322,1.560888,1.560888
30000,1.558182,1.555801,1.555801
31000,1.554985,1.552519,1.552519
32000,1.551614,1.547955,1.547955
33000,1.542439,1.543733,1.543733
34000,1.534242,1.539186,1.539186
35000,1.540417,1.534644,1.534644
36000,1.537776,1.529878,1.529878
37000,1.530765,1.526628,1.526628
38000,1.522715,1.523615,1.523615
39000,1.523645,1.522036,1.522036
40000,1.522656,1.518444,1.518444
41000,1.516417,1.517007,1.517007
42000,1.509878,1.513599,1.513599
43000,1.514446,1.511051,1.511051
44000,1.511737,1.509339,1.509339
45000,1.506776,1.507411,1.507411
46000,1.507855,1.506473,1.506473
47000,1.510871,1.504676,1.504676
48000,1.521275,1.504005,1.504005
49000,1.512905,1.502068,1.502068
