step,train_loss,val_loss,val_loss_hard
0,5.549870,5.551790,5.551790
1000,2.900381,2.815693,2.815693
2000,2.505055,2.485306,2.485306
3000,2.352519,2.342934,2.342934
4000,2.257273,2.243838,2.243838
5000,2.176265,2.167130,2.167130
6000,2.100627,2.094800,2.094800
7000,2.048784,2.052057,2.052057
8000,2.015056,2.012670,2.012670
9000,1.980947,1.991835,1.991835
10000,1.962871,1.960070,1.960070
11000,1.928492,1.924905,1.924905
12000,1.918070,1.911620,1.911620
13000,1.902096,1.898569,1.898569
14000,1.889241,1.882567,1.882567
15000,1.875298,1.874578,1.874578
16000,1.873547,1.856622,1.856622
17000,1.846065,1.853736,1.853736
18000,1.845769,1.836521,1.836521
19000,1.828866,1.836641,1.836641
20000,1.825849,1.821084,1.821084
21000,1.813712,1.819389,1.819389
22000,1.806701,1.805814,1.805814
23000,1.811421,1.798580,1.798580
24000,1.799369,1.790383,1.790383
25000,1.793525,1.789250,1.789250
26000,1.786220,1.782843,1.782843
27000,1.779761,1.776906,1.776906
28000,1.769691,1.772170,1.772170
29000,1.771510,1.770483,1.770483
30000,1.751997,1.766997,1.766997
31000,1.755205,1.753981,1.753981
32000,1.750397,1.751436,1.751436
33000,1.759088,1.743320,1.743320
34000,1.740014,1.739198,1.739198
35000,1.742492,1.737743,1.737743
36000,1.733485,1.737623,1.737623
37000,1.721448,1.729286,1.729286
38000,1.729047,1.724081,1.724081
39000,1.730747,1.725766,1.725766
40000,1.719495,1.718827,1.718827
41000,1.719005,1.723472,1.723472
42000,1.727642,1.715028,1.715028
43000,1.712503,1.715389,1.715389
44000,1.719475,1.710978,1.710978
45000,1.717832,1.710303,1.710303
46000,1.699493,1.709959,1.709959
47000,1.719189,1.705683,1.705683
48000,1.703016,1.711387,1.711387
49000,1.709608,1.704741,1.704741
