step,train_loss,val_loss,val_loss_hard
0,5.551630,5.551595,5.551595
1000,2.749671,2.692612,2.692612
2000,2.436066,2.411570,2.411570
3000,2.280769,2.294281,2.294281
4000,2.201331,2.207240,2.207240
5000,2.140515,2.119856,2.119856
6000,2.070193,2.068180,2.068180
7000,2.028723,2.019454,2.019454
8000,1.986197,1.982009,1.982009
9000,1.971011,1.965860,1.965860
10000,1.938550,1.942781,1.942781
11000,1.929472,1.926018,1.926018
12000,1.917625,1.906565,1.906565
13000,1.899953,1.895253,1.895253
14000,1.882635,1.877860,1.877860
15000,1.866782,1.871424,1.871424
16000,1.864172,1.860167,1.860167
17000,1.849447,1.847652,1.847652
18000,1.848341,1.848230,1.848230
19000,1.824778,1.833798,1.833798
20000,1.819604,1.830352,1.830352
21000,1.823645,1.819967,1.819967
22000,1.815160,1.809636,1.809636
23000,1.812123,1.805756,1.805756
24000,1.804141,1.798955,1.798955
25000,1.798402,1.794417,1.794417
26000,1.778804,1.786969,1.786969
27000,1.785493,1.781447,1.781447
28000,1.774135,1.774962,1.774962
29000,1.775991,1.772262,1.772262
30000,1.768507,1.765025,1.765025
31000,1.773252,1.761534,1.761534
32000,1.766563,1.758225,1.758225
33000,1.758904,1.755600,1.755600
34000,1.754163,1.753264,1.753264
35000,1.762898,1.749266,1.749266
36000,1.749023,1.742968,1.742968
37000,1.748838,1.741210,1.741210
38000,1.739735,1.738037,1.738037
39000,1.742076,1.737197,1.737197
40000,1.735267,1.732670,1.732670
41000,1.732143,1.728872,1.728872
42000,1.728061,1.726901,1.726901
43000,1.730268,1.726906,1.726906
44000,1.728392,1.723784,1.723784
45000,1.729489,1.722137,1.722137
46000,1.725160,1.720242,1.720242
47000,1.720067,1.719736,1.719736
48000,1.724970,1.718458,1.718458
49000,1.718698,1.717824,1.717824
