step,train_loss,val_loss,val_loss_hard
0,5.548363,5.547406,5.547406
1000,2.836394,2.778398,2.778398
2000,2.496175,2.473149,2.473149
3000,2.320197,2.315628,2.315628
4000,2.234346,2.231866,2.231866
5000,2.165558,2.152785,2.152785
6000,2.097755,2.096176,2.096176
7000,2.055735,2.043441,2.043441
8000,2.011972,2.011604,2.011604
9000,1.985518,1.984762,1.984762
10000,1.959182,1.957951,1.957951
11000,1.935242,1.936575,1.936575
12000,1.913861,1.926783,1.926783
13000,1.914908,1.905679,1.905679
14000,1.896281,1.892597,1.892597
15000,1.879851,1.876757,1.876757
16000,1.866670,1.861082,1.861082
17000,1.865075,1.855013,1.855013
18000,1.848910,1.845112,1.845112
19000,1.839345,1.837504,1.837504
20000,1.827363,1.825694,1.825694
21000,1.826554,1.816987,1.816987
22000,1.830431,1.813130,1.813130
23000,1.810245,1.805801,1.805801
24000,1.799413,1.798298,1.798298
25000,1.795291,1.789439,1.789439
26000,1.791419,1.792147,1.792147
27000,1.786087,1.784647,1.784647
28000,1.777169,1.777524,1.777524
29000,1.767612,1.767385,1.767385
30000,1.763812,1.766622,1.766622
31000,1.762191,1.760940,1.760940
32000,1.757903,1.759648,1.759648
33000,1.758201,1.750471,1.750471
34000,1.751081,1.747691,1.747691
35000,1.739482,1.744348,1.744348
36000,1.736082,1.741060,1.741060
37000,1.742212,1.737202,1.737202
38000,1.738297,1.732026,1.732026
39000,1.731563,1.731151,1.731151
40000,1.720951,1.726965,1.726965
41000,1.718037,1.724657,1.724657
42000,1.728524,1.723855,1.723855
43000,1.720915,1.722063,1.722063
44000,1.722568,1.718957,1.718957
45000,1.721028,1.719505,1.719505
46000,1.712412,1.717380,1.717380
47000,1.707313,1.714856,1.714856
48000,1.716439,1.714412,1.714412
49000,1.714400,1.712056,1.712056
