step,train_loss,val_loss,val_loss_hard
0,5.556256,5.555550,5.555550
1000,2.753360,2.677873,2.677873
2000,2.413388,2.394802,2.394802
3000,2.244082,2.236808,2.236808
4000,2.144302,2.147775,2.147775
5000,2.094678,2.077243,2.077243
6000,2.033742,2.030132,2.030132
7000,1.990968,1.983146,1.983146
8000,1.967205,1.954528,1.954528
9000,1.953838,1.924153,1.924153
10000,1.912708,1.905228,1.905228
11000,1.897966,1.881734,1.881734
12000,1.870723,1.870099,1.870099
13000,1.861049,1.858490,1.858490
14000,1.844997,1.846413,1.846413
15000,1.831986,1.832916,1.832916
16000,1.828589,1.819438,1.819438
17000,1.806249,1.810069,1.810069
18000,1.803814,1.801085,1.801085
19000,1.792836,1.791008,1.791008
20000,1.786000,1.782646,1.782646
21000,1.777540,1.773662,1.773662
22000,1.770116,1.767540,1.767540
23000,1.767482,1.758859,1.758859
24000,1.763643,1.750549,1.750549
25000,1.750148,1.744892,1.744892
26000,1.738297,1.735595,1.735595
27000,1.737856,1.730201,1.730201
28000,1.727264,1.722404,1.722404
29000,1.720031,1.719057,1.719057
30000,1.723902,1.712518,1.712518
31000,1.711969,1.708899,1.708899
32000,1.695274,1.706165,1.706165
33000,1.697191,1.697833,1.697833
34000,1.692323,1.692733,1.692733
35000,1.695499,1.687123,1.687123
36000,1.687439,1.684857,1.684857
37000,1.677429,1.681503,1.681503
38000,1.674574,1.676971,1.676971
39000,1.668373,1.670911,1.670911
40000,1.668013,1.670637,1.670637
41000,1.675126,1.666545,1.666545
42000,1.664845,1.662679,1.662679
43000,1.673372,1.661511,1.661511
44000,1.658851,1.659663,1.659663
45000,1.660188,1.655171,1.655171
46000,1.644313,1.655131,1.655131
47000,1.653359,1.653617,1.653617
48000,1.645787,1.652673,1.652673
49000,1.652523,1.651199,1.651199
