step,train_loss,val_loss,val_loss_hard
0,5.550558,5.550849,5.550849
1000,2.838227,2.780169,2.780169
2000,2.480802,2.452188,2.452188
3000,2.318213,2.302541,2.302541
4000,2.208049,2.194911,2.194911
5000,2.124036,2.116437,2.116437
6000,2.056243,2.062499,2.062499
7000,2.007530,2.005068,2.005068
8000,1.974096,1.965630,1.965630
9000,1.951012,1.944514,1.944514
10000,1.919920,1.916950,1.916950
11000,1.903671,1.901197,1.901197
12000,1.882837,1.885899,1.885899
13000,1.874045,1.869072,1.869072
14000,1.865813,1.859490,1.859490
15000,1.850488,1.845270,1.845270
16000,1.837690,1.834788,1.834788
17000,1.816805,1.827284,1.827284
18000,1.824106,1.820475,1.820475
19000,1.815160,1.812163,1.812163
20000,1.809648,1.809346,1.809346
21000,1.797023,1.796842,1.796842
22000,1.796899,1.791216,1.791216
23000,1.791088,1.787763,1.787763
24000,1.790438,1.783730,1.783730
25000,1.776007,1.776749,1.776749
26000,1.779458,1.770304,1.770304
27000,1.757808,1.766441,1.766441
28000,1.780780,1.756919,1.756919
29000,1.759387,1.754737,1.754737
30000,1.747858,1.751877,1.751877
31000,1.746723,1.748896,1.748896
32000,1.746601,1.742248,1.742248
33000,1.743105,1.738413,1.738413
34000,1.728469,1.738168,1.738168
35000,1.734888,1.729608,1.729608
36000,1.722225,1.727889,1.727889
37000,1.724674,1.724586,1.724586
38000,1.728513,1.723022,1.723022
39000,1.712209,1.718425,1.718425
40000,1.716098,1.715556,1.715556
41000,1.718885,1.714027,1.714027
42000,1.706342,1.712251,1.712251
43000,1.713709,1.709958,1.709958
44000,1.705533,1.708033,1.708033
45000,1.716228,1.705520,1.705520
46000,1.705305,1.705010,1.705010
47000,1.699085,1.702837,1.702837
48000,1.701616,1.702247,1.702247
49000,1.715112,1.702370,1.702370
