step,train_loss,val_loss,val_loss_hard
0,5.556832,5.557077,5.557077
1000,2.249276,2.204405,2.204405
2000,1.996808,1.981896,1.981896
3000,1.898333,1.892976,1.892976
4000,1.839202,1.835568,1.835568
5000,1.798938,1.795676,1.795676
6000,1.756559,1.755944,1.755944
7000,1.729804,1.721971,1.721971
8000,1.712484,1.703876,1.703876
9000,1.689819,1.686512,1.686512
10000,1.680012,1.674759,1.674759
11000,1.667131,1.665701,1.665701
12000,1.663681,1.654937,1.654937
13000,1.648320,1.643570,1.643570
14000,1.639436,1.641722,1.641722
15000,1.632985,1.636699,1.636699
16000,1.628286,1.631182,1.631182
17000,1.626721,1.621249,1.621249
18000,1.617369,1.614324,1.614324
19000,1.612993,1.610998,1.610998
20000,1.606947,1.607844,1.607844
21000,1.601244,1.600112,1.600112
22000,1.597024,1.596331,1.596331
23000,1.592450,1.592525,1.592525
24000,1.590315,1.587999,1.587999
25000,1.586575,1.582873,1.582873
26000,1.578134,1.582307,1.582307
27000,1.574177,1.575068,1.575068
28000,1.578310,1.572263,1.572263
29000,1.567690,1.565559,1.565559
30000,1.563874,1.564429,1.564429
31000,1.556420,1.560135,1.560135
32000,1.558472,1.556649,1.556649
33000,1.559679,1.554150,1.554150
34000,1.550524,1.549779,1.549779
35000,1.545722,1.547760,1.547760
36000,1.545134,1.543713,1.543713
37000,1.541096,1.540515,1.540515
38000,1.538008,1.538515,1.538515
39000,1.540480,1.535952,1.535952
40000,1.533089,1.533696,1.533696
41000,1.532548,1.530725,1.530725
42000,1.530394,1.528219,1.528219
43000,1.525209,1.527958,1.527958
44000,1.523633,1.525440,1.525440
45000,1.527654,1.523998,1.523998
46000,1.528181,1.523444,1.523444
47000,1.522804,1.522500,1.522500
48000,1.523786,1.520327,1.520327
49000,1.520441,1.519875,1.519875
